team_abbr,elo
ARI,1443.6194331514112
ATL,1477.2780932406974
BAL,1660.0536860792051
BUF,1635.774425589394
CAR,1361.4966052028635
CHI,1428.5292859646358
CIN,1540.9306550168494
CLE,1324.0691118090997
DAL,1454.889165972489
DEN,1517.118351399507
DET,1689.4437972101116
GB,1632.9617262820109
HOU,1506.362583371577
IND,1426.3362826153618
JAX,1371.850255643833
KC,1607.73107484533
LA,1579.7573126492196
LAC,1584.5615627361
LV,1369.252634893365
MIA,1492.9286511595817
MIN,1685.3075425195716
NE,1351.2277157956755
NO,1382.2507554133135
NYG,1339.0501424656786
NYJ,1414.773123336234
PHI,1692.2449127041734
PIT,1494.3228302533314
SEA,1541.5384592034088
SF,1500.0
TB,1617.005760308005
TEN,1327.957477613047
WAS,1549.3765855549186
