home_team,away_team,kickoff_utc,neutral_site,vegas_line,modeled_spread_home,delta_spread,vegas_total,modeled_total,delta_total,sigma
PHI,DAL,2025-09-05T00:21:00Z,False,-7.5,1.0,8.5,47.5,46.39,-1.1099999999999994,13.5
LAC,KC,2025-09-06T00:01:00Z,True,3.0,-7.0,-10.0,45.5,44.629999999999995,-0.8700000000000045,13.5
ATL,TB,2025-09-07T17:00:00Z,False,2.5,-5.0,-7.5,47.0,45.8,-1.2000000000000028,13.5
JAX,CAR,2025-09-07T17:00:00Z,False,-3.5,10.5,14.0,46.5,45.12,-1.3800000000000026,13.5
WSH,NYG,2025-09-07T17:00:00Z,False,-6.0,0.5,6.5,45.5,45.019999999999996,-0.480000000000004,13.5
NO,ARI,2025-09-07T17:01:00Z,False,6.5,5.0,-1.5,42.5,42.65,0.14999999999999858,13.5
CLE,CIN,2025-09-07T17:01:00Z,False,5.5,-4.5,-10.0,47.5,46.18,-1.3200000000000003,13.5
IND,MIA,2025-09-07T17:01:00Z,False,-1.0,1.0,2.0,47.0,46.04,-0.9600000000000009,13.5
NE,LV,2025-09-07T17:01:00Z,False,-2.5,-7.0,-4.5,43.5,43.23,-0.2700000000000031,13.5
NYJ,PIT,2025-09-07T17:01:00Z,False,2.5,2.0,-0.5,38.5,40.03,1.5300000000000011,13.5
DEN,TEN,2025-09-07T20:06:00Z,False,-8.0,-3.5,4.5,42.5,42.739999999999995,0.23999999999999488,13.5
SEA,SF,2025-09-07T20:06:00Z,False,2.5,-9.0,-11.5,43.5,43.11,-0.39000000000000057,13.5
GB,DET,2025-09-07T20:26:00Z,False,-2.5,-3.0,-0.5,47.0,45.92,-1.0799999999999983,13.5
LAR,HOU,2025-09-07T20:26:00Z,False,-2.5,-6.0,-3.5,44.0,43.63999999999999,-0.36000000000000654,13.5
BUF,BAL,2025-09-08T00:21:00Z,False,0.0,-1.5,-1.5,50.5,48.459999999999994,-2.0400000000000063,13.5
CHI,MIN,2025-09-09T00:16:00Z,False,1.5,-3.5,-5.0,44.5,44.14,-0.35999999999999943,13.5
