team,player,position,depth,status,source
ARI,Aaron Brewer,LS,,Active,sportsdataio
ARI,Josiah Deguara,TE,,Practice Squad,sportsdataio
ARI,Andre Baccellia,WR,,Practice Squad,sportsdataio
ARI,Nick Leverett,OL,,Practice Squad,sportsdataio
ARI,Michael Carter,RB,,Practice Squad,sportsdataio
ARI,Simi Fehoko,WR,,Practice Squad,sportsdataio
ARI,Jake Curhan,OT,,Practice Squad,sportsdataio
ARI,Darren Hall,CB,,Practice Squad,sportsdataio
ARI,Kedon Slovis,QB,,Practice Squad,sportsdataio
ARI,Demontrey Jacobs,OT,,Practice Squad,sportsdataio
ARI,Tejhaun Palmer,WR,,Practice Squad,sportsdataio
ARI,Jaden Davis,CB,,Injured Reserve,sportsdataio
ARI,Chigozie Anusiem,CB,,Practice Squad,sportsdataio
ARI,Anthony Goodlow,DE,,Practice Squad,sportsdataio
ARI,Elliott Brown,OLB,,Practice Squad,sportsdataio
ARI,Elijah Simmons,DL,,Practice Squad,sportsdataio
ARI,Jeremiah Byers,OL,,Practice Squad,sportsdataio
ARI,Will Johnson,CB,,Active,sportsdataio
ARI,Kyler Murray,QB,,Active,sportsdataio
ARI,Mack Wilson Sr.,ILB,,Active,sportsdataio
ARI,Budda Baker,S,,Active,sportsdataio
ARI,Greg Dortch,WR,,Active,sportsdataio
ARI,Baron Browning,OLB,,Active,sportsdataio
ARI,James Conner,RB,,Active,sportsdataio
ARI,Jacoby Brissett,QB,,Active,sportsdataio
ARI,BJ Ojulari,OLB,,Physically Unable to Perform,sportsdataio
ARI,Josh Sweat,OLB,,Active,sportsdataio
ARI,Blake Gillikin,P,,Active,sportsdataio
ARI,Kei'Trel Clark,CB,,Active,sportsdataio
ARI,Michael Wilson,WR,,Active,sportsdataio
ARI,Max Melton,CB,,Active,sportsdataio
ARI,Zay Jones,WR,,Active,sportsdataio
ARI,Marvin Harrison Jr.,WR,,Active,sportsdataio
ARI,Garrett Williams,CB,,Active,sportsdataio
ARI,Sean Murphy-Bunting,CB,,Non Football Injury,sportsdataio
ARI,Starling Thomas V,CB,,Injured Reserve,sportsdataio
ARI,Zaven Collins,OLB,,Active,sportsdataio
ARI,Akeem Davis-Gaither,ILB,,Active,sportsdataio
ARI,Elijah Jones,CB,,Active,sportsdataio
ARI,Denzel Burke,CB,,Active,sportsdataio
ARI,Emari Demercado,RB,,Active,sportsdataio
ARI,Joey Blount,S,,Active,sportsdataio
ARI,Trey Benson,RB,,Active,sportsdataio
ARI,Jalen Thompson,S,,Active,sportsdataio
ARI,Bam Knight,RB,,Active,sportsdataio
ARI,Kitan Crawford,S,,Active,sportsdataio
ARI,Chad Ryland,K,,Active,sportsdataio
ARI,Dadrion Taylor-Demerson,S,,Active,sportsdataio
ARI,Owen Pappoe,ILB,,Active,sportsdataio
ARI,Cody Simon,ILB,,Active,sportsdataio
ARI,J.J. Russell,ILB,,Injured Reserve,sportsdataio
ARI,Jordan Burch,OLB,,Active,sportsdataio
ARI,Xavier Thomas,OLB,,Active,sportsdataio
ARI,Dante Stills,DT,,Active,sportsdataio
ARI,Darius Robinson,DL,,Active,sportsdataio
ARI,Hayden Conner,OL,,Injured Reserve,sportsdataio
ARI,Jon Gaines II,C,,Active,sportsdataio
ARI,Evan Brown,C,,Active,sportsdataio
ARI,Kelvin Beachum,OT,,Active,sportsdataio
ARI,Valentin Senn,OL,,Injured Reserve,sportsdataio
ARI,Paris Johnson Jr.,OT,,Active,sportsdataio
ARI,Hjalte Froholdt,C,,Active,sportsdataio
ARI,Jonah Williams,OT,,Active,sportsdataio
ARI,Isaiah Adams,G,,Active,sportsdataio
ARI,Christian Jones,OT,,Injured Reserve,sportsdataio
ARI,Will Hernandez,G,,Active,sportsdataio
ARI,Josh Fryar,OL,,Active,sportsdataio
ARI,PJ Mustipher,DT,,Active,sportsdataio
ARI,Travis Vokolek,TE,,Active,sportsdataio
ARI,Elijah Higgins,TE,,Active,sportsdataio
ARI,Trey McBride,TE,,Active,sportsdataio
ARI,Trishton Jackson,WR,,Injured Reserve,sportsdataio
ARI,Tip Reiman,TE,,Active,sportsdataio
ARI,Xavier Weaver,WR,,Active,sportsdataio
ARI,L.J. Collier,DL,,Active,sportsdataio
ARI,Bilal Nichols,DT,,Physically Unable to Perform,sportsdataio
ARI,Calais Campbell,DT,,Active,sportsdataio
ARI,Dalvin Tomlinson,DT,,Active,sportsdataio
ARI,Walter Nolen III,DT,,Physically Unable to Perform,sportsdataio
ARI,Justin Jones,DT,,Injured Reserve,sportsdataio
