team,player,position,depth,status,source
ATL,Brandon Parker,OT,,Practice Squad,sportsdataio
ATL,Ronnie Harrison Jr.,S,,Practice Squad,sportsdataio
ATL,Kentavius Street,DL,,Practice Squad,sportsdataio
ATL,Easton Stick,QB,,Practice Squad,sportsdataio
ATL,Khalid Kareem,OLB,,Practice Squad,sportsdataio
ATL,C.J. Henderson,CB,,Practice Squad,sportsdataio
ATL,Grayland Arnold,S,,Injured Reserve,sportsdataio
ATL,Chris Blair,WR,,Practice Squad,sportsdataio
ATL,Tyrone Wheatley Jr.,OT,,Injured Reserve,sportsdataio
ATL,Emory Jones,QB,,Injured Reserve,sportsdataio
ATL,Ryan Hayes,OT,,Practice Squad,sportsdataio
ATL,Carlos Washington Jr.,RB,,Practice Squad,sportsdataio
ATL,Carter Warren,OT,,Practice Squad,sportsdataio
ATL,Dylan Drummond,WR,,Practice Squad,sportsdataio
ATL,Nick Nash,WR,,Practice Squad,sportsdataio
ATL,Joshua Simon,TE,,Practice Squad,sportsdataio
ATL,Cobee Bryant,CB,,Practice Squad,sportsdataio
ATL,Joshua Gray,OL,,Practice Squad,sportsdataio
ATL,Lenny Krieg,K,,Practice Squad,sportsdataio
ATL,Divine Deablo,LB,,Active,sportsdataio
ATL,Darnell Mooney,WR,,Active,sportsdataio
ATL,Jessie Bates III,S,,Active,sportsdataio
ATL,KhaDarel Hodge,WR,,Active,sportsdataio
ATL,Drake London,WR,,Active,sportsdataio
ATL,Younghoe Koo,K,,Active,sportsdataio
ATL,Bijan Robinson,RB,,Active,sportsdataio
ATL,Kyle Pitts Sr.,TE,,Active,sportsdataio
ATL,Michael Penix Jr.,QB,,Active,sportsdataio
ATL,Jalon Walker,OLB,,Active,sportsdataio
ATL,Bradley Pinion,P,,Active,sportsdataio
ATL,Jamal Agnew,WR,,Active,sportsdataio
ATL,Arnold Ebiketie,OLB,,Active,sportsdataio
ATL,Kirk Cousins,QB,,Active,sportsdataio
ATL,Dee Alford,CB,,Active,sportsdataio
ATL,Mike Hughes,CB,,Active,sportsdataio
ATL,Clark Phillips III,CB,,Active,sportsdataio
ATL,DeMarcco Hellams,S,,Active,sportsdataio
ATL,A.J. Terrell Jr.,CB,,Active,sportsdataio
ATL,Tyler Allgeier,RB,,Active,sportsdataio
ATL,James Pearce Jr.,DE,,Active,sportsdataio
ATL,Mike Ford Jr,CB,,Active,sportsdataio
ATL,Jordan Fuller,S,,Active,sportsdataio
ATL,Xavier Watts,S,,Active,sportsdataio
ATL,Billy Bowman Jr.,S,,Active,sportsdataio
ATL,Ray-Ray McCloud III,WR,,Active,sportsdataio
ATL,Natrone Brooks,CB,,Active,sportsdataio
ATL,Nathan Carter,RB,,Active,sportsdataio
ATL,JD Bertrand,ILB,,Active,sportsdataio
ATL,Josh Woods,ILB,,Active,sportsdataio
ATL,Malik Verdon,ILB,,Non Football Injury,sportsdataio
ATL,Troy Andersen,ILB,,Physically Unable to Perform,sportsdataio
ATL,Bralen Trice,OLB,,Injured Reserve,sportsdataio
ATL,Liam McCullough,LS,,Active,sportsdataio
ATL,DeAngelo Malone,OLB,,Active,sportsdataio
ATL,Jovaughn Gwyn,OL,,Active,sportsdataio
ATL,Brandon Dorlus,DT,,Active,sportsdataio
ATL,Kaden Elliss,ILB,,Active,sportsdataio
ATL,Leonard Floyd,DE,,Active,sportsdataio
ATL,Chris Lindstrom,G,,Active,sportsdataio
ATL,Ryan Neuzil,OL,,Active,sportsdataio
ATL,Matthew Bergeron,OL,,Active,sportsdataio
ATL,Kyle Hinton,OL,,Active,sportsdataio
ATL,Jack Nelson,OL,,Active,sportsdataio
ATL,Jake Matthews,OT,,Active,sportsdataio
ATL,Elijah Wilkinson,G,,Active,sportsdataio
ATL,Michael Jerrell,OT,,Active,sportsdataio
ATL,Kaleb McGary,OT,,Injured Reserve,sportsdataio
ATL,Storm Norton,OL,,Injured Reserve,sportsdataio
ATL,Casey Washington,WR,,Active,sportsdataio
ATL,Feleipe Franks,TE,,Active,sportsdataio
ATL,Teagan Quitoriano,TE,,Active,sportsdataio
ATL,David Sills V,WR,,Active,sportsdataio
ATL,Charlie Woerner,TE,,Active,sportsdataio
ATL,David Onyemata,DL,,Active,sportsdataio
ATL,LaCale London,DL,,Active,sportsdataio
ATL,Ta'Quon Graham,DL,,Injured Reserve,sportsdataio
ATL,Zach Harrison,DL,,Active,sportsdataio
ATL,Ruke Orhorhoro,DT,,Active,sportsdataio
