team,player,position,depth,status,source
BUF,Jordan Poyer,S,,Practice Squad,sportsdataio
BUF,Jordan Phillips,DT,,Practice Squad,sportsdataio
BUF,Dan Feeney,G,,Practice Squad,sportsdataio
BUF,Shane Buechele,QB,,Practice Squad,sportsdataio
BUF,Dane Jackson,CB,,Practice Squad,sportsdataio
BUF,Sam Franklin Jr.,S,,Practice Squad,sportsdataio
BUF,Kristian Wilkerson,WR,,Practice Squad,sportsdataio
BUF,Kendrick Green,C,,Practice Squad,sportsdataio
BUF,Andre Jones Jr.,DE,,Practice Squad,sportsdataio
BUF,Frank Gore Jr.,RB,,Practice Squad,sportsdataio
BUF,Zion Logue,DT,,Practice Squad,sportsdataio
BUF,Travis Clayton,OT,,Practice Squad,sportsdataio
BUF,Jimmy Ciarlo,LB,,Practice Squad,sportsdataio
BUF,Jalen Kimber,CB,,Practice Squad,sportsdataio
BUF,Stephen Gosnell,WR,,Practice Squad,sportsdataio
BUF,Keleki Latu,TE,,Practice Squad,sportsdataio
BUF,Keonta Jenkins,LB,,Practice Squad,sportsdataio
BUF,Wande Owens,S,,Injured Reserve,sportsdataio
BUF,Keon Coleman,WR,,Active,sportsdataio
BUF,Curtis Samuel,WR,,Active,sportsdataio
BUF,Tyler Bass,K,,Active,sportsdataio
BUF,Damar Hamlin,S,,Active,sportsdataio
BUF,James Cook,RB,,Active,sportsdataio
BUF,Joshua Palmer,WR,,Active,sportsdataio
BUF,Taron Johnson,CB,,Active,sportsdataio
BUF,Terrel Bernard,LB,,Active,sportsdataio
BUF,Taylor Rapp,S,,Active,sportsdataio
BUF,Khalil Shakir,WR,,Active,sportsdataio
BUF,Mitchell Trubisky,QB,,Active,sportsdataio
BUF,Josh Allen,QB,,Active,sportsdataio
BUF,Elijah Moore,WR,,Active,sportsdataio
BUF,Ray Davis,RB,,Active,sportsdataio
BUF,Cole Bishop,S,,Active,sportsdataio
BUF,Ty Johnson,RB,,Active,sportsdataio
BUF,Tre'Davious White,CB,,Active,sportsdataio
BUF,Brandon Codrington,CB,,Active,sportsdataio
BUF,Maxwell Hairston,CB,,Injured Reserve,sportsdataio
BUF,Jordan Hancock,CB,,Active,sportsdataio
BUF,Cam Lewis,DB,,Active,sportsdataio
BUF,Brad Robbins,P,,Active,sportsdataio
BUF,Reggie Gilliam,FB,,Active,sportsdataio
BUF,Dorian Williams,LB,,Active,sportsdataio
BUF,Dorian Strong,CB,,Active,sportsdataio
BUF,Joe Andreessen,LB,,Active,sportsdataio
BUF,Shaq Thompson,LB,,Active,sportsdataio
BUF,Ja'Marcus Ingram,CB,,Active,sportsdataio
BUF,Christian Benford,CB,,Active,sportsdataio
BUF,Greg Rousseau,DE,,Active,sportsdataio
BUF,Michael Hoecht,DE,,Suspended,sportsdataio
BUF,Javon Solomon,DE,,Active,sportsdataio
BUF,A.J. Epenesa,DE,,Active,sportsdataio
BUF,Matt Milano,LB,,Active,sportsdataio
BUF,Sedrick Van Pran-Granger,OL,,Active,sportsdataio
BUF,O'Cyrus Torrence,G,,Active,sportsdataio
BUF,Connor McGovern,G,,Active,sportsdataio
BUF,Tylan Grable,OT,,Injured Reserve,sportsdataio
BUF,Reid Ferguson,LS,,Active,sportsdataio
BUF,Alec Anderson,OT,,Active,sportsdataio
BUF,Dion Dawkins,OT,,Active,sportsdataio
BUF,Ryan Van Demark,OT,,Active,sportsdataio
BUF,David Edwards,G,,Active,sportsdataio
BUF,Chase Lundt,OT,,Active,sportsdataio
BUF,Spencer Brown,OT,,Active,sportsdataio
BUF,Tyrell Shavers,WR,,Active,sportsdataio
BUF,Jackson Hawes,TE,,Active,sportsdataio
BUF,Dalton Kincaid,TE,,Active,sportsdataio
BUF,Dawson Knox,TE,,Active,sportsdataio
BUF,DeWayne Carter,DT,,Active,sportsdataio
BUF,Ed Oliver,DT,,Active,sportsdataio
BUF,DaQuan Jones,DT,,Active,sportsdataio
BUF,Landon Jackson,DE,,Active,sportsdataio
BUF,Deone Walker,DT,,Active,sportsdataio
BUF,Joey Bosa,DE,,Active,sportsdataio
BUF,T.J. Sanders,DT,,Active,sportsdataio
BUF,Larry Ogunjobi,DT,,Suspended,sportsdataio
