team,player,position,depth,status,source
CAR,Hunter Renfrow,WR,,Active,sportsdataio
CAR,DeeJay Dallas,RB,,Practice Squad,sportsdataio
CAR,Brandon Walton,OT,,Practice Squad,sportsdataio
CAR,Krys Barnes,ILB,,Practice Squad,sportsdataio
CAR,Boogie Basham,OLB,,Practice Squad,sportsdataio
CAR,Ainias Smith,WR,,Practice Squad,sportsdataio
CAR,Ja'Tyre Carter,G,,Injured Reserve,sportsdataio
CAR,LaBryan Ray,DE,,Injured Reserve,sportsdataio
CAR,Sam Roberts,DT,,Practice Squad,sportsdataio
CAR,Kalen King,CB,,Practice Squad,sportsdataio
CAR,Jarrett Kingston,G,,Practice Squad,sportsdataio
CAR,Jaden Crumedy,DT,,Practice Squad,sportsdataio
CAR,Jared Harrison-Hunte,DE,,Practice Squad,sportsdataio
CAR,Michael Reid,CB,,Practice Squad,sportsdataio
CAR,Bryce Pierre,TE,,Practice Squad,sportsdataio
CAR,Michael Tarquin,OT,,Practice Squad,sportsdataio
CAR,Trevian Thomas,S,,Practice Squad,sportsdataio
CAR,Mapalo Mwansa,OLB,,Practice Squad,sportsdataio
CAR,Ja'Seem Reed,WR,,Practice Squad,sportsdataio
CAR,Ja'Tavion Sanders,TE,,Active,sportsdataio
CAR,Mike Jackson,CB,,Active,sportsdataio
CAR,Tetairoa McMillan,WR,,Active,sportsdataio
CAR,Rico Dowdle,RB,,Active,sportsdataio
CAR,Sam Martin,P,,Active,sportsdataio
CAR,Tre'von Moehrig,S,,Active,sportsdataio
CAR,Jaycee Horn,CB,,Active,sportsdataio
CAR,Bryce Young,QB,,Active,sportsdataio
CAR,Nic Scourton,LB,,Active,sportsdataio
CAR,Andy Dalton,QB,,Active,sportsdataio
CAR,Jimmy Horn Jr.,WR,,Active,sportsdataio
CAR,Hendon Hooker,QB,,Practice Squad,sportsdataio
CAR,Xavier Legette,WR,,Active,sportsdataio
CAR,Jalen Coker,WR,,Injured Reserve,sportsdataio
CAR,Nick Scott,S,,Active,sportsdataio
CAR,Lathan Ransom,S,,Active,sportsdataio
CAR,Trevor Etienne,RB,,Active,sportsdataio
CAR,Jonathon Brooks,RB,,Physically Unable to Perform,sportsdataio
CAR,Chau Smith-Wade,CB,,Active,sportsdataio
CAR,Damarri Mathis,CB,,Active,sportsdataio
CAR,Akayleb Evans,CB,,Active,sportsdataio
CAR,Chuba Hubbard,RB,,Active,sportsdataio
CAR,Corey Thornton,CB,,Active,sportsdataio
CAR,Trevin Wallace,LB,,Active,sportsdataio
CAR,Princely Umanmielen,OLB,,Active,sportsdataio
CAR,Ryan Fitzgerald,K,,Active,sportsdataio
CAR,Demani Richardson,S,,Active,sportsdataio
CAR,Tyler Mabry,TE,,Injured Reserve,sportsdataio
CAR,JJ Jansen,LS,,Active,sportsdataio
CAR,Thomas Incoom,OLB,,Active,sportsdataio
CAR,Robert Hunt,G,,Active,sportsdataio
CAR,DJ Johnson,OLB,,Active,sportsdataio
CAR,Claudin Cherelus,LB,,Active,sportsdataio
CAR,Cam Jackson,DT,,Active,sportsdataio
CAR,Christian Rozeboom,ILB,,Active,sportsdataio
CAR,Bam Martin-Scott,LB,,Active,sportsdataio
CAR,Chandler Zavala,G,,Active,sportsdataio
CAR,Austin Corbett,C,,Active,sportsdataio
CAR,Cade Mays,C,,Active,sportsdataio
CAR,Damien Lewis,G,,Active,sportsdataio
CAR,Brady Christensen,G,,Active,sportsdataio
CAR,Taylor Moton,OT,,Active,sportsdataio
CAR,Yosh Nijman,OT,,Active,sportsdataio
CAR,Popo Aumavae,DT,,Injured Reserve,sportsdataio
CAR,Ikem Ekwonu,OT,,Active,sportsdataio
CAR,Tommy Tremble,TE,,Active,sportsdataio
CAR,David Moore,WR,,Active,sportsdataio
CAR,Mitchell Evans,TE,,Active,sportsdataio
CAR,James Mitchell,TE,,Active,sportsdataio
CAR,Dalevon Campbell,WR,,Active,sportsdataio
CAR,Brycen Tremayne,WR,,Active,sportsdataio
CAR,Patrick Jones II,OLB,,Active,sportsdataio
CAR,Tershawn Wharton,DT,,Active,sportsdataio
CAR,A'Shawn Robinson,DE,,Active,sportsdataio
CAR,Derrick Brown,DE,,Active,sportsdataio
CAR,Bobby Brown III,DT,,Active,sportsdataio
CAR,D.J. Wonnum,OLB,,Active,sportsdataio
