team,player,position,depth,status,source
CHI,Tanoh Kpassagnon,DE,,Practice Squad,sportsdataio
CHI,Tre Flowers,CB,,Practice Squad,sportsdataio
CHI,Miles Boykin,WR,,Practice Squad,sportsdataio
CHI,Stephen Carlson,TE,,Practice Squad,sportsdataio
CHI,Bill Murray,G,,Injured Reserve,sportsdataio
CHI,Nahshon Wright,CB,,Active,sportsdataio
CHI,Nikola Kalinic,TE,,Practice Squad,sportsdataio
CHI,D'Marco Jackson,LB,,Active,sportsdataio
CHI,Jonathan Ford,DL,,Practice Squad,sportsdataio
CHI,Doug Kramer Jr.,C,,Injured Reserve,sportsdataio
CHI,Brittain Brown,RB,,Practice Squad,sportsdataio
CHI,Jaylon Jones,CB,,Active,sportsdataio
CHI,Maurice Alexander,WR,,Practice Squad,sportsdataio
CHI,Jordan McFadden,OL,,Practice Squad,sportsdataio
CHI,Gervarrius Owens,S,,Practice Squad,sportsdataio
CHI,Ricky Stromberg,C,,Practice Squad,sportsdataio
CHI,Jamree Kromah,DE,,Practice Squad,sportsdataio
CHI,Power Echols,LB,,Practice Squad,sportsdataio
CHI,Zah Frazier,DB,,Non Football Injury,sportsdataio
CHI,Dontae Manning,CB,,Practice Squad,sportsdataio
CHI,JP Richardson,WR,,Practice Squad,sportsdataio
CHI,Xavier Carlton,DL,,Practice Squad,sportsdataio
CHI,Tysheem Johnson,DB,,Injured Reserve,sportsdataio
CHI,Jaylon Johnson,CB,,Active,sportsdataio
CHI,DJ Moore,WR,,Active,sportsdataio
CHI,D'Andre Swift,RB,,Active,sportsdataio
CHI,Kyler Gordon,DB,,Active,sportsdataio
CHI,Cairo Santos,K,,Active,sportsdataio
CHI,Jaquan Brisker,S,,Active,sportsdataio
CHI,Case Keenum,QB,,Active,sportsdataio
CHI,Devin Duvernay,WR,,Active,sportsdataio
CHI,Olamide Zaccheaus,WR,,Active,sportsdataio
CHI,Rome Odunze,WR,,Active,sportsdataio
CHI,Tyson Bagent,QB,,Active,sportsdataio
CHI,Caleb Williams,QB,,Active,sportsdataio
CHI,Tory Taylor,P,,Active,sportsdataio
CHI,Jahdae Walker,WR,,Active,sportsdataio
CHI,Travis Homer,RB,,Injured Reserve,sportsdataio
CHI,Elijah Hicks,S,,Active,sportsdataio
CHI,Roschon Johnson,RB,,Active,sportsdataio
CHI,Nick McCloud,CB,,Active,sportsdataio
CHI,Kyle Monangai,RB,,Active,sportsdataio
CHI,Tyrique Stevenson,CB,,Active,sportsdataio
CHI,Kevin Byard III,S,,Active,sportsdataio
CHI,Terell Smith,CB,,Injured Reserve,sportsdataio
CHI,Deion Hankins,RB,,Injured Reserve,sportsdataio
CHI,Jonathan Owens,S,,Active,sportsdataio
CHI,Josh Blackwell,CB,,Active,sportsdataio
CHI,Noah Sewell,LB,,Active,sportsdataio
CHI,Amen Ogbongbemiga,LB,,Injured Reserve,sportsdataio
CHI,Scott Daly,LS,,Active,sportsdataio
CHI,Ruben Hyppolite II,LB,,Active,sportsdataio
CHI,Tremaine Edmunds,LB,,Active,sportsdataio
CHI,Grady Jarrett,DL,,Active,sportsdataio
CHI,Drew Dalman,OL,,Active,sportsdataio
CHI,T.J. Edwards,LB,,Active,sportsdataio
CHI,Dayo Odeyingbo,DE,,Active,sportsdataio
CHI,Darnell Wright,OT,,Active,sportsdataio
CHI,Joe Thuney,G,,Active,sportsdataio
CHI,Luke Newman,G,,Active,sportsdataio
CHI,Braxton Jones,OT,,Active,sportsdataio
CHI,Ryan Bates,C,,Active,sportsdataio
CHI,Kiran Amegadjie,OT,,Active,sportsdataio
CHI,Jonah Jackson,G,,Active,sportsdataio
CHI,Ozzy Trapilo,OL,,Active,sportsdataio
CHI,Theo Benedet,G,,Active,sportsdataio
CHI,Durham Smythe,TE,,Active,sportsdataio
CHI,Colston Loveland,TE,,Active,sportsdataio
CHI,Cole Kmet,TE,,Active,sportsdataio
CHI,Luther Burden III,WR,,Active,sportsdataio
CHI,Dominique Robinson,DE,,Active,sportsdataio
CHI,Chris Williams,DT,,Active,sportsdataio
CHI,Daniel Hardy,DL,,Active,sportsdataio
CHI,Austin Booker,DE,,Injured Reserve,sportsdataio
CHI,Shemar Turner,DL,,Active,sportsdataio
CHI,Andrew Billings,DL,,Active,sportsdataio
CHI,Montez Sweat,DE,,Active,sportsdataio
CHI,Gervon Dexter Sr.,DT,,Active,sportsdataio
