team,player,position,depth,status,source
CIN,Jalen Davis,CB,,Practice Squad,sportsdataio
CIN,Gary Brightwell,RB,,Practice Squad,sportsdataio
CIN,Kendall Milton,RB,,Practice Squad,sportsdataio
CIN,Jaxson Kirkland,G,,Practice Squad,sportsdataio
CIN,Isaiah Thomas,DE,,Practice Squad,sportsdataio
CIN,Cordell Volson,G,,Injured Reserve,sportsdataio
CIN,Tanner McLachlan,TE,,Injured Reserve,sportsdataio
CIN,Isaiah Williams,WR,,Practice Squad,sportsdataio
CIN,Andrew Coker,OT,,Practice Squad,sportsdataio
CIN,Maema Njongmeta,LB,,Practice Squad,sportsdataio
CIN,Seth McLaughlin,C,,Practice Squad,sportsdataio
CIN,Jordan Moore,WR,,Practice Squad,sportsdataio
CIN,Caleb Etienne,OT,,Injured Reserve,sportsdataio
CIN,Bralyn Lux,CB,,Practice Squad,sportsdataio
CIN,Ja'Marr Chase,WR,,Active,sportsdataio
CIN,Evan McPherson,K,,Active,sportsdataio
CIN,Tee Higgins,WR,,Active,sportsdataio
CIN,Jake Browning,QB,,Active,sportsdataio
CIN,Ryan Rehkow,P,,Active,sportsdataio
CIN,Joe Burrow,QB,,Active,sportsdataio
CIN,Brett Rypien,QB,,Practice Squad,sportsdataio
CIN,Charlie Jones,WR,,Active,sportsdataio
CIN,DJ Turner II,CB,,Active,sportsdataio
CIN,Geno Stone,S,,Active,sportsdataio
CIN,Dax Hill,CB,,Active,sportsdataio
CIN,Marco Wilson,CB,,Active,sportsdataio
CIN,Tahj Brooks,RB,,Active,sportsdataio
CIN,Tycen Anderson,S,,Active,sportsdataio
CIN,Jordan Battle,S,,Active,sportsdataio
CIN,Josh Newton,CB,,Active,sportsdataio
CIN,Cam Taylor-Britt,CB,,Active,sportsdataio
CIN,Chase Brown,RB,,Active,sportsdataio
CIN,Daijahn Anthony,S,,Injured Reserve,sportsdataio
CIN,Samaje Perine,RB,,Active,sportsdataio
CIN,PJ Jules,S,,Active,sportsdataio
CIN,DJ Ivey,CB,,Active,sportsdataio
CIN,Russ Yeast,S,,Practice Squad,sportsdataio
CIN,Oren Burks,LB,,Active,sportsdataio
CIN,Joe Giles-Harris,LB,,Practice Squad,sportsdataio
CIN,Demetrius Knight Jr.,LB,,Active,sportsdataio
CIN,William Wagner,LS,,Active,sportsdataio
CIN,Barrett Carter,LB,,Active,sportsdataio
CIN,Shaka Heyward,LB,,Active,sportsdataio
CIN,Cedric Johnson,DE,,Injured Reserve,sportsdataio
CIN,Logan Wilson,LB,,Active,sportsdataio
CIN,Joseph Ossai,DE,,Active,sportsdataio
CIN,Cody Ford,G,,Active,sportsdataio
CIN,Lucas Patrick,G,,Active,sportsdataio
CIN,Dylan Fairchild,G,,Active,sportsdataio
CIN,Ted Karras,C,,Active,sportsdataio
CIN,Matt Lee,C,,Active,sportsdataio
CIN,Dalton Risner,G,,Active,sportsdataio
CIN,Amarius Mims,OT,,Active,sportsdataio
CIN,Javon Foster,OT,,Practice Squad,sportsdataio
CIN,Jalen Rivers,OT,,Active,sportsdataio
CIN,Orlando Brown Jr.,OT,,Active,sportsdataio
CIN,Andrei Iosivas,WR,,Active,sportsdataio
CIN,Jermaine Burton,WR,,Active,sportsdataio
CIN,Mitchell Tinsley,WR,,Active,sportsdataio
CIN,Erick All Jr.,TE,,Physically Unable to Perform,sportsdataio
CIN,Cam Grandy,TE,,Active,sportsdataio
CIN,Noah Fant,TE,,Active,sportsdataio
CIN,Tanner Hudson,TE,,Active,sportsdataio
CIN,Mike Gesicki,TE,,Active,sportsdataio
CIN,Drew Sample,TE,,Active,sportsdataio
CIN,Kris Jenkins Jr.,DT,,Active,sportsdataio
CIN,Trey Hendrickson,DE,,Active,sportsdataio
CIN,B.J. Hill,DT,,Active,sportsdataio
CIN,McKinnley Jackson,DT,,Active,sportsdataio
CIN,Howard Cross III,DT,,Active,sportsdataio
CIN,Cam Sample,DE,,Active,sportsdataio
CIN,Shemar Stewart,DE,,Active,sportsdataio
CIN,T.J. Slaton Jr.,DT,,Active,sportsdataio
CIN,Myles Murphy,DE,,Active,sportsdataio
