team,player,position,depth,status,source
CLE,Trayveon Williams,RB,,Practice Squad,sportsdataio
CLE,Julian Okwara,DE,,Practice Squad,sportsdataio
CLE,Sam Kamara,DT,,Practice Squad,sportsdataio
CLE,Sal Cannella,TE,,Practice Squad,sportsdataio
CLE,Pierre Strong Jr.,RB,,Injured Reserve,sportsdataio
CLE,Kaden Davis,WR,,Practice Squad,sportsdataio
CLE,Anthony Kendall,CB,,Injured Reserve,sportsdataio
CLE,Christopher Edmonds,S,,Practice Squad,sportsdataio
CLE,Brenden Bates,TE,,Practice Squad,sportsdataio
CLE,Ahmani Marshall,RB,,Practice Squad,sportsdataio
CLE,Dom Jones,CB,,Practice Squad,sportsdataio
CLE,LaMareon James,CB,,Practice Squad,sportsdataio
CLE,Cade McDonald,WR,,Injured Reserve,sportsdataio
CLE,Greg Newsome II,CB,,Active,sportsdataio
CLE,Martin Emerson Jr.,CB,,Injured Reserve,sportsdataio
CLE,DeAndre Carter,WR,,Active,sportsdataio
CLE,Jerry Jeudy,WR,,Active,sportsdataio
CLE,Deshaun Watson,QB,,Physically Unable to Perform,sportsdataio
CLE,Dillon Gabriel,QB,,Active,sportsdataio
CLE,Jeremiah Owusu-Koramoah,LB,,Physically Unable to Perform,sportsdataio
CLE,Grant Delpit,S,,Active,sportsdataio
CLE,Quinshon Judkins,RB,,Did Not Report,sportsdataio
CLE,Bailey Zappe,QB,,Practice Squad,sportsdataio
CLE,Shedeur Sanders,QB,,Active,sportsdataio
CLE,Corey Bojorquez,P,,Active,sportsdataio
CLE,Joe Flacco,QB,,Active,sportsdataio
CLE,Jerome Baker,LB,,Active,sportsdataio
CLE,David Bell,WR,,Non Football Injury,sportsdataio
CLE,Cedric Tillman,WR,,Active,sportsdataio
CLE,Jarrick Bernard-Converse,CB,,Active,sportsdataio
CLE,Denzel Ward,CB,,Active,sportsdataio
CLE,Dylan Sampson,RB,,Active,sportsdataio
CLE,Damontae Kazee,FS,,Active,sportsdataio
CLE,Myles Harden,CB,,Active,sportsdataio
CLE,Rayshawn Jenkins,SS,,Active,sportsdataio
CLE,Cameron Mitchell,CB,,Active,sportsdataio
CLE,Devin Bush,ILB,,Active,sportsdataio
CLE,Donovan McMillon,S,,Active,sportsdataio
CLE,Ronnie Hickman,S,,Active,sportsdataio
CLE,Jerome Ford,RB,,Active,sportsdataio
CLE,Raheim Sanders,RB,,Active,sportsdataio
CLE,Nathaniel Watson,LB,,Injured Reserve,sportsdataio
CLE,Easton Mascarenas-Arnold,LB,,Active,sportsdataio
CLE,Mohamoud Diabate,LB,,Active,sportsdataio
CLE,Edefuan Ulofoshio,LB,,Practice Squad,sportsdataio
CLE,Andre Szmyt,K,,Active,sportsdataio
CLE,Carson Schwesinger,LB,,Active,sportsdataio
CLE,Rex Sunahara,LS,,Active,sportsdataio
CLE,Mike Hall Jr.,DT,,Active,sportsdataio
CLE,Garrett Dellinger,OL,,Practice Squad,sportsdataio
CLE,Ethan Pocic,C,,Active,sportsdataio
CLE,Luke Wypler,C,,Active,sportsdataio
CLE,Isaiah McGuire,DE,,Active,sportsdataio
CLE,Winston Reid,LB,,Injured Reserve,sportsdataio
CLE,Logan Brown,OT,,Practice Squad,sportsdataio
CLE,Adin Huntington,DE,,Active,sportsdataio
CLE,Cole Strange,G,,Practice Squad,sportsdataio
CLE,Zak Zinter,G,,Active,sportsdataio
CLE,Cornelius Lucas,OT,,Active,sportsdataio
CLE,KT Leveston,OT,,Active,sportsdataio
CLE,Teven Jenkins,G,,Active,sportsdataio
CLE,Joel Bitonio,G,,Active,sportsdataio
CLE,Wyatt Teller,G,,Active,sportsdataio
CLE,Jack Conklin,OT,,Active,sportsdataio
CLE,Dawand Jones,OT,,Active,sportsdataio
CLE,Jamari Thrash,WR,,Active,sportsdataio
CLE,Isaiah Bond,WR,,Active,sportsdataio
CLE,Malachi Corley,WR,,Practice Squad,sportsdataio
CLE,Gage Larvadain,WR,,Active,sportsdataio
CLE,David Njoku,TE,,Active,sportsdataio
CLE,Blake Whiteheart,TE,,Active,sportsdataio
CLE,Harold Fannin Jr.,TE,,Active,sportsdataio
CLE,Joe Tryon-Shoyinka,DE,,Active,sportsdataio
CLE,Alex Wright,DE,,Active,sportsdataio
CLE,Shelby Harris,DT,,Active,sportsdataio
CLE,Mason Graham,DT,,Active,sportsdataio
CLE,Myles Garrett,DE,,Active,sportsdataio
CLE,Maliek Collins,DT,,Active,sportsdataio
CLE,Cameron Thomas,DE,,Active,sportsdataio
