team,player,position,depth,status,source
DAL,C.J. Goodwin,CB,,Active,sportsdataio
DAL,Geron Christian,OT,,Practice Squad,sportsdataio
DAL,Will Grier,QB,,Practice Squad,sportsdataio
DAL,Hakeem Adeniji,OT,,Active,sportsdataio
DAL,Earnest Brown IV,DE,,Practice Squad,sportsdataio
DAL,Robert Rochell,CB,,Practice Squad,sportsdataio
DAL,Jalen Cropper,WR,,Practice Squad,sportsdataio
DAL,Christian Matthew,CB,,Injured Reserve,sportsdataio
DAL,Malik Davis,RB,,Practice Squad,sportsdataio
DAL,Jalen Brooks,WR,,Practice Squad,sportsdataio
DAL,Princeton Fant,TE,,Practice Squad,sportsdataio
DAL,John Stephens Jr.,TE,,Injured Reserve,sportsdataio
DAL,Ryan Flournoy,WR,,Practice Squad,sportsdataio
DAL,Trevor Keegan,G,,Active,sportsdataio
DAL,Shavon Revel Jr.,CB,,Non Football Injury,sportsdataio
DAL,Alijah Clark,DB,,Practice Squad,sportsdataio
DAL,Zion Childress,CB,,Practice Squad,sportsdataio
DAL,Justin Barron,LB,,Practice Squad,sportsdataio
DAL,DeMarvion Overshown,LB,,Physically Unable to Perform,sportsdataio
DAL,Jalen Tolbert,WR,,Active,sportsdataio
DAL,Juanyeh Thomas,S,,Active,sportsdataio
DAL,George Pickens,WR,,Active,sportsdataio
DAL,Dak Prescott,QB,,Active,sportsdataio
DAL,Bryan Anger,P,,Active,sportsdataio
DAL,Donovan Wilson,S,,Active,sportsdataio
DAL,Trevon Diggs,CB,,Active,sportsdataio
DAL,KaVontae Turpin,WR,,Active,sportsdataio
DAL,Joe Milton III,QB,,Active,sportsdataio
DAL,Dante Fowler Jr.,DE,,Active,sportsdataio
DAL,Markquese Bell,S,,Active,sportsdataio
DAL,Brandon Aubrey,K,,Active,sportsdataio
DAL,Damone Clark,LB,,Active,sportsdataio
DAL,Kaiir Elam,CB,,Active,sportsdataio
DAL,Caelen Carson,CB,,Injured Reserve,sportsdataio
DAL,Jaydon Blue,RB,,Active,sportsdataio
DAL,Miles Sanders,RB,,Active,sportsdataio
DAL,Trikweze Bridges,CB,,Active,sportsdataio
DAL,DaRon Bland,CB,,Active,sportsdataio
DAL,Reddy Steward,CB,,Active,sportsdataio
DAL,Malik Hooker,S,,Active,sportsdataio
DAL,Josh Butler,CB,,Physically Unable to Perform,sportsdataio
DAL,Buddy Johnson,LB,,Practice Squad,sportsdataio
DAL,Javonte Williams,RB,,Active,sportsdataio
DAL,Marist Liufau,LB,,Active,sportsdataio
DAL,Phil Mafah,RB,,Injured Reserve,sportsdataio
DAL,Hunter Luepke,RB,,Active,sportsdataio
DAL,Donovan Ezeiruaku,DE,,Active,sportsdataio
DAL,Trent Sieg,LS,,Active,sportsdataio
DAL,Shemar James,ILB,,Active,sportsdataio
DAL,Tyler Booker,G,,Active,sportsdataio
DAL,James Houston,DE,,Active,sportsdataio
DAL,Sam Williams,DE,,Active,sportsdataio
DAL,Cooper Beebe,C,,Active,sportsdataio
DAL,Jack Sanborn,LB,,Active,sportsdataio
DAL,Mazi Smith,DT,,Active,sportsdataio
DAL,Kenneth Murray Jr.,LB,,Active,sportsdataio
DAL,Tyler Guyton,OT,,Active,sportsdataio
DAL,Rob Jones,G,,Injured Reserve,sportsdataio
DAL,T.J. Bass,G,,Active,sportsdataio
DAL,Brock Hoffman,C,,Active,sportsdataio
DAL,Ajani Cornelius,OT,,Active,sportsdataio
DAL,Nate Thomas,OT,,Active,sportsdataio
DAL,Tyler Smith,G,,Active,sportsdataio
DAL,Terence Steele,OT,,Active,sportsdataio
DAL,Traeshon Holden,WR,,Practice Squad,sportsdataio
DAL,Jonathan Mingo,WR,,Injured Reserve,sportsdataio
DAL,Rivaldo Fairweather,TE,,Practice Squad,sportsdataio
DAL,Luke Schoonmaker,TE,,Active,sportsdataio
DAL,Jake Ferguson,TE,,Active,sportsdataio
DAL,CeeDee Lamb,WR,,Active,sportsdataio
DAL,Brevyn Spann-Ford,TE,,Active,sportsdataio
DAL,Solomon Thomas,DT,,Active,sportsdataio
DAL,Isaiah Land,DE,,Practice Squad,sportsdataio
DAL,Adedayo Odeleye,DE,,Practice Squad,sportsdataio
DAL,Jay Toia,DT,,Active,sportsdataio
DAL,Marshawn Kneeland,DE,,Active,sportsdataio
DAL,Kenny Clark,DT,,Active,sportsdataio
DAL,Osa Odighizuwa,DT,,Active,sportsdataio
DAL,Payton Turner,DE,,Injured Reserve,sportsdataio
DAL,Perrion Winfrey,DT,,Active,sportsdataio
