team,player,position,depth,status,source
DEN,Sam Ehlinger,QB,,Practice Squad,sportsdataio
DEN,Calvin Throckmorton,G,,Practice Squad,sportsdataio
DEN,Garret Wallow,LB,,Practice Squad,sportsdataio
DEN,Adam Prentice,FB,,Practice Squad,sportsdataio
DEN,Michael Bandy,WR,,Practice Squad,sportsdataio
DEN,Delarrin Turner-Yell,S,,Practice Squad,sportsdataio
DEN,Matt Henningsen,DE,,Injured Reserve,sportsdataio
DEN,A.T. Perry,WR,,Practice Squad,sportsdataio
DEN,Reese Taylor,CB,,Practice Squad,sportsdataio
DEN,Keidron Smith,DB,,Practice Squad,sportsdataio
DEN,Patrick Murtagh,TE,,Practice Squad,sportsdataio
DEN,Jordan Miller,NT,,Practice Squad,sportsdataio
DEN,Levelle Bailey,ILB,,Practice Squad,sportsdataio
DEN,Quinton Newsome,CB,,Practice Squad,sportsdataio
DEN,Johnny Walker Jr.,OLB,,Injured Reserve,sportsdataio
DEN,Caleb Lohner,TE,,Practice Squad,sportsdataio
DEN,Jaden Robinson,CB,,Practice Squad,sportsdataio
DEN,Joe Michalski,C,,Practice Squad,sportsdataio
DEN,Kristian Williams,DT,,Injured Reserve,sportsdataio
DEN,Jordan Turner,LB,,Practice Squad,sportsdataio
DEN,Jonathon Cooper,OLB,,Active,sportsdataio
DEN,Evan Engram,TE,,Active,sportsdataio
DEN,Pat Surtain II,CB,,Active,sportsdataio
DEN,Wil Lutz,K,,Active,sportsdataio
DEN,Trent Sherfield Sr.,WR,,Active,sportsdataio
DEN,P.J. Locke,S,,Active,sportsdataio
DEN,Jarrett Stidham,QB,,Active,sportsdataio
DEN,Talanoa Hufanga,S,,Active,sportsdataio
DEN,Bo Nix,QB,,Active,sportsdataio
DEN,Troy Franklin,WR,,Active,sportsdataio
DEN,Jahdae Barron,CB,,Active,sportsdataio
DEN,Pat Bryant,WR,,Active,sportsdataio
DEN,Courtland Sutton,WR,,Active,sportsdataio
DEN,Nik Bonitto,OLB,,Active,sportsdataio
DEN,Jeremy Crawshaw,P,,Active,sportsdataio
DEN,Marvin Mims Jr.,WR,,Active,sportsdataio
DEN,Michael Burton,FB,,Injured Reserve,sportsdataio
DEN,Riley Moss,CB,,Active,sportsdataio
DEN,Brandon Jones,S,,Active,sportsdataio
DEN,Devon Key,S,,Active,sportsdataio
DEN,J.K. Dobbins,RB,,Active,sportsdataio
DEN,Tyler Badie,RB,,Active,sportsdataio
DEN,Ja'Quan McMillian,CB,,Active,sportsdataio
DEN,Kris Abrams-Draine,CB,,Active,sportsdataio
DEN,JL Skinner,S,,Active,sportsdataio
DEN,RJ Harvey,RB,,Active,sportsdataio
DEN,Jaleel McLaughlin,RB,,Active,sportsdataio
DEN,Justin Strnad,ILB,,Active,sportsdataio
DEN,Drew Sanders,ILB,,Injured Reserve,sportsdataio
DEN,Nate Adkins,TE,,Active,sportsdataio
DEN,Karene Reid,LB,,Active,sportsdataio
DEN,Mitchell Fraboni,LS,,Active,sportsdataio
DEN,Alex Singleton,ILB,,Active,sportsdataio
DEN,Que Robinson,LB,,Active,sportsdataio
DEN,Jonah Elliss,OLB,,Active,sportsdataio
DEN,Alex Forsyth,C,,Active,sportsdataio
DEN,Dre Greenlaw,LB,,Active,sportsdataio
DEN,Luke Wattenberg,C,,Active,sportsdataio
DEN,Alex Palczewski,OT,,Active,sportsdataio
DEN,Nick Gargiulo,G,,Injured Reserve,sportsdataio
DEN,Mike McGlinchey,OT,,Active,sportsdataio
DEN,Garett Bolles,OT,,Active,sportsdataio
DEN,Frank Crum,OT,,Active,sportsdataio
DEN,Ben Powers,G,,Active,sportsdataio
DEN,Quinn Meinerz,OL,,Active,sportsdataio
DEN,Matt Peart,OT,,Active,sportsdataio
DEN,Adam Trautman,TE,,Active,sportsdataio
DEN,Lucas Krull,TE,,Active,sportsdataio
DEN,Dondrea Tillman,OLB,,Active,sportsdataio
DEN,D.J. Jones,DT,,Active,sportsdataio
DEN,Jordan Jackson,DL,,Active,sportsdataio
DEN,Sai'vion Jones,DE,,Active,sportsdataio
DEN,Eyioma Uwazurike,DL,,Active,sportsdataio
DEN,Malcolm Roach,DT,,Active,sportsdataio
DEN,John Franklin-Myers,DE,,Active,sportsdataio
DEN,Zach Allen,DE,,Active,sportsdataio
