team,player,position,depth,status,source
DET,Dan Skipper,OT,,Practice Squad,sportsdataio
DET,Anthony Pittman,LB,,Practice Squad,sportsdataio
DET,Tom Kennedy,WR,,Practice Squad,sportsdataio
DET,Trystan Colon,C,,Practice Squad,sportsdataio
DET,Myles Adams,DE,,Practice Squad,sportsdataio
DET,Ronnie Bell,WR,,Practice Squad,sportsdataio
DET,Michael Niese,C,,Practice Squad,sportsdataio
DET,Andre Carter II,DE,,Practice Squad,sportsdataio
DET,Tyler Lacy,DT,,Active,sportsdataio
DET,Jacob Saylors,RB,,Practice Squad,sportsdataio
DET,Erick Hallett,S,,Practice Squad,sportsdataio
DET,Tyrus Wheat,DE,,Active,sportsdataio
DET,Thomas Harper,S,,Active,sportsdataio
DET,Isaac Ukwu,DE,,Practice Squad,sportsdataio
DET,Loren Strickland,S,,Practice Squad,sportsdataio
DET,Jackson Meeks,WR,,Practice Squad,sportsdataio
DET,Mason Miller,OT,,Practice Squad,sportsdataio
DET,Kye Robichaux,RB,,Injured Reserve,sportsdataio
DET,Keith Cooper Jr.,DL,,Practice Squad,sportsdataio
DET,Zach Horton,TE,,Practice Squad,sportsdataio
DET,Jahmyr Gibbs,RB,,Active,sportsdataio
DET,Jameson Williams,WR,,Active,sportsdataio
DET,Daniel Thomas,S,,Active,sportsdataio
DET,Jack Fox,P,,Active,sportsdataio
DET,D.J. Reed,CB,,Active,sportsdataio
DET,David Montgomery,RB,,Active,sportsdataio
DET,Terrion Arnold,CB,,Active,sportsdataio
DET,Kyle Allen,QB,,Active,sportsdataio
DET,Ennis Rakestraw Jr.,CB,,Injured Reserve,sportsdataio
DET,Kalif Raymond,WR,,Active,sportsdataio
DET,Craig Reynolds,RB,,Active,sportsdataio
DET,Amon-Ra St. Brown,WR,,Active,sportsdataio
DET,Grant Stuard,LB,,Active,sportsdataio
DET,Jared Goff,QB,,Active,sportsdataio
DET,Isaac TeSlaa,WR,,Active,sportsdataio
DET,Dominic Lovett,WR,,Active,sportsdataio
DET,Amik Robertson,CB,,Active,sportsdataio
DET,Rock Ya-Sin,CB,,Active,sportsdataio
DET,Dan Jackson,S,,Injured Reserve,sportsdataio
DET,Avonte Maddox,CB,,Active,sportsdataio
DET,Khalil Dorsey,CB,,Active,sportsdataio
DET,Kerby Joseph,S,,Active,sportsdataio
DET,Brian Branch,DB,,Active,sportsdataio
DET,Sione Vaki,RB,,Active,sportsdataio
DET,Alex Anzalone,LB,,Active,sportsdataio
DET,Jake Bates,K,,Active,sportsdataio
DET,Malcolm Rodriguez,LB,,Physically Unable to Perform,sportsdataio
DET,Jack Campbell,LB,,Active,sportsdataio
DET,Ezekiel Turner,ILB,,Injured Reserve,sportsdataio
DET,Hogan Hatten,LS,,Active,sportsdataio
DET,Roy Lopez,DT,,Active,sportsdataio
DET,Zach Cunningham,LB,,Active,sportsdataio
DET,Trevor Nowaske,ILB,,Active,sportsdataio
DET,Alim McNeill,DL,,Physically Unable to Perform,sportsdataio
DET,Derrick Barnes,LB,,Active,sportsdataio
DET,Penei Sewell,OT,,Active,sportsdataio
DET,Giovanni Manu,OT,,Active,sportsdataio
DET,Graham Glasgow,G,,Active,sportsdataio
DET,Kingsley Eguakun,C,,Active,sportsdataio
DET,Taylor Decker,OT,,Active,sportsdataio
DET,Tate Ratledge,OL,,Active,sportsdataio
DET,Miles Frazier,OL,,Physically Unable to Perform,sportsdataio
DET,Jamarco Jones,OT,,Active,sportsdataio
DET,Christian Mahogany,G,,Active,sportsdataio
DET,Kayode Awosika,G,,Active,sportsdataio
DET,Colby Sorsdal,G,,Injured Reserve,sportsdataio
DET,Justin Herron,OT,,Injured Reserve,sportsdataio
DET,Levi Onwuzurike,DL,,Physically Unable to Perform,sportsdataio
DET,Shane Zylstra,TE,,Active,sportsdataio
DET,Sam LaPorta,TE,,Active,sportsdataio
DET,Kenny Yeboah,TE,,Injured Reserve,sportsdataio
DET,Brock Wright,TE,,Active,sportsdataio
DET,Chris Smith,DL,,Active,sportsdataio
DET,Tyleik Williams,DT,,Active,sportsdataio
DET,Marcus Davenport,DE,,Active,sportsdataio
DET,Josh Paschal,DE,,Non Football Injury,sportsdataio
DET,Mekhi Wingo,DT,,Active,sportsdataio
DET,Pat O'Connor,DL,,Active,sportsdataio
DET,Al-Quadin Muhammad,DE,,Active,sportsdataio
DET,Aidan Hutchinson,DE,,Active,sportsdataio
DET,DJ Reader,DT,,Active,sportsdataio
