team,player,position,depth,status,source
GB,Mecole Hardman,WR,,Practice Squad,sportsdataio
GB,Kristian Welch,LB,,Practice Squad,sportsdataio
GB,Arron Mosby,DL,,Practice Squad,sportsdataio
GB,Clayton Tune,QB,,Practice Squad,sportsdataio
GB,Josh Whyle,TE,,Practice Squad,sportsdataio
GB,Deslin Alexandre,DE,,Practice Squad,sportsdataio
GB,Jaylin Simpson,S,,Practice Squad,sportsdataio
GB,Keith Randolph,DT,,Injured Reserve,sportsdataio
GB,James Ester,DT,,Practice Squad,sportsdataio
GB,Will Sheppard,WR,,Practice Squad,sportsdataio
GB,Isaiah Neyor,WR,,Practice Squad,sportsdataio
GB,Jamon Johnson,LB,,Practice Squad,sportsdataio
GB,Micah Robinson,CB,,Practice Squad,sportsdataio
GB,Brant Banks,OT,,Practice Squad,sportsdataio
GB,Dalton Cooper,OT,,Practice Squad,sportsdataio
GB,Johnathan Baldwin,CB,,Practice Squad,sportsdataio
GB,Mark McNamee,K,,Practice Squad,sportsdataio
GB,Matthew Golden,WR,,Active,sportsdataio
GB,Micah Parsons,DE,,Active,sportsdataio
GB,Malik Willis,QB,,Active,sportsdataio
GB,Quay Walker,LB,,Active,sportsdataio
GB,Josh Jacobs,RB,,Active,sportsdataio
GB,Christian Watson,WR,,Physically Unable to Perform,sportsdataio
GB,Jordan Love,QB,,Active,sportsdataio
GB,Jayden Reed,WR,,Active,sportsdataio
GB,Dontayvion Wicks,WR,,Active,sportsdataio
GB,Bo Melton,CB,,Active,sportsdataio
GB,Brandon McManus,K,,Active,sportsdataio
GB,Malik Heath,WR,,Active,sportsdataio
GB,Daniel Whelan,P,,Active,sportsdataio
GB,Javon Bullard,S,,Active,sportsdataio
GB,Nate Hobbs,CB,,Active,sportsdataio
GB,Emanuel Wilson,RB,,Active,sportsdataio
GB,Carrington Valentine,CB,,Active,sportsdataio
GB,Keisean Nixon,CB,,Active,sportsdataio
GB,Kitan Oladapo,S,,Active,sportsdataio
GB,Israel Abanikanda,RB,,Practice Squad,sportsdataio
GB,Xavier McKinney,S,,Active,sportsdataio
GB,Chris Brooks,RB,,Active,sportsdataio
GB,MarShawn Lloyd,RB,,Injured Reserve,sportsdataio
GB,Evan Williams,S,,Active,sportsdataio
GB,Kamal Hadden,CB,,Active,sportsdataio
GB,Zayne Anderson,S,,Active,sportsdataio
GB,Omar Brown,S,,Injured Reserve,sportsdataio
GB,Matt Orzech,LS,,Active,sportsdataio
GB,Collin Oliver,DL,,Physically Unable to Perform,sportsdataio
GB,Zach Tom,OL,,Active,sportsdataio
GB,Nick Niemann,LB,,Active,sportsdataio
GB,Rashan Gary,DL,,Active,sportsdataio
GB,Kingsley Enagbare,DL,,Active,sportsdataio
GB,Edgerrin Cooper,LB,,Active,sportsdataio
GB,Brenton Cox Jr.,DL,,Active,sportsdataio
GB,Isaiah McDuffie,LB,,Active,sportsdataio
GB,Ty'Ron Hopper,LB,,Active,sportsdataio
GB,Jacob Monk,C,,Injured Reserve,sportsdataio
GB,Rasheed Walker,OT,,Active,sportsdataio
GB,Aaron Banks,G,,Active,sportsdataio
GB,Donovan Jennings,G,,Active,sportsdataio
GB,Darian Kinnard,G,,Active,sportsdataio
GB,Anthony Belton,OT,,Active,sportsdataio
GB,John Williams,G,,Physically Unable to Perform,sportsdataio
GB,Elgton Jenkins,G,,Active,sportsdataio
GB,Sean Rhyan,G,,Active,sportsdataio
GB,Jordan Morgan,OT,,Active,sportsdataio
GB,Travis Glover,OT,,Injured Reserve,sportsdataio
GB,Savion Williams,WR,,Active,sportsdataio
GB,Tucker Kraft,TE,,Active,sportsdataio
GB,John FitzPatrick,TE,,Active,sportsdataio
GB,Romeo Doubs,WR,,Active,sportsdataio
GB,Luke Musgrave,TE,,Active,sportsdataio
GB,Ben Sims,TE,,Active,sportsdataio
GB,Lukas Van Ness,DL,,Active,sportsdataio
GB,Warren Brinson,DL,,Active,sportsdataio
GB,Nazir Stackhouse,DL,,Active,sportsdataio
GB,Karl Brooks,DL,,Active,sportsdataio
GB,Devonte Wyatt,DL,,Active,sportsdataio
GB,Colby Wooden,DL,,Active,sportsdataio
GB,Barryn Sorrell,DE,,Active,sportsdataio
