team,player,position,depth,status,source
HOU,Trent Brown,OT,,Practice Squad,sportsdataio
HOU,Jakob Johnson,FB,,Practice Squad,sportsdataio
HOU,Juwann Winfree,WR,,Injured Reserve,sportsdataio
HOU,Harrison Bryant,TE,,Practice Squad,sportsdataio
HOU,Damon Arnette,CB,,Practice Squad,sportsdataio
HOU,Myles Bryant,CB,,Practice Squad,sportsdataio
HOU,Haggai Ndubuisi,DT,,Practice Squad,sportsdataio
HOU,Jaylon Thomas,OT,,Practice Squad,sportsdataio
HOU,Jared Wayne,WR,,Practice Squad,sportsdataio
HOU,Jawhar Jordan,RB,,Practice Squad,sportsdataio
HOU,Solomon Byrd,DE,,Practice Squad,sportsdataio
HOU,Luke Lachey,TE,,Practice Squad,sportsdataio
HOU,Josh Kelly,WR,,Practice Squad,sportsdataio
HOU,Jackson Woodard,LB,,Practice Squad,sportsdataio
HOU,Junior Tafuna,DT,,Practice Squad,sportsdataio
HOU,Eli Cox,C,,Practice Squad,sportsdataio
HOU,K.C. Ossai,LB,,Practice Squad,sportsdataio
HOU,Reid Holskey,OL,,Practice Squad,sportsdataio
HOU,Azeez Al-Shaair,LB,,Active,sportsdataio
HOU,Calen Bullock,S,,Active,sportsdataio
HOU,Tank Dell,WR,,Physically Unable to Perform,sportsdataio
HOU,Kamari Lassiter,CB,,Active,sportsdataio
HOU,Jalen Pitre,S,,Active,sportsdataio
HOU,Tommy Townsend,P,,Active,sportsdataio
HOU,C.J. Stroud,QB,,Active,sportsdataio
HOU,Brevin Jordan,TE,,Injured Reserve,sportsdataio
HOU,Davis Mills,QB,,Active,sportsdataio
HOU,Tremon Smith,CB,,Active,sportsdataio
HOU,Nico Collins,WR,,Active,sportsdataio
HOU,Christian Kirk,WR,,Active,sportsdataio
HOU,Ka'imi Fairbairn,K,,Active,sportsdataio
HOU,Braxton Berrios,WR,,Active,sportsdataio
HOU,Graham Mertz,QB,,Active,sportsdataio
HOU,Xavier Hutchinson,WR,,Active,sportsdataio
HOU,Jimmie Ward,S,,Commissioner Exempt List,sportsdataio
HOU,Nick Chubb,RB,,Active,sportsdataio
HOU,C.J. Gardner-Johnson,S,,Active,sportsdataio
HOU,Derek Stingley Jr.,CB,,Active,sportsdataio
HOU,Woody Marks,RB,,Active,sportsdataio
HOU,Joe Mixon,RB,,Non Football Injury,sportsdataio
HOU,M.J. Stewart,S,,Active,sportsdataio
HOU,Jaylin Smith,CB,,Active,sportsdataio
HOU,Dameon Pierce,RB,,Active,sportsdataio
HOU,Dare Ogunbowale,RB,,Active,sportsdataio
HOU,Jaylen Reed,S,,Injured Reserve,sportsdataio
HOU,Jake Hansen,LB,,Active,sportsdataio
HOU,Alijah Huzzie,CB,,Non Football Injury,sportsdataio
HOU,Henry To'oTo'o,LB,,Active,sportsdataio
HOU,Austin Brinkman,LS,,Active,sportsdataio
HOU,British Brooks,RB,,Active,sportsdataio
HOU,E.J. Speed,LB,,Active,sportsdataio
HOU,Christian Harris,LB,,Active,sportsdataio
HOU,Will Anderson Jr.,DE,,Active,sportsdataio
HOU,Darrell Taylor,DE,,Active,sportsdataio
HOU,Jarrett Patterson,OL,,Active,sportsdataio
HOU,Danielle Hunter,DE,,Active,sportsdataio
HOU,Jamal Hill,LB,,Active,sportsdataio
HOU,Blake Fisher,OT,,Active,sportsdataio
HOU,Kyonte Hamilton,DT,,Injured Reserve,sportsdataio
HOU,Jake Andrews,C,,Active,sportsdataio
HOU,Ed Ingram,G,,Active,sportsdataio
HOU,Juice Scruggs,OL,,Active,sportsdataio
HOU,Tytus Howard,OT,,Active,sportsdataio
HOU,Tommy Togiai,DT,,Active,sportsdataio
HOU,Cam Robinson,OT,,Active,sportsdataio
HOU,Laken Tomlinson,G,,Active,sportsdataio
HOU,Aireontae Ersery,OT,,Active,sportsdataio
HOU,Jayden Higgins,WR,,Active,sportsdataio
HOU,Jaylin Noel,WR,,Active,sportsdataio
HOU,Irv Smith Jr.,TE,,Injured Reserve,sportsdataio
HOU,Justin Watson,WR,,Active,sportsdataio
HOU,Dalton Schultz,TE,,Active,sportsdataio
HOU,Cade Stover,TE,,Active,sportsdataio
HOU,Sheldon Rankins,DT,,Active,sportsdataio
HOU,Folorunso Fatukasi,DT,,Active,sportsdataio
HOU,Dylan Horton,DE,,Active,sportsdataio
HOU,Kurt Hinish,DT,,Physically Unable to Perform,sportsdataio
HOU,Derek Barnett,DE,,Active,sportsdataio
HOU,Denico Autry,DE,,Physically Unable to Perform,sportsdataio
HOU,Mario Edwards Jr.,DT,,Active,sportsdataio
HOU,Tim Settle Jr.,DT,,Active,sportsdataio
