team,player,position,depth,status,source
IND,Laquon Treadwell,WR,,Practice Squad,sportsdataio
IND,Josh Tupou,DT,,Practice Squad,sportsdataio
IND,Chris Lammons,CB,,Practice Squad,sportsdataio
IND,Sean McKeon,TE,,Practice Squad,sportsdataio
IND,Khalil Herbert,RB,,Practice Squad,sportsdataio
IND,Josh Sills,G,,Practice Squad,sportsdataio
IND,Tyler Scott,WR,,Practice Squad,sportsdataio
IND,Austin Ajiake,LB,,Practice Squad,sportsdataio
IND,Durell Nchami,DE,,Practice Squad,sportsdataio
IND,Marcellus Johnson,OT,,Practice Squad,sportsdataio
IND,Ben Nikkel,S,,Practice Squad,sportsdataio
IND,Ulysses Bentley IV,RB,,Practice Squad,sportsdataio
IND,Tim Smith,DT,,Practice Squad,sportsdataio
IND,Mose Vavao,C,,Practice Squad,sportsdataio
IND,Maddux Trujillo,K,,Injured Reserve,sportsdataio
IND,Maximilian Mang,TE,,Practice Squad,sportsdataio
IND,Trey Washington,S,,Practice Squad,sportsdataio
IND,Cam Bynum,S,,Active,sportsdataio
IND,Josh Downs,WR,,Active,sportsdataio
IND,D.J. Montgomery,WR,,Injured Reserve,sportsdataio
IND,Spencer Shrader,K,,Active,sportsdataio
IND,Xavien Howard,CB,,Active,sportsdataio
IND,Anthony Richardson Sr.,QB,,Active,sportsdataio
IND,Anthony Gould,WR,,Active,sportsdataio
IND,Charvarius Ward,CB,,Active,sportsdataio
IND,Rigoberto Sanchez,P,,Active,sportsdataio
IND,Coleman Owen,WR,,Practice Squad,sportsdataio
IND,Adonai Mitchell,WR,,Active,sportsdataio
IND,Michael Pittman Jr.,WR,,Active,sportsdataio
IND,Alec Pierce,WR,,Active,sportsdataio
IND,Riley Leonard,QB,,Active,sportsdataio
IND,Ashton Dulin,WR,,Active,sportsdataio
IND,Daniel Jones,QB,,Active,sportsdataio
IND,Nick Cross,S,,Active,sportsdataio
IND,DJ Giddens,RB,,Active,sportsdataio
IND,Kenny Moore II,CB,,Active,sportsdataio
IND,Rodney Thomas II,S,,Active,sportsdataio
IND,Justin Walley,CB,,Injured Reserve,sportsdataio
IND,Jonathan Taylor,RB,,Active,sportsdataio
IND,Mekhi Blackmon,CB,,Active,sportsdataio
IND,Hunter Wohler,S,,Injured Reserve,sportsdataio
IND,Tyler Goodson,RB,,Active,sportsdataio
IND,Daniel Scott,S,,Active,sportsdataio
IND,Johnathan Edwards,CB,,Active,sportsdataio
IND,Salvon Ahmed,RB,,Injured Reserve,sportsdataio
IND,Jaylon Jones,CB,,Active,sportsdataio
IND,Zaire Franklin,LB,,Active,sportsdataio
IND,Luke Rhodes,LS,,Active,sportsdataio
IND,Joe Bachie,LB,,Active,sportsdataio
IND,Segun Olubi,LB,,Active,sportsdataio
IND,Kwity Paye,DE,,Active,sportsdataio
IND,Samson Ebukam,DE,,Active,sportsdataio
IND,Jacob Phillips,OLB,,Injured Reserve,sportsdataio
IND,Chad Muma,LB,,Active,sportsdataio
IND,Quenton Nelson,G,,Active,sportsdataio
IND,Jaylon Carlies,LB,,Injured Reserve,sportsdataio
IND,Cameron McGrone,LB,,Active,sportsdataio
IND,Tanor Bortolini,C,,Active,sportsdataio
IND,Danny Pinter,C,,Active,sportsdataio
IND,Luke Tenuta,OT,,Active,sportsdataio
IND,Dalton Tucker,G,,Active,sportsdataio
IND,Matt Goncalves,G,,Active,sportsdataio
IND,Braden Smith,OT,,Active,sportsdataio
IND,Blake Freeland,OT,,Injured Reserve,sportsdataio
IND,Jalen Travis,OT,,Active,sportsdataio
IND,Jack Wilson,OT,,Injured Reserve,sportsdataio
IND,Bernhard Raimann,OT,,Active,sportsdataio
IND,Mo Alie-Cox,TE,,Active,sportsdataio
IND,Tyler Warren,TE,,Active,sportsdataio
IND,Drew Ogletree,TE,,Active,sportsdataio
IND,Will Mallory,TE,,Active,sportsdataio
IND,Grover Stewart,DT,,Active,sportsdataio
IND,JT Tuimoloau,DE,,Active,sportsdataio
IND,Neville Gallimore,DT,,Active,sportsdataio
IND,Tyquan Lewis,DE,,Active,sportsdataio
IND,Adetomiwa Adebawore,DT,,Active,sportsdataio
IND,Laiatu Latu,DE,,Active,sportsdataio
IND,Eric Johnson II,DT,,Active,sportsdataio
IND,DeForest Buckner,DT,,Active,sportsdataio
