team,player,position,depth,status,source
JAX,Matt Dickerson,DE,,Practice Squad,sportsdataio
JAX,Quintin Morris,TE,,Practice Squad,sportsdataio
JAX,Austin Trammell,WR,,Practice Squad,sportsdataio
JAX,Erik Ezukanma,WR,,Practice Squad,sportsdataio
JAX,Ricky Lee,OT,,Practice Squad,sportsdataio
JAX,Jerome Carvin,G,,Practice Squad,sportsdataio
JAX,Joshua Cephus,WR,,Injured Reserve,sportsdataio
JAX,Keni-H Lovely,CB,,Practice Squad,sportsdataio
JAX,Ja'Quinden Jackson,RB,,Practice Squad,sportsdataio
JAX,Seth Henigan,QB,,Practice Squad,sportsdataio
JAX,Jabbar Muhammad,DB,,Practice Squad,sportsdataio
JAX,Keivie Rose,DL,,Practice Squad,sportsdataio
JAX,Chandler Brayboy,WR,,Practice Squad,sportsdataio
JAX,Branson Combs,LB,,Practice Squad,sportsdataio
JAX,Patrick Herbert,TE,,Practice Squad,sportsdataio
JAX,Cam'Ron Silmon-Craig,S,,Practice Squad,sportsdataio
JAX,Sal Wormley,G,,Practice Squad,sportsdataio
JAX,Devin Lloyd,LB,,Active,sportsdataio
JAX,Travis Etienne Jr.,RB,,Active,sportsdataio
JAX,Jourdan Lewis,CB,,Active,sportsdataio
JAX,Tyson Campbell,CB,,Active,sportsdataio
JAX,Tank Bigsby,RB,,Active,sportsdataio
JAX,Dyami Brown,WR,,Active,sportsdataio
JAX,Darnell Savage,S,,Active,sportsdataio
JAX,Brian Thomas Jr.,WR,,Active,sportsdataio
JAX,Logan Cooke,P,,Active,sportsdataio
JAX,Parker Washington,WR,,Active,sportsdataio
JAX,Travis Hunter,WR,,Active,sportsdataio
JAX,Nick Mullens,QB,,Active,sportsdataio
JAX,Trevor Lawrence,QB,,Active,sportsdataio
JAX,Tim Patrick,WR,,Active,sportsdataio
JAX,Christian Braswell,CB,,Active,sportsdataio
JAX,Jarrian Jones,CB,,Active,sportsdataio
JAX,Foyesade Oluokun,LB,,Active,sportsdataio
JAX,Rayuan Lane III,S,,Active,sportsdataio
JAX,Antonio Johnson,S,,Active,sportsdataio
JAX,Caleb Ransaw,DB,,Injured Reserve,sportsdataio
JAX,Eric Murray,S,,Active,sportsdataio
JAX,Montaric Brown,CB,,Active,sportsdataio
JAX,Bhayshul Tuten,RB,,Active,sportsdataio
JAX,LeQuint Allen Jr.,RB,,Active,sportsdataio
JAX,Cam Little,K,,Active,sportsdataio
JAX,Josh Hines-Allen,DE,,Active,sportsdataio
JAX,Andrew Wingard,S,,Active,sportsdataio
JAX,Travon Walker,DE,,Active,sportsdataio
JAX,Ross Matiscik,LS,,Active,sportsdataio
JAX,Ventrell Miller,LB,,Active,sportsdataio
JAX,DaVon Hamilton,DT,,Active,sportsdataio
JAX,Jalen McLeod,LB,,Injured Reserve,sportsdataio
JAX,Jack Kiser,LB,,Active,sportsdataio
JAX,Chuma Edoga,G,,Active,sportsdataio
JAX,Yasir Abdullah,LB,,Active,sportsdataio
JAX,Dennis Gardeck,OLB,,Active,sportsdataio
JAX,Dawuane Smoot,DE,,Active,sportsdataio
JAX,Jonah Monheim,OL,,Active,sportsdataio
JAX,Wyatt Milum,OL,,Active,sportsdataio
JAX,Patrick Mekari,OL,,Active,sportsdataio
JAX,Khalen Saunders,DT,,Active,sportsdataio
JAX,Austin Johnson,DT,,Active,sportsdataio
JAX,Cole Van Lanen,OT,,Active,sportsdataio
JAX,Walker Little,OT,,Active,sportsdataio
JAX,Robert Hainsey,C,,Active,sportsdataio
JAX,Cooper Hodges,OL,,Physically Unable to Perform,sportsdataio
JAX,Ezra Cleveland,G,,Active,sportsdataio
JAX,Anton Harrison,OT,,Active,sportsdataio
JAX,Hunter Long,TE,,Active,sportsdataio
JAX,Brenton Strange,TE,,Active,sportsdataio
JAX,Johnny Mundt,TE,,Active,sportsdataio
JAX,Emmanuel Ogbah,DL,,Active,sportsdataio
JAX,Arik Armstead,DT,,Active,sportsdataio
JAX,Danny Striggow,DL,,Active,sportsdataio
JAX,Maason Smith,DT,,Active,sportsdataio
JAX,B.J. Green II,DE,,Active,sportsdataio
