team,player,position,depth,status,source
KC,Mike Edwards,S,,Practice Squad,sportsdataio
KC,Clyde Edwards-Helaire,RB,,Practice Squad,sportsdataio
KC,Cole Christiansen,LB,,Practice Squad,sportsdataio
KC,Keaontay Ingram,RB,,Injured Reserve,sportsdataio
KC,Marlon Tuipulotu,DT,,Practice Squad,sportsdataio
KC,Tyreke Smith,OLB,,Practice Squad,sportsdataio
KC,Tyquan Thornton,WR,,Active,sportsdataio
KC,Chris Oladokun,QB,,Practice Squad,sportsdataio
KC,Zacch Pickens,DT,,Practice Squad,sportsdataio
KC,Jammie Robinson,S,,Practice Squad,sportsdataio
KC,Brodric Martin,DL,,Practice Squad,sportsdataio
KC,BJ Thompson,DE,,Non-Football Illness,sportsdataio
KC,Eric Scott Jr.,CB,,Injured Reserve,sportsdataio
KC,Chukwuebuka Godrick,OT,,Practice Squad,sportsdataio
KC,Carson Steele,FB,,Practice Squad,sportsdataio
KC,C.J. Hanson,G,,Practice Squad,sportsdataio
KC,Brashard Smith,RB,,Active,sportsdataio
KC,Ethan Downs,DL,,Practice Squad,sportsdataio
KC,Melvin Smith Jr.,CB,,Practice Squad,sportsdataio
KC,Kevin Knowles,DB,,Practice Squad,sportsdataio
KC,Tre Watson,TE,,Practice Squad,sportsdataio
KC,Jimmy Holiday,WR,,Practice Squad,sportsdataio
KC,Xavier Worthy,WR,,Active,sportsdataio
KC,Joshua Williams,CB,,Active,sportsdataio
KC,Rashee Rice,WR,,Suspended,sportsdataio
KC,Marquise Brown,WR,,Active,sportsdataio
KC,Bryan Cook,S,,Active,sportsdataio
KC,Harrison Butker,K,,Active,sportsdataio
KC,Kristian Fulton,CB,,Active,sportsdataio
KC,JuJu Smith-Schuster,WR,,Active,sportsdataio
KC,Isiah Pacheco,RB,,Active,sportsdataio
KC,Jalen Royals,WR,,Active,sportsdataio
KC,Jared Wiley,TE,,Active,sportsdataio
KC,Nazeeh Johnson,S,,Injured Reserve,sportsdataio
KC,Matt Araiza,P,,Active,sportsdataio
KC,Patrick Mahomes,QB,,Active,sportsdataio
KC,Gardner Minshew,QB,,Active,sportsdataio
KC,Nohl Williams,DB,,Active,sportsdataio
KC,Jaden Hicks,S,,Active,sportsdataio
KC,Trent McDuffie,CB,,Active,sportsdataio
KC,Drue Tranquill,LB,,Active,sportsdataio
KC,Elijah Mitchell,RB,,Active,sportsdataio
KC,Deon Bush,S,,Injured Reserve,sportsdataio
KC,Chamarri Conner,S,,Active,sportsdataio
KC,Kareem Hunt,RB,,Active,sportsdataio
KC,Chris Roland-Wallace,CB,,Active,sportsdataio
KC,Jeffrey Bassa,LB,,Active,sportsdataio
KC,Nick Bolton,LB,,Active,sportsdataio
KC,Jaylen Watson,CB,,Active,sportsdataio
KC,James Winchester,LS,,Active,sportsdataio
KC,Jack Cochrane,LB,,Active,sportsdataio
KC,Brandon George,LB,,Injured Reserve,sportsdataio
KC,Mike Danna,DE,,Active,sportsdataio
KC,Creed Humphrey,C,,Active,sportsdataio
KC,Leo Chenal,LB,,Active,sportsdataio
KC,Omarr Norman-Lott,DT,,Active,sportsdataio
KC,George Karlaftis,DE,,Active,sportsdataio
KC,Cooper McDonald,LB,,Active,sportsdataio
KC,Hunter Nourzad,C,,Active,sportsdataio
KC,Wanya Morris,OT,,Active,sportsdataio
KC,Trey Smith,G,,Active,sportsdataio
KC,Mike Caliendo,G,,Active,sportsdataio
KC,Josh Simmons,OT,,Active,sportsdataio
KC,Jawaan Taylor,OT,,Active,sportsdataio
KC,Ethan Driskell,OT,,Non Football Injury,sportsdataio
KC,Kingsley Suamataia,OT,,Active,sportsdataio
KC,Jaylon Moore,OT,,Active,sportsdataio
KC,Nikko Remigio,WR,,Active,sportsdataio
KC,Noah Gray,TE,,Active,sportsdataio
KC,Robert Tonyan,TE,,Active,sportsdataio
KC,Travis Kelce,TE,,Active,sportsdataio
KC,Jake Briningstool,TE,,Injured Reserve,sportsdataio
KC,Jason Brownlee,WR,,Active,sportsdataio
KC,Charles Omenihu,DE,,Active,sportsdataio
KC,Felix Anudike-Uzomah,DE,,Injured Reserve,sportsdataio
KC,Derrick Nnadi,DL,,Active,sportsdataio
KC,Malik Herring,DE,,Active,sportsdataio
KC,Chris Jones,DT,,Active,sportsdataio
KC,Ashton Gillotte,DE,,Active,sportsdataio
KC,Janarius Robinson,DE,,Injured Reserve,sportsdataio
KC,Jerry Tillery,DL,,Active,sportsdataio
