team,player,position,depth,status,source
LAC,Tony Jefferson,S,,Practice Squad,sportsdataio
LAC,Rick Lovato,LS,,Practice Squad,sportsdataio
LAC,David Sharpe,OT,,Practice Squad,sportsdataio
LAC,Nyheim Miller-Hines,RB,,Practice Squad,sportsdataio
LAC,Del'Shawn Phillips,LB,,Active,sportsdataio
LAC,Jalen Reagor,WR,,Practice Squad,sportsdataio
LAC,Foster Sarell,OT,,Practice Squad,sportsdataio
LAC,DJ Uiagalelei,QB,,Practice Squad,sportsdataio
LAC,Kimani Vidal,RB,,Practice Squad,sportsdataio
LAC,Thomas Yassmin,TE,,Practice Squad,sportsdataio
LAC,JaQuae Jackson,WR,,Practice Squad,sportsdataio
LAC,Emany Johnson,LB,,Practice Squad,sportsdataio
LAC,Branson Taylor,G,,Practice Squad,sportsdataio
LAC,Garmon Randolph,LB,,Practice Squad,sportsdataio
LAC,Luke Grimm,WR,,Practice Squad,sportsdataio
LAC,TeRah Edwards,DL,,Practice Squad,sportsdataio
LAC,Jaylen Jones,S,,Injured Reserve,sportsdataio
LAC,Josh Kaltenberger,C,,Practice Squad,sportsdataio
LAC,Jordan Oladokun,CB,,Injured Reserve,sportsdataio
LAC,Myles Purchase,CB,,Practice Squad,sportsdataio
LAC,Amar Johnson,RB,,Practice Squad,sportsdataio
LAC,Daiyan Henley,LB,,Active,sportsdataio
LAC,Quentin Johnston,WR,,Active,sportsdataio
LAC,Elijah Molden,DB,,Active,sportsdataio
LAC,Derwin James Jr.,S,,Active,sportsdataio
LAC,Trey Lance,QB,,Active,sportsdataio
LAC,Denzel Perryman,LB,,Active,sportsdataio
LAC,Omarion Hampton,RB,,Active,sportsdataio
LAC,Tre' Harris,WR,,Active,sportsdataio
LAC,Justin Herbert,QB,,Active,sportsdataio
LAC,Cameron Dicker,K,,Active,sportsdataio
LAC,Derius Davis,WR,,Active,sportsdataio
LAC,Keenan Allen,WR,,Active,sportsdataio
LAC,Ladd McConkey,WR,,Active,sportsdataio
LAC,JK Scott,P,,Active,sportsdataio
LAC,Cam Hart,CB,,Active,sportsdataio
LAC,Najee Harris,RB,,Active,sportsdataio
LAC,Benjamin St-Juste,CB,,Active,sportsdataio
LAC,Junior Colson,LB,,Injured Reserve,sportsdataio
LAC,Donte Jackson,CB,,Active,sportsdataio
LAC,RJ Mickens,S,,Active,sportsdataio
LAC,Hassan Haskins,RB,,Active,sportsdataio
LAC,Tarheeb Still,CB,,Active,sportsdataio
LAC,Alohi Gilman,S,,Active,sportsdataio
LAC,Deane Leonard,DB,,Injured Reserve,sportsdataio
LAC,Ja'Sir Taylor,DB,,Active,sportsdataio
LAC,Eric Rogers,CB,,Injured Reserve,sportsdataio
LAC,Kendall Williamson,S,,Active,sportsdataio
LAC,Tucker Fisk,TE,,Active,sportsdataio
LAC,Troy Dye,LB,,Active,sportsdataio
LAC,Scott Matlock,FB,,Active,sportsdataio
LAC,Tuli Tuipulotu,OLB,,Active,sportsdataio
LAC,Nikko Reed,CB,,Active,sportsdataio
LAC,Josh Harris,LS,,Injured Reserve,sportsdataio
LAC,Bud Dupree,OLB,,Active,sportsdataio
LAC,Caleb Murphy,OLB,,Active,sportsdataio
LAC,Khalil Mack,OLB,,Active,sportsdataio
LAC,Kyle Kennard,OLB,,Active,sportsdataio
LAC,Marlowe Wax,LB,,Active,sportsdataio
LAC,Savion Washington,OT,,Physically Unable to Perform,sportsdataio
LAC,Jamaree Salyer,OL,,Active,sportsdataio
LAC,Josh Fuga,DL,,Injured Reserve,sportsdataio
LAC,Rashawn Slater,OT,,Injured Reserve,sportsdataio
LAC,Mekhi Becton,G,,Active,sportsdataio
LAC,Austin Deculus,OT,,Active,sportsdataio
LAC,Bradley Bozeman,C,,Active,sportsdataio
LAC,Joe Alt,OT,,Active,sportsdataio
LAC,Zion Johnson,G,,Active,sportsdataio
LAC,Andre James,C,,Active,sportsdataio
LAC,Trey Pipkins III,OT,,Active,sportsdataio
LAC,Tyler Conklin,TE,,Active,sportsdataio
LAC,Keandre Lambert-Smith,WR,,Active,sportsdataio
LAC,Oronde Gadsden,TE,,Active,sportsdataio
LAC,Will Dissly,TE,,Active,sportsdataio
LAC,Teair Tart,DT,,Active,sportsdataio
LAC,Da'Shawn Hand,DE,,Active,sportsdataio
LAC,Justin Eboigbe,DL,,Active,sportsdataio
LAC,Otito Ogbonnia,DL,,Active,sportsdataio
LAC,Naquan Jones,DT,,Active,sportsdataio
LAC,Jamaree Caldwell,DT,,Active,sportsdataio
