team,player,position,depth,status,source
LAR,A.J. Green,CB,,Practice Squad,sportsdataio
LAR,Ronnie Rivers,RB,,Practice Squad,sportsdataio
LAR,Jack Heflin,DT,,Practice Squad,sportsdataio
LAR,AJ Arcuri,OT,,Practice Squad,sportsdataio
LAR,Shaun Jolly,CB,,Injured Reserve,sportsdataio
LAR,Tanner Ingle,S,,Practice Squad,sportsdataio
LAR,Cody Schrader,RB,,Practice Squad,sportsdataio
LAR,Dylan McMahon,C,,Practice Squad,sportsdataio
LAR,Cam Lampkin,CB,,Practice Squad,sportsdataio
LAR,Elias Neal,LB,,Practice Squad,sportsdataio
LAR,Tru Edwards,WR,,Practice Squad,sportsdataio
LAR,Wyatt Bowles,G,,Practice Squad,sportsdataio
LAR,Jamil Muhammad,OLB,,Practice Squad,sportsdataio
LAR,Brennan Presley,WR,,Practice Squad,sportsdataio
LAR,Nate Valcarcel,S,,Practice Squad,sportsdataio
LAR,Bill Norton,DE,,Practice Squad,sportsdataio
LAR,Mark Redman,TE,,Practice Squad,sportsdataio
LAR,Byron Young,OLB,,Active,sportsdataio
LAR,Emmanuel Forbes Jr.,CB,,Active,sportsdataio
LAR,Jaylen McCollough,S,,Active,sportsdataio
LAR,Kam Curl,S,,Active,sportsdataio
LAR,Ahkello Witherspoon,CB,,Active,sportsdataio
LAR,Tutu Atwell,WR,,Active,sportsdataio
LAR,Nick Hampton,OLB,,Active,sportsdataio
LAR,Jared Verse,OLB,,Active,sportsdataio
LAR,Matthew Stafford,QB,,Active,sportsdataio
LAR,Jimmy Garoppolo,QB,,Active,sportsdataio
LAR,Puka Nacua,WR,,Active,sportsdataio
LAR,Stetson Bennett IV,QB,,Active,sportsdataio
LAR,Cobie Durant,CB,,Active,sportsdataio
LAR,Konata Mumpfield,WR,,Active,sportsdataio
LAR,Joshua Karty,K,,Active,sportsdataio
LAR,Davante Adams,WR,,Active,sportsdataio
LAR,Terrance Ferguson,TE,,Active,sportsdataio
LAR,Xavier Smith,WR,,Active,sportsdataio
LAR,Blake Corum,RB,,Active,sportsdataio
LAR,Kyren Williams,RB,,Active,sportsdataio
LAR,Kamren Kinchens,S,,Active,sportsdataio
LAR,Josh Wallace,CB,,Active,sportsdataio
LAR,Darious Williams,CB,,Active,sportsdataio
LAR,Jarquez Hunter,RB,,Active,sportsdataio
LAR,Quentin Lake,S,,Active,sportsdataio
LAR,Josaiah Stewart,OLB,,Active,sportsdataio
LAR,Ethan Evans,P,,Active,sportsdataio
LAR,Alex Ward,LS,,Active,sportsdataio
LAR,Omar Speights,ILB,,Active,sportsdataio
LAR,Beaux Limmer,OL,,Active,sportsdataio
LAR,Troy Reeder,ILB,,Active,sportsdataio
LAR,Larrell Murchison,DE,,Active,sportsdataio
LAR,Nate Landman,ILB,,Active,sportsdataio
LAR,Braden Fiske,DE,,Active,sportsdataio
LAR,Shaun Dolac,LB,,Active,sportsdataio
LAR,Ty Hamilton,DT,,Active,sportsdataio
LAR,Coleman Shelton,C,,Active,sportsdataio
LAR,Justin Dedich,OL,,Active,sportsdataio
LAR,David Quessenberry,OT,,Active,sportsdataio
LAR,Kevin Dotson,G,,Active,sportsdataio
LAR,Warren McClendon Jr.,OT,,Active,sportsdataio
LAR,D.J. Humphries,OT,,Active,sportsdataio
LAR,Steve Avila,G,,Active,sportsdataio
LAR,Alaric Jackson,OT,,Active,sportsdataio
LAR,Rob Havenstein,OT,,Active,sportsdataio
LAR,Colby Parkinson,TE,,Active,sportsdataio
LAR,Davis Allen,TE,,Active,sportsdataio
LAR,Jordan Whittington,WR,,Active,sportsdataio
LAR,Tyler Higbee,TE,,Active,sportsdataio
LAR,Tyler Davis,DE,,Active,sportsdataio
LAR,Kobie Turner,DE,,Active,sportsdataio
LAR,Desjuan Johnson,DE,,Active,sportsdataio
LAR,Poona Ford,DT,,Active,sportsdataio
LAR,Keir Thomas,OLB,,Injured Reserve,sportsdataio
