team,player,position,depth,status,source
NE,Corey Ballentine,CB,,Practice Squad,sportsdataio
NE,Yasir Durant,OT,,Injured Reserve,sportsdataio
NE,Alec Lindstrom,C,,Practice Squad,sportsdataio
NE,Jaquelin Roy,DT,,Injured Reserve,sportsdataio
NE,Deneric Prince,RB,,Injured Reserve,sportsdataio
NE,Truman Jones,DE,,Practice Squad,sportsdataio
NE,Terrell Jennings,RB,,Practice Squad,sportsdataio
NE,Layden Robinson,G,,Injured Reserve,sportsdataio
NE,John Jiles,WR,,Practice Squad,sportsdataio
NE,Isaiah Iton,DT,,Injured Reserve,sportsdataio
NE,David Olajiga,DT,,Practice Squad,sportsdataio
NE,Miles Battle,CB,,Practice Squad,sportsdataio
NE,CJ Dippre,TE,,Practice Squad,sportsdataio
NE,Bradyn Swinson,LB,,Practice Squad,sportsdataio
NE,Jahvaree Ritzie,DT,,Practice Squad,sportsdataio
NE,Brock Lampe,FB,,Injured Reserve,sportsdataio
NE,Kobee Minor,DB,,Practice Squad,sportsdataio
NE,Jeremiah Webb,WR,,Practice Squad,sportsdataio
NE,Mehki Butler,OL,,Practice Squad,sportsdataio
NE,Christian Gonzalez,CB,,Active,sportsdataio
NE,Ja'Lynn Polk,WR,,Injured Reserve,sportsdataio
NE,Harold Landry III,LB,,Active,sportsdataio
NE,DeMario Douglas,WR,,Active,sportsdataio
NE,Antonio Gibson,RB,,Active,sportsdataio
NE,Carlton Davis III,CB,,Active,sportsdataio
NE,Stefon Diggs,WR,,Active,sportsdataio
NE,Kayshon Boutte,WR,,Active,sportsdataio
NE,Drake Maye,QB,,Active,sportsdataio
NE,Joshua Dobbs,QB,,Active,sportsdataio
NE,Mack Hollins,WR,,Active,sportsdataio
NE,Robert Spillane,LB,,Active,sportsdataio
NE,Marte Mapu,LB,,Active,sportsdataio
NE,Tommy DeVito,QB,,Active,sportsdataio
NE,Bryce Baringer,P,,Active,sportsdataio
NE,Kyle Williams,WR,,Active,sportsdataio
NE,Jaylinn Hawkins,S,,Active,sportsdataio
NE,Charles Woods,CB,,Active,sportsdataio
NE,Kyle Dugger,S,,Active,sportsdataio
NE,Dell Pettus,S,,Active,sportsdataio
NE,Marcus Jones,CB,,Active,sportsdataio
NE,Marcellas Dial Jr.,DB,,Injured Reserve,sportsdataio
NE,Alex Austin,CB,,Active,sportsdataio
NE,DJ James,CB,,Active,sportsdataio
NE,Craig Woodson,S,,Active,sportsdataio
NE,TreVeyon Henderson,RB,,Active,sportsdataio
NE,Anfernee Jennings,LB,,Active,sportsdataio
NE,Lan Larison,RB,,Injured Reserve,sportsdataio
NE,Andy Borregales,K,,Active,sportsdataio
NE,Rhamondre Stevenson,RB,,Active,sportsdataio
NE,Brenden Schooler,S,,Active,sportsdataio
NE,K'Lavon Chaisson,LB,,Active,sportsdataio
NE,Mark Robinson,LB,,Practice Squad,sportsdataio
NE,Julian Ashby,LS,,Active,sportsdataio
NE,Jahlani Tavai,LB,,Injured Reserve,sportsdataio
NE,Jack Gibbens,LB,,Active,sportsdataio
NE,Marcus Bryant,OT,,Active,sportsdataio
NE,Christian Elliss,LB,,Active,sportsdataio
NE,Eric Gregory,DT,,Active,sportsdataio
NE,Jared Wilson,C,,Active,sportsdataio
NE,Vederian Lowe,OT,,Active,sportsdataio
NE,Garrett Bradbury,C,,Active,sportsdataio
NE,Will Campbell,OT,,Active,sportsdataio
NE,Caedan Wallace,OT,,Active,sportsdataio
NE,Mike Onwenu,OL,,Active,sportsdataio
NE,Fabien Lovett Sr.,DT,,Practice Squad,sportsdataio
NE,Thayer Munford Jr.,OT,,Practice Squad,sportsdataio
NE,Morgan Moses,OT,,Active,sportsdataio
NE,Ben Brown,C,,Active,sportsdataio
NE,Austin Hooper,TE,,Active,sportsdataio
NE,Hunter Henry,TE,,Active,sportsdataio
NE,Efton Chism III,WR,,Active,sportsdataio
NE,Jack Westover,TE,,Active,sportsdataio
NE,Christian Barmore,DT,,Active,sportsdataio
NE,Elijah Ponder,LB,,Active,sportsdataio
NE,Joshua Farmer,DT,,Active,sportsdataio
NE,Cory Durden,DT,,Practice Squad,sportsdataio
NE,Khyiris Tonga,DT,,Active,sportsdataio
NE,Milton Williams,DE,,Active,sportsdataio
NE,Jeremiah Pharms Jr.,DT,,Active,sportsdataio
NE,Keion White,DE,,Active,sportsdataio
