team,player,position,depth,status,source
NYG,Lil'Jordan Humphrey,WR,,Practice Squad,sportsdataio
NYG,Gunner Olszewski,WR,,Practice Squad,sportsdataio
NYG,Ihmir Smith-Marsette,WR,,Practice Squad,sportsdataio
NYG,Raheem Layne,S,,Practice Squad,sportsdataio
NYG,Elijah Garcia,DL,,Practice Squad,sportsdataio
NYG,Tomon Fox,OLB,,Practice Squad,sportsdataio
NYG,McClendon Curtis,G,,Practice Squad,sportsdataio
NYG,Zaire Barnes,LB,,Practice Squad,sportsdataio
NYG,Tre Hawkins III,CB,,Injured Reserve,sportsdataio
NYG,Jordon Riley,DL,,Practice Squad,sportsdataio
NYG,Dante Miller,RB,,Practice Squad,sportsdataio
NYG,Patrick McMorris,S,,Practice Squad,sportsdataio
NYG,Beau Brade,S,,Active,sportsdataio
NYG,Bryan Hudson,C,,Practice Squad,sportsdataio
NYG,Rico Payton,CB,,Injured Reserve,sportsdataio
NYG,Dee Williams,CB,,Practice Squad,sportsdataio
NYG,Jake Kubas,G,,Practice Squad,sportsdataio
NYG,Jude McAtamney,K,,Practice Squad,sportsdataio
NYG,Swayze Bozeman,LB,,Practice Squad,sportsdataio
NYG,Qadir Ismail,TE,,Practice Squad,sportsdataio
NYG,Elijah Chatman,DL,,Practice Squad,sportsdataio
NYG,Cam Skattebo,RB,,Active,sportsdataio
NYG,Da'Quan Felton,WR,,Injured Reserve,sportsdataio
NYG,Beaux Collins,WR,,Active,sportsdataio
NYG,Jermaine Terry II,TE,,Injured Reserve,sportsdataio
NYG,Brian Burns,OLB,,Active,sportsdataio
NYG,Malik Nabers,WR,,Active,sportsdataio
NYG,Deonte Banks,CB,,Active,sportsdataio
NYG,Russell Wilson,QB,,Active,sportsdataio
NYG,Kayvon Thibodeaux,OLB,,Active,sportsdataio
NYG,Jaxson Dart,QB,,Active,sportsdataio
NYG,Jevón Holland,S,,Active,sportsdataio
NYG,Graham Gano,K,,Active,sportsdataio
NYG,Jamie Gillan,P,,Active,sportsdataio
NYG,Jalin Hyatt,WR,,Active,sportsdataio
NYG,Wan'Dale Robinson,WR,,Active,sportsdataio
NYG,Darius Slayton,WR,,Active,sportsdataio
NYG,Jameis Winston,QB,,Active,sportsdataio
NYG,Eric Gray,RB,,Physically Unable to Perform,sportsdataio
NYG,Paulson Adebo,CB,,Active,sportsdataio
NYG,Dru Phillips,CB,,Active,sportsdataio
NYG,Dane Belton,S,,Active,sportsdataio
NYG,Devin Singletary,RB,,Active,sportsdataio
NYG,Tyler Nubin,S,,Active,sportsdataio
NYG,Cor'Dale Flott,CB,,Active,sportsdataio
NYG,Tyrone Tracy Jr.,RB,,Active,sportsdataio
NYG,TJ Moore,CB,,Injured Reserve,sportsdataio
NYG,Nic Jones,CB,,Active,sportsdataio
NYG,Art Green,CB,,Active,sportsdataio
NYG,Micah McFadden,ILB,,Active,sportsdataio
NYG,Demetrius Flannigan-Fowles,LB,,Active,sportsdataio
NYG,Chris Board,ILB,,Active,sportsdataio
NYG,Abdul Carter,LB,,Active,sportsdataio
NYG,Victor Dimukeje,OLB,,Physically Unable to Perform,sportsdataio
NYG,Darius Muasau,LB,,Active,sportsdataio
NYG,James Hudson,OT,,Active,sportsdataio
NYG,Chauncey Golston,DE,,Active,sportsdataio
NYG,Bobby Okereke,ILB,,Active,sportsdataio
NYG,Casey Kreiter,LS,,Active,sportsdataio
NYG,John Michael Schmitz Jr.,C,,Active,sportsdataio
NYG,Aaron Stinnie,OL,,Active,sportsdataio
NYG,Austin Schlottmann,C,,Active,sportsdataio
NYG,Marcus Mbow,OL,,Active,sportsdataio
NYG,Jermaine Eluemunor,OL,,Active,sportsdataio
NYG,Evan Neal,OL,,Active,sportsdataio
NYG,Greg Van Roten,G,,Active,sportsdataio
NYG,Joshua Ezeudu,OL,,Injured Reserve,sportsdataio
NYG,Jon Runyan,G,,Active,sportsdataio
NYG,Andrew Thomas,OT,,Active,sportsdataio
NYG,Daniel Bellinger,TE,,Active,sportsdataio
NYG,Theo Johnson,TE,,Active,sportsdataio
NYG,Chris Manhertz,TE,,Active,sportsdataio
NYG,Thomas Fidone II,TE,,Active,sportsdataio
NYG,Bryce Ford-Wheaton,WR,,Injured Reserve,sportsdataio
NYG,Darius Alexander,DT,,Active,sportsdataio
NYG,Rakeem Nuñez-Roches,DL,,Active,sportsdataio
NYG,Roy Robertson-Harris,DT,,Active,sportsdataio
NYG,Dexter Lawrence II,DL,,Active,sportsdataio
NYG,D.J. Davidson,DL,,Active,sportsdataio
