team,player,position,depth,status,source
NYJ,Tyler Johnson,WR,,Practice Squad,sportsdataio
NYJ,Brandon Smith,WR,,Practice Squad,sportsdataio
NYJ,Marquis Hayes,G,,Practice Squad,sportsdataio
NYJ,Harrison Mevis,K,,Practice Squad,sportsdataio
NYJ,Eric Watts,DL,,Practice Squad,sportsdataio
NYJ,Jackson Sirmon,LB,,Practice Squad,sportsdataio
NYJ,Kohl Levao,OL,,Practice Squad,sportsdataio
NYJ,Brady Cook,QB,,Practice Squad,sportsdataio
NYJ,Payton Page,DT,,Practice Squad,sportsdataio
NYJ,Dean Clark,S,,Practice Squad,sportsdataio
NYJ,Jordan Clark,CB,,Practice Squad,sportsdataio
NYJ,Leander Wiegand,OL,,Practice Squad,sportsdataio
NYJ,Aaron Smith,LB,,Practice Squad,sportsdataio
NYJ,Braelon Allen,RB,,Active,sportsdataio
NYJ,Sauce Gardner,CB,,Active,sportsdataio
NYJ,Tyrod Taylor,QB,,Active,sportsdataio
NYJ,Xavier Gipson,WR,,Active,sportsdataio
NYJ,Garrett Wilson,WR,,Active,sportsdataio
NYJ,Nick Folk,K,,Active,sportsdataio
NYJ,Justin Fields,QB,,Active,sportsdataio
NYJ,Andre Cisco,S,,Active,sportsdataio
NYJ,Will McDonald IV,DE,,Active,sportsdataio
NYJ,Allen Lazard,WR,,Active,sportsdataio
NYJ,Jermaine Johnson,LB,,Active,sportsdataio
NYJ,Austin McNamara,P,,Active,sportsdataio
NYJ,Kris Boyd,DB,,Injured Reserve,sportsdataio
NYJ,Irvin Charles,WR,,Physically Unable to Perform,sportsdataio
NYJ,Breece Hall,RB,,Active,sportsdataio
NYJ,Brandon Stephens,CB,,Active,sportsdataio
NYJ,Tony Adams,S,,Active,sportsdataio
NYJ,Azareye'h Thomas,CB,,Active,sportsdataio
NYJ,Korie Black,CB,,Practice Squad,sportsdataio
NYJ,Isaiah Oliver,CB,,Active,sportsdataio
NYJ,Malachi Moore,DB,,Active,sportsdataio
NYJ,Michael Carter II,CB,,Active,sportsdataio
NYJ,Isaiah Davis,RB,,Active,sportsdataio
NYJ,Kene Nwangwu,RB,,Active,sportsdataio
NYJ,Qwan'tez Stiggers,CB,,Active,sportsdataio
NYJ,Marcelino McCrary-Ball,LB,,Active,sportsdataio
NYJ,Thomas Hennessy,LS,,Active,sportsdataio
NYJ,Cam Jones,LB,,Active,sportsdataio
NYJ,Jamien Sherwood,LB,,Active,sportsdataio
NYJ,Andrew Beck,FB,,Active,sportsdataio
NYJ,Francisco Mauigoa,LB,,Active,sportsdataio
NYJ,Ja'Markis Weston,LB,,Injured Reserve,sportsdataio
NYJ,Braiden McGregor,DE,,Active,sportsdataio
NYJ,Quincy Williams,LB,,Active,sportsdataio
NYJ,Max Mitchell,OL,,Active,sportsdataio
NYJ,Xavier Newman,OL,,Active,sportsdataio
NYJ,Joe Tippmann,C,,Active,sportsdataio
NYJ,Esa Pole,OT,,Active,sportsdataio
NYJ,Armand Membou,OT,,Active,sportsdataio
NYJ,Josh Myers,C,,Active,sportsdataio
NYJ,Micheal Clemons,DL,,Active,sportsdataio
NYJ,Olu Fashanu,OL,,Active,sportsdataio
NYJ,Alijah Vera-Tucker,G,,Active,sportsdataio
NYJ,John Simpson,OL,,Active,sportsdataio
NYJ,Jay Tufele,DL,,Active,sportsdataio
NYJ,Chukwuma Okorafor,OL,,Active,sportsdataio
NYJ,Jamaal Pritchett,WR,,Practice Squad,sportsdataio
NYJ,Arian Smith,WR,,Active,sportsdataio
NYJ,Josh Reynolds,WR,,Active,sportsdataio
NYJ,Stone Smartt,TE,,Active,sportsdataio
NYJ,Mason Taylor,TE,,Active,sportsdataio
NYJ,Jelani Woods,TE,,Active,sportsdataio
NYJ,Quentin Skinner,WR,,Practice Squad,sportsdataio
NYJ,Jeremy Ruckert,TE,,Active,sportsdataio
NYJ,Jowon Briggs,DT,,Active,sportsdataio
NYJ,Byron Cowart,DL,,Injured Reserve,sportsdataio
NYJ,Tyler Baron,DL,,Active,sportsdataio
NYJ,Quinnen Williams,DL,,Active,sportsdataio
NYJ,Leonard Taylor III,DL,,Active,sportsdataio
NYJ,Harrison Phillips,DL,,Active,sportsdataio
