team,player,position,depth,status,source
PHI,Parry Nickerson,CB,,Practice Squad,sportsdataio
PHI,Marcus Epps,S,,Practice Squad,sportsdataio
PHI,Terrace Marshall Jr.,WR,,Practice Squad,sportsdataio
PHI,Patrick Johnson,OLB,,Practice Squad,sportsdataio
PHI,Lewis Cine,S,,Injured Reserve,sportsdataio
PHI,Kenyon Green,G,,Active,sportsdataio
PHI,Chance Campbell,LB,,Practice Squad,sportsdataio
PHI,Elijah Cooks,WR,,Practice Squad,sportsdataio
PHI,E.J. Jenkins,TE,,Practice Squad,sportsdataio
PHI,Javon Baker,WR,,Practice Squad,sportsdataio
PHI,Andre' Sam,S,,Practice Squad,sportsdataio
PHI,Kyle McCord,QB,,Practice Squad,sportsdataio
PHI,Antwaun Powell-Ryland Jr.,OLB,,Practice Squad,sportsdataio
PHI,Hollin Pierce,OL,,Practice Squad,sportsdataio
PHI,Brandon Johnson,DB,,Practice Squad,sportsdataio
PHI,Joshua Uche,LB,,Active,sportsdataio
PHI,Jalen Hurts,QB,,Active,sportsdataio
PHI,Jahan Dotson,WR,,Active,sportsdataio
PHI,Nolan Smith Jr.,OLB,,Active,sportsdataio
PHI,Jake Elliott,K,,Active,sportsdataio
PHI,DeVonta Smith,WR,,Active,sportsdataio
PHI,Kelee Ringo,CB,,Active,sportsdataio
PHI,Adoree' Jackson,CB,,Active,sportsdataio
PHI,Braden Mann,P,,Active,sportsdataio
PHI,A.J. Brown,WR,,Active,sportsdataio
PHI,Azeez Ojulari,OLB,,Active,sportsdataio
PHI,Sam Howell,QB,,Active,sportsdataio
PHI,Tanner McKee,QB,,Active,sportsdataio
PHI,Nakobe Dean,LB,,Physically Unable to Perform,sportsdataio
PHI,John Metchie III,WR,,Active,sportsdataio
PHI,Sydney Brown,S,,Active,sportsdataio
PHI,Mac McWilliams,CB,,Active,sportsdataio
PHI,Jakorian Bennett,CB,,Active,sportsdataio
PHI,Andrew Mukuba,S,,Active,sportsdataio
PHI,Saquon Barkley,RB,,Active,sportsdataio
PHI,Quinyon Mitchell,CB,,Active,sportsdataio
PHI,Will Shipley,RB,,Active,sportsdataio
PHI,A.J. Dillon,RB,,Active,sportsdataio
PHI,Jihaad Campbell,LB,,Active,sportsdataio
PHI,Reed Blankenship,S,,Active,sportsdataio
PHI,Cooper DeJean,DB,,Active,sportsdataio
PHI,Audric Estime,RB,,Practice Squad,sportsdataio
PHI,Ambry Thomas,CB,,Practice Squad,sportsdataio
PHI,Smael Mondon Jr.,LB,,Active,sportsdataio
PHI,Ben VanSumeren,FB,,Active,sportsdataio
PHI,Ogbo Okoronkwo,DE,,Active,sportsdataio
PHI,Charley Hughlett,LS,,Active,sportsdataio
PHI,Cam Jurgens,C,,Active,sportsdataio
PHI,Zack Baun,LB,,Active,sportsdataio
PHI,Jeremiah Trotter Jr.,LB,,Active,sportsdataio
PHI,Tyler Steen,OL,,Active,sportsdataio
PHI,Jalyx Hunt,OLB,,Active,sportsdataio
PHI,Willie Lampkin,C,,Injured Reserve,sportsdataio
PHI,Brett Toth,OT,,Active,sportsdataio
PHI,Lane Johnson,OT,,Active,sportsdataio
PHI,Drew Kendall,OL,,Active,sportsdataio
PHI,Jordan Mailata,OT,,Active,sportsdataio
PHI,Landon Dickerson,G,,Active,sportsdataio
PHI,Luke Felix-Fualalo,OT,,Practice Squad,sportsdataio
PHI,Cameron Williams,OT,,Active,sportsdataio
PHI,Fred Johnson,OT,,Active,sportsdataio
PHI,Myles Hinton,OT,,Injured Reserve,sportsdataio
PHI,Matt Pryor,G,,Active,sportsdataio
PHI,Darius Cooper,WR,,Active,sportsdataio
PHI,Grant Calcaterra,TE,,Active,sportsdataio
PHI,Kylen Granson,TE,,Active,sportsdataio
PHI,Britain Covey,WR,,Practice Squad,sportsdataio
PHI,Cameron Latu,TE,,Practice Squad,sportsdataio
PHI,Dallas Goedert,TE,,Active,sportsdataio
PHI,Johnny Wilson,WR,,Injured Reserve,sportsdataio
PHI,Jordan Davis,DT,,Active,sportsdataio
PHI,Byron Young,DT,,Active,sportsdataio
PHI,Ty Robinson,DT,,Active,sportsdataio
PHI,Gabe Hall,DT,,Active,sportsdataio
PHI,Moro Ojomo,DT,,Active,sportsdataio
PHI,Jalen Carter,DT,,Active,sportsdataio
