team,player,position,depth,status,source
PIT,Robert Woods,WR,,Practice Squad,sportsdataio
PIT,Donald Parham Jr.,TE,,Injured Reserve,sportsdataio
PIT,Trey Sermon,RB,,Practice Squad,sportsdataio
PIT,James Pierre,CB,,Practice Squad,sportsdataio
PIT,Domenique Davis,DT,,Injured Reserve,sportsdataio
PIT,DeMarvin Leal,DE,,Practice Squad,sportsdataio
PIT,Dylan Cook,OT,,Practice Squad,sportsdataio
PIT,Lew Nichols,RB,,Practice Squad,sportsdataio
PIT,Jacob Slade,DT,,Injured Reserve,sportsdataio
PIT,D'Shawn Jamison,CB,,Practice Squad,sportsdataio
PIT,Julius Welschof,OLB,,Practice Squad,sportsdataio
PIT,Kyler Baugh,DT,,Practice Squad,sportsdataio
PIT,Beanie Bishop Jr.,CB,,Practice Squad,sportsdataio
PIT,Steven Jones,G,,Practice Squad,sportsdataio
PIT,Sebastian Castro,S,,Practice Squad,sportsdataio
PIT,Aiden Williams,G,,Practice Squad,sportsdataio
PIT,Ke'Shawn Williams,WR,,Practice Squad,sportsdataio
PIT,JJ Galbreath,TE,,Practice Squad,sportsdataio
PIT,Daryl Porter,DB,,Practice Squad,sportsdataio
PIT,Gareth Warren,OT,,Injured Reserve,sportsdataio
PIT,Max Hurleman,RB,,Practice Squad,sportsdataio
PIT,Mason Rudolph,QB,,Active,sportsdataio
PIT,Corliss Waitman,P,,Active,sportsdataio
PIT,DK Metcalf,WR,,Active,sportsdataio
PIT,Jalen Ramsey,CB,,Active,sportsdataio
PIT,Patrick Queen,ILB,,Active,sportsdataio
PIT,Aaron Rodgers,QB,,Active,sportsdataio
PIT,Chris Boswell,K,,Active,sportsdataio
PIT,Roman Wilson,WR,,Active,sportsdataio
PIT,Scotty Miller,WR,,Active,sportsdataio
PIT,Kenneth Gainwell,RB,,Active,sportsdataio
PIT,Ben Skowronek,WR,,Active,sportsdataio
PIT,Skylar Thompson,QB,,Active,sportsdataio
PIT,Will Howard,QB,,Injured Reserve,sportsdataio
PIT,Calvin Austin III,WR,,Active,sportsdataio
PIT,Kaleb Johnson,RB,,Active,sportsdataio
PIT,Chuck Clark,S,,Active,sportsdataio
PIT,Juan Thornhill,S,,Active,sportsdataio
PIT,Darius Slay,CB,,Active,sportsdataio
PIT,Joey Porter Jr.,CB,,Active,sportsdataio
PIT,DeShon Elliott,S,,Active,sportsdataio
PIT,Brandin Echols,CB,,Active,sportsdataio
PIT,Cory Trice Jr.,CB,,Injured Reserve,sportsdataio
PIT,Miles Killebrew,S,,Active,sportsdataio
PIT,Jaylen Warren,RB,,Active,sportsdataio
PIT,Jack Sawyer,LB,,Active,sportsdataio
PIT,Donte Kent,CB,,Injured Reserve,sportsdataio
PIT,Payton Wilson,LB,,Active,sportsdataio
PIT,Carson Bruener,LB,,Active,sportsdataio
PIT,Christian Kuntz,LS,,Active,sportsdataio
PIT,Malik Harrison,LB,,Active,sportsdataio
PIT,Nick Herbig,LB,,Active,sportsdataio
PIT,Zach Frazier,C,,Active,sportsdataio
PIT,Cole Holcomb,LB,,Active,sportsdataio
PIT,Alex Highsmith,LB,,Active,sportsdataio
PIT,Ryan McCollum,C,,Active,sportsdataio
PIT,Max Scharping,G,,Active,sportsdataio
PIT,Mason McCormick,G,,Active,sportsdataio
PIT,Calvin Anderson,OT,,Active,sportsdataio
PIT,Andrus Peat,G,,Active,sportsdataio
PIT,Esezi Otomewo,DE,,Active,sportsdataio
PIT,Isaac Seumalo,G,,Active,sportsdataio
PIT,Spencer Anderson,G,,Active,sportsdataio
PIT,Troy Fautanu,OT,,Active,sportsdataio
PIT,Broderick Jones,OT,,Active,sportsdataio
PIT,Yahya Black,DE,,Active,sportsdataio
PIT,Darnell Washington,TE,,Active,sportsdataio
PIT,Jonnu Smith,TE,,Active,sportsdataio
PIT,Connor Heyward,TE,,Active,sportsdataio
PIT,Pat Freiermuth,TE,,Active,sportsdataio
PIT,T.J. Watt,LB,,Active,sportsdataio
PIT,Logan Lee,DT,,Active,sportsdataio
PIT,Isaiahh Loudermilk,DT,,Active,sportsdataio
PIT,Dean Lowry,DT,,Injured Reserve,sportsdataio
PIT,Keeanu Benton,DL,,Active,sportsdataio
PIT,Daniel Ekuale,DT,,Active,sportsdataio
PIT,Cameron Heyward,DT,,Active,sportsdataio
PIT,Derrick Harmon,DT,,Active,sportsdataio
