team,player,position,depth,status,source
SEA,Shaquill Griffin,CB,,Practice Squad,sportsdataio
SEA,Quinton Bohanna,DT,,Practice Squad,sportsdataio
SEA,Shemar Jean-Charles,CB,,Practice Squad,sportsdataio
SEA,Jerrick Reed II,FS,,Practice Squad,sportsdataio
SEA,Brandon Pili,NT,,Practice Squad,sportsdataio
SEA,Patrick O'Connell,LB,,Practice Squad,sportsdataio
SEA,Ricky White III,WR,,Practice Squad,sportsdataio
SEA,Sataoa Laumea,G,,Practice Squad,sportsdataio
SEA,John Rhys Plumlee,WR,,Injured Reserve,sportsdataio
SEA,Jamie Sheriff,OLB,,Practice Squad,sportsdataio
SEA,Chris Paul Jr.,LB,,Practice Squad,sportsdataio
SEA,Damien Martinez,RB,,Practice Squad,sportsdataio
SEA,Courtney Jackson,WR,,Practice Squad,sportsdataio
SEA,Federico Maranges,C,,Practice Squad,sportsdataio
SEA,Jacardia Wright,RB,,Practice Squad,sportsdataio
SEA,Tyrone Broden,WR,,Practice Squad,sportsdataio
SEA,Amari Kight,OT,,Practice Squad,sportsdataio
SEA,J.R. Singleton,NT,,Practice Squad,sportsdataio
SEA,Wesley Steiner,FB,,Injured Reserve,sportsdataio
SEA,DeMarcus Lawrence,DE,,Active,sportsdataio
SEA,Derion Kendrick,CB,,Active,sportsdataio
SEA,Drew Lock,QB,,Active,sportsdataio
SEA,Nick Emmanwori,S,,Active,sportsdataio
SEA,Michael Dickson,P,,Active,sportsdataio
SEA,Jason Myers,K,,Active,sportsdataio
SEA,Jalen Milroe,QB,,Active,sportsdataio
SEA,Uchenna Nwosu,LB,,Active,sportsdataio
SEA,Coby Bryant,FS,,Active,sportsdataio
SEA,Kenneth Walker III,RB,,Active,sportsdataio
SEA,Cooper Kupp,WR,,Active,sportsdataio
SEA,Jaxon Smith-Njigba,WR,,Active,sportsdataio
SEA,Ernest Jones IV,LB,,Active,sportsdataio
SEA,Sam Darnold,QB,,Active,sportsdataio
SEA,Tory Horton,WR,,Active,sportsdataio
SEA,Elijah Arroyo,TE,,Active,sportsdataio
SEA,Jake Bobo,WR,,Active,sportsdataio
SEA,Julian Love,FS,,Active,sportsdataio
SEA,Devon Witherspoon,CB,,Active,sportsdataio
SEA,Kenny McIntosh,RB,,Injured Reserve,sportsdataio
SEA,Zach Charbonnet,RB,,Active,sportsdataio
SEA,Riq Woolen,CB,,Active,sportsdataio
SEA,Nehemiah Pritchett,CB,,Active,sportsdataio
SEA,Josh Jobe,CB,,Active,sportsdataio
SEA,AJ Finley,S,,Injured Reserve,sportsdataio
SEA,George Holani,RB,,Active,sportsdataio
SEA,Brady Russell,FB,,Active,sportsdataio
SEA,Ty Okada,FS,,Active,sportsdataio
SEA,Robbie Ouzts,FB,,Active,sportsdataio
SEA,Chris Stoll,LS,,Active,sportsdataio
SEA,Drake Thomas,LB,,Active,sportsdataio
SEA,Chazz Surratt,LB,,Active,sportsdataio
SEA,Tyrice Knight,LB,,Active,sportsdataio
SEA,Jared Ivey,LB,,Active,sportsdataio
SEA,Boye Mafe,LB,,Active,sportsdataio
SEA,Olu Oluwatimi,C,,Active,sportsdataio
SEA,Connor O'Toole,LB,,Active,sportsdataio
SEA,Derick Hall,OLB,,Active,sportsdataio
SEA,Jalen Sundell,C,,Active,sportsdataio
SEA,Christian Haynes,G,,Injured Reserve,sportsdataio
SEA,Charles Cross,OT,,Active,sportsdataio
SEA,Abraham Lucas,OT,,Active,sportsdataio
SEA,Josh Jones,OL,,Active,sportsdataio
SEA,Anthony Bradford,G,,Active,sportsdataio
SEA,Grey Zabel,G,,Active,sportsdataio
SEA,Bryce Cabeldue,G,,Active,sportsdataio
SEA,Mason Richman,OT,,Active,sportsdataio
SEA,Eric Saubert,TE,,Active,sportsdataio
SEA,Cody White,WR,,Active,sportsdataio
SEA,Dareke Young,WR,,Active,sportsdataio
SEA,AJ Barner,TE,,Active,sportsdataio
SEA,Nick Kallerup,TE,,Active,sportsdataio
SEA,Jarran Reed,NT,,Active,sportsdataio
SEA,Byron Murphy II,DT,,Active,sportsdataio
SEA,Mike Morris,DE,,Active,sportsdataio
SEA,Johnathan Hankins,DT,,Non Football Injury,sportsdataio
SEA,Rylie Mills,DE,,Non Football Injury,sportsdataio
SEA,Leonard Williams,DE,,Active,sportsdataio
