team,player,position,depth,status,source
SF,Eli Apple,CB,,Practice Squad,sportsdataio
SF,Robbie Chosen,WR,,Practice Squad,sportsdataio
SF,Marquez Valdes-Scantling,WR,,Practice Squad,sportsdataio
SF,Malik Turner,WR,,Practice Squad,sportsdataio
SF,Trevis Gipson,LB,,Practice Squad,sportsdataio
SF,Curtis Robinson,LB,,Practice Squad,sportsdataio
SF,Sincere McCormick,RB,,Practice Squad,sportsdataio
SF,Nick Zakelj,G,,Practice Squad,sportsdataio
SF,Brayden Willis,TE,,Practice Squad,sportsdataio
SF,Jalen Graham,LB,,Practice Squad,sportsdataio
SF,Tre Tomlinson,CB,,Injured Reserve,sportsdataio
SF,Adrian Martinez,QB,,Practice Squad,sportsdataio
SF,Kilian Zierer,OT,,Practice Squad,sportsdataio
SF,Carter Bradley,QB,,Injured Reserve,sportsdataio
SF,Malik Mustapha,S,,Physically Unable to Perform,sportsdataio
SF,Drake Nugent,C,,Practice Squad,sportsdataio
SF,Tanner Mordecai,QB,,Injured Reserve,sportsdataio
SF,Evan Anderson,DL,,Practice Squad,sportsdataio
SF,Kurtis Rourke,QB,,Non Football Injury,sportsdataio
SF,Junior Bergen,WR,,Practice Squad,sportsdataio
SF,Sebastian Valdez,DT,,Practice Squad,sportsdataio
SF,Derrick Canteen,CB,,Practice Squad,sportsdataio
SF,Renardo Green,CB,,Active,sportsdataio
SF,Ricky Pearsall,WR,,Active,sportsdataio
SF,Deommodore Lenoir,DB,,Active,sportsdataio
SF,Brian Robinson Jr.,RB,,Active,sportsdataio
SF,Jake Moody,K,,Active,sportsdataio
SF,Demarcus Robinson,WR,,Suspended,sportsdataio
SF,Thomas Morstead,P,,Active,sportsdataio
SF,Skyy Moore,WR,,Active,sportsdataio
SF,Mac Jones,QB,,Active,sportsdataio
SF,Brandon Aiyuk,WR,,Physically Unable to Perform,sportsdataio
SF,Brock Purdy,QB,,Active,sportsdataio
SF,Russell Gage Jr.,WR,,Active,sportsdataio
SF,Jauan Jennings,WR,,Active,sportsdataio
SF,Jordan Watkins,WR,,Active,sportsdataio
SF,Jacob Cowing,WR,,Injured Reserve,sportsdataio
SF,Upton Stout,CB,,Active,sportsdataio
SF,Tre Brown,CB,,Injured Reserve,sportsdataio
SF,Christian McCaffrey,RB,,Active,sportsdataio
SF,Jason Pinnock,S,,Active,sportsdataio
SF,Chase Lucas,CB,,Active,sportsdataio
SF,Ji'Ayir Brown,S,,Active,sportsdataio
SF,Darrell Luter Jr.,CB,,Active,sportsdataio
SF,Jordan James,RB,,Active,sportsdataio
SF,Isaac Guerendo,RB,,Active,sportsdataio
SF,Patrick Taylor Jr.,RB,,Injured Reserve,sportsdataio
SF,Siran Neal,CB,,Active,sportsdataio
SF,Marques Sigle,S,,Active,sportsdataio
SF,Kyle Juszczyk,FB,,Active,sportsdataio
SF,Nick Martin,LB,,Active,sportsdataio
SF,Jon Weeks,LS,,Active,sportsdataio
SF,Bryce Huff,DE,,Active,sportsdataio
SF,Tatum Bethune,LB,,Active,sportsdataio
SF,Jakob Robinson,CB,,Injured Reserve,sportsdataio
SF,Robert Beal Jr.,DL,,Active,sportsdataio
SF,Dee Winters,LB,,Active,sportsdataio
SF,Fred Warner,LB,,Active,sportsdataio
SF,Drew Moss,C,,Active,sportsdataio
SF,Tarron Jackson,OLB,,Injured Reserve,sportsdataio
SF,Luke Gifford,LB,,Active,sportsdataio
SF,Matt Hennessy,OL,,Active,sportsdataio
SF,Austen Pleasants,G,,Active,sportsdataio
SF,Jake Brendel,C,,Active,sportsdataio
SF,Isaac Alarcón,OT,,Suspended,sportsdataio
SF,Colton McKivitz,OT,,Active,sportsdataio
SF,Trent Williams,OT,,Active,sportsdataio
SF,Spencer Burford,G,,Active,sportsdataio
SF,Connor Colby,OL,,Active,sportsdataio
SF,Isaiah Prince,OT,,Injured Reserve,sportsdataio
SF,Dominick Puni,G,,Active,sportsdataio
SF,Ben Bartch,G,,Active,sportsdataio
SF,Trent Taylor,WR,,Injured Reserve,sportsdataio
SF,George Kittle,TE,,Active,sportsdataio
SF,Jake Tonges,TE,,Active,sportsdataio
SF,Luke Farrell,TE,,Active,sportsdataio
SF,Kevin Givens,DL,,Injured Reserve,sportsdataio
SF,Sam Okuayinonu,DT,,Active,sportsdataio
SF,Jordan Elliott,DT,,Active,sportsdataio
SF,Kalia Davis,DL,,Active,sportsdataio
SF,Yetur Gross-Matos,DL,,Active,sportsdataio
SF,Alfred Collins,DL,,Active,sportsdataio
SF,Jordan Jefferson,DT,,Active,sportsdataio
SF,Nick Bosa,DL,,Active,sportsdataio
SF,Mykel Williams,DL,,Active,sportsdataio
SF,CJ West,DL,,Active,sportsdataio
