team,player,position,depth,status,source
TB,Adam Gotsis,DL,,Practice Squad,sportsdataio
TB,Michael Jordan,G,,Practice Squad,sportsdataio
TB,Bryce Hall,CB,,Practice Squad,sportsdataio
TB,Dennis Houston,WR,,Practice Squad,sportsdataio
TB,C.J. Brewer,DL,,Practice Squad,sportsdataio
TB,Tanner Taula,TE,,Practice Squad,sportsdataio
TB,Luke Haggard,OT,,Practice Squad,sportsdataio
TB,Lorenz Metz,G,,Practice Squad,sportsdataio
TB,Raiqwon O'Neal,OT,,Injured Reserve,sportsdataio
TB,Mohamed Kamara,LB,,Practice Squad,sportsdataio
TB,Tyrek Funderburk,CB,,Injured Reserve,sportsdataio
TB,Antonio Grier Jr.,LB,,Injured Reserve,sportsdataio
TB,Tyler McLellan,OT,,Practice Squad,sportsdataio
TB,Jaden Smith,WR,,Injured Reserve,sportsdataio
TB,Jake Majors,C,,Injured Reserve,sportsdataio
TB,Garrett Greene,WR,,Practice Squad,sportsdataio
TB,Jack Henderson,S,,Practice Squad,sportsdataio
TB,Connor Bazelak,QB,,Practice Squad,sportsdataio
TB,Ben Scott,G,,Practice Squad,sportsdataio
TB,Roman Parodie,CB,,Injured Reserve,sportsdataio
TB,Nash Hutmacher,DL,,Practice Squad,sportsdataio
TB,Jayson Jones,DL,,Practice Squad,sportsdataio
TB,Nick Jackson,LB,,Practice Squad,sportsdataio
TB,JayVian Farr,CB,,Injured Reserve,sportsdataio
TB,Yaya Diaby,OLB,,Active,sportsdataio
TB,Rachaad White,RB,,Active,sportsdataio
TB,Emeka Egbuka,WR,,Active,sportsdataio
TB,Chase McLaughlin,K,,Active,sportsdataio
TB,Haason Reddick,OLB,,Active,sportsdataio
TB,Baker Mayfield,QB,,Active,sportsdataio
TB,Bucky Irving,RB,,Active,sportsdataio
TB,SirVocea Dennis,LB,,Active,sportsdataio
TB,Mike Evans,WR,,Active,sportsdataio
TB,Chris Godwin,WR,,Active,sportsdataio
TB,Jalen McMillan,WR,,Injured Reserve,sportsdataio
TB,Teddy Bridgewater,QB,,Active,sportsdataio
TB,Sterling Shepard,WR,,Active,sportsdataio
TB,Josh Williams,RB,,Active,sportsdataio
TB,Kameron Johnson,WR,,Active,sportsdataio
TB,Benjamin Morrison,CB,,Active,sportsdataio
TB,Kindle Vildor,CB,,Active,sportsdataio
TB,Tykee Smith,S,,Active,sportsdataio
TB,Jacob Parrish,CB,,Active,sportsdataio
TB,Kaevon Merriweather,S,,Active,sportsdataio
TB,Zyon McCollum,CB,,Active,sportsdataio
TB,Christian Izien,S,,Active,sportsdataio
TB,Antoine Winfield Jr.,S,,Active,sportsdataio
TB,Josh Hayes,CB,,Active,sportsdataio
TB,Jamel Dean,CB,,Active,sportsdataio
TB,JJ Roberts,S,,Injured Reserve,sportsdataio
TB,Rashad Wisdom,S,,Active,sportsdataio
TB,Ko Kieft,TE,,Active,sportsdataio
TB,Chris Braswell,OLB,,Active,sportsdataio
TB,Sean Tucker,RB,,Active,sportsdataio
TB,Deion Jones,LB,,Active,sportsdataio
TB,Vita Vea,NT,,Active,sportsdataio
TB,David Walker,LB,,Injured Reserve,sportsdataio
TB,Lavonte David,LB,,Active,sportsdataio
TB,John Bullock,LB,,Active,sportsdataio
TB,Markees Watts,OLB,,Active,sportsdataio
TB,Graham Barton,C,,Active,sportsdataio
TB,Luke Goedeke,OT,,Active,sportsdataio
TB,Ben Bredeson,G,,Active,sportsdataio
TB,Cody Mauch,G,,Active,sportsdataio
TB,Benjamin Chukwuma,OT,,Active,sportsdataio
TB,Charlie Heck,OT,,Active,sportsdataio
TB,Tristan Wirfs,OT,,Active,sportsdataio
TB,Elijah Klein,G,,Active,sportsdataio
TB,Ryan Miller,WR,,Active,sportsdataio
TB,Devin Culp,TE,,Active,sportsdataio
TB,Tez Johnson,WR,,Active,sportsdataio
TB,Evan Deckers,LS,,Active,sportsdataio
TB,Payne Durham,TE,,Active,sportsdataio
TB,Cade Otton,TE,,Active,sportsdataio
TB,Logan Hall,DL,,Active,sportsdataio
TB,Riley Dixon,P,,Active,sportsdataio
TB,Calijah Kancey,DL,,Active,sportsdataio
TB,Elijah Roberts,DL,,Active,sportsdataio
TB,Greg Gaines,DL,,Active,sportsdataio
TB,Anthony Nelson,OLB,,Active,sportsdataio
