team,player,position,depth,status,source
TEN,Quandre Diggs,FS,,Active,sportsdataio
TEN,Trevor Siemian,QB,,Practice Squad,sportsdataio
TEN,Carlos Watkins,DE,,Practice Squad,sportsdataio
TEN,Corey Levin,C,,Practice Squad,sportsdataio
TEN,James Proche II,WR,,Practice Squad,sportsdataio
TEN,Mason Kinsey,WR,,Practice Squad,sportsdataio
TEN,Treylon Burks,WR,,Injured Reserve,sportsdataio
TEN,Andrew Rupcich,G,,Practice Squad,sportsdataio
TEN,Sam Webb,CB,,Practice Squad,sportsdataio
TEN,Timmy Horne,DT,,Practice Squad,sportsdataio
TEN,Thomas Odukoya,TE,,Practice Squad,sportsdataio
TEN,Ali Gaye,OLB,,Practice Squad,sportsdataio
TEN,Jordan Mims,RB,,Practice Squad,sportsdataio
TEN,Kendell Brooks,S,,Practice Squad,sportsdataio
TEN,John Ojukwu,OT,,Practice Squad,sportsdataio
TEN,Anfernee Orji,LB,,Injured Reserve,sportsdataio
TEN,Joel Wilson,TE,,Practice Squad,sportsdataio
TEN,Xavier Restrepo,WR,,Practice Squad,sportsdataio
TEN,Cam Horsley,DT,,Practice Squad,sportsdataio
TEN,Clay Webb,G,,Practice Squad,sportsdataio
TEN,Isaiah Raikes,NT,,Practice Squad,sportsdataio
TEN,Calvin Ridley,WR,,Active,sportsdataio
TEN,Cameron Ward,QB,,Active,sportsdataio
TEN,Tyjae Spears,RB,,Injured Reserve,sportsdataio
TEN,Johnny Hekker,P,,Active,sportsdataio
TEN,Tyler Lockett,WR,,Active,sportsdataio
TEN,Elic Ayomanor,WR,,Active,sportsdataio
TEN,Joey Slye,K,,Active,sportsdataio
TEN,Oluwafemi Oladejo,OLB,,Active,sportsdataio
TEN,Will Levis,QB,,Injured Reserve,sportsdataio
TEN,Brandon Allen,QB,,Active,sportsdataio
TEN,Van Jefferson,WR,,Active,sportsdataio
TEN,Chimere Dike,WR,,Active,sportsdataio
TEN,Jalyn Armour-Davis,CB,,Active,sportsdataio
TEN,Tony Pollard,RB,,Active,sportsdataio
TEN,Roger McCreary,CB,,Active,sportsdataio
TEN,Kevin Winston Jr.,S,,Active,sportsdataio
TEN,Xavier Woods,S,,Active,sportsdataio
TEN,Marcus Harris,CB,,Active,sportsdataio
TEN,Kalel Mullings,RB,,Active,sportsdataio
TEN,Jarvis Brownlee Jr.,CB,,Active,sportsdataio
TEN,Samuel Womack III,CB,,Active,sportsdataio
TEN,Julius Chestnut,RB,,Active,sportsdataio
TEN,Amani Hooker,S,,Active,sportsdataio
TEN,L'Jarius Sneed,CB,,Active,sportsdataio
TEN,Darrell Baker Jr.,CB,,Active,sportsdataio
TEN,Mike Brown,S,,Active,sportsdataio
TEN,Dre'Mont Jones,OLB,,Active,sportsdataio
TEN,Morgan Cox,LS,,Active,sportsdataio
TEN,Arden Key,OLB,,Active,sportsdataio
TEN,Cody Barton,ILB,,Active,sportsdataio
TEN,Cedric Gray,LB,,Active,sportsdataio
TEN,James Williams Sr.,LB,,Active,sportsdataio
TEN,Jihad Ward,OLB,,Active,sportsdataio
TEN,Dorian Mausi,LB,,Active,sportsdataio
TEN,JC Latham,OT,,Active,sportsdataio
TEN,Jackson Slater,G,,Active,sportsdataio
TEN,Sebastian Joseph-Day,DE,,Active,sportsdataio
TEN,Kevin Zeitler,G,,Active,sportsdataio
TEN,Olisaemeka Udoh,OL,,Active,sportsdataio
TEN,Blake Hance,OT,,Active,sportsdataio
TEN,Dan Moore Jr.,OT,,Active,sportsdataio
TEN,Peter Skoronski,G,,Active,sportsdataio
TEN,Brandon Crenshaw-Dickson,OT,,Active,sportsdataio
TEN,Lloyd Cushenberry III,C,,Active,sportsdataio
TEN,Bryce Oliver,WR,,Active,sportsdataio
TEN,Gunnar Helm,TE,,Active,sportsdataio
TEN,Chig Okonkwo,TE,,Active,sportsdataio
TEN,David Martin-Robinson,TE,,Active,sportsdataio
TEN,Shy Tuttle,DT,,Active,sportsdataio
TEN,C.J. Ravenell,DE,,Active,sportsdataio
TEN,Jaylen Harrell,OLB,,Active,sportsdataio
TEN,T'Vondre Sweat,NT,,Active,sportsdataio
TEN,James Lynch,DL,,Active,sportsdataio
TEN,Jeffery Simmons,DT,,Active,sportsdataio
