"msf_game_id","week","game_date","away_abbr","home_abbr","game_start","venue","status"
148789,4,"20250926","SEA","ARI","2025-09-26T00:15:00.000Z","State Farm Stadium","UNPLAYED"
148790,4,"20250928","MIN","PIT","2025-09-28T13:30:00.000Z","Croke Park","UNPLAYED"
148791,4,"20250928","WAS","ATL","2025-09-28T17:00:00.000Z","Mercedes-Benz Stadium","UNPLAYED"
148792,4,"20250928","NO","BUF","2025-09-28T17:00:00.000Z","Highmark Stadium","UNPLAYED"
148793,4,"20250928","CLE","DET","2025-09-28T17:00:00.000Z","Ford Field","UNPLAYED"
148794,4,"20250928","TEN","HOU","2025-09-28T17:00:00.000Z","NRG Stadium","UNPLAYED"
148795,4,"20250928","CAR","NE","2025-09-28T17:00:00.000Z","Gillette Stadium","UNPLAYED"
148796,4,"20250928","LAC","NYG","2025-09-28T17:00:00.000Z","MetLife Stadium","UNPLAYED"
148797,4,"20250928","PHI","TB","2025-09-28T17:00:00.000Z","Raymond James Stadium","UNPLAYED"
148798,4,"20250928","IND","LA","2025-09-28T20:05:00.000Z","SoFi Stadium","UNPLAYED"
148799,4,"20250928","JAX","SF","2025-09-28T20:05:00.000Z","Levi's Stadium","UNPLAYED"
148800,4,"20250928","BAL","KC","2025-09-28T20:25:00.000Z","GEHA Field at Arrowhead Stadium","UNPLAYED"
148801,4,"20250928","CHI","LV","2025-09-28T20:25:00.000Z","Allegiant Stadium","UNPLAYED"
148802,4,"20250929","GB","DAL","2025-09-29T00:20:00.000Z","AT&T Stadium","UNPLAYED"
148803,4,"20250929","NYJ","MIA","2025-09-29T23:15:00.000Z","Hard Rock Stadium","UNPLAYED"
148804,4,"20250930","CIN","DEN","2025-09-30T00:15:00.000Z","Empower Field at Mile High","UNPLAYED"
