msf_game_id,game_start,home_abbr,away_abbr,venue,status,elo_home,elo_away,elo_diff,p_home_model,week,game_date
148789,2025-09-26T00:15:00.000Z,ARI,SEA,State Farm Stadium,UNPLAYED,1391,1580,-189,0.2520004588039456,4,20250926
148790,2025-09-28T13:30:00.000Z,PIT,MIN,Croke Park,UNPLAYED,1573,1531,42,0.5601501452319029,4,20250928
148791,2025-09-28T17:00:00.000Z,ATL,WAS,Mercedes-Benz Stadium,UNPLAYED,1398,1608,-210,0.22990332333901797,4,20250928
148792,2025-09-28T17:00:00.000Z,BUF,NO,Highmark Stadium,UNPLAYED,1412,1545,-133,0.3174296145252281,4,20250928
148793,2025-09-28T17:00:00.000Z,DET,CLE,Ford Field,UNPLAYED,1461,1440,21,0.5301846800039021,4,20250928
148794,2025-09-28T17:00:00.000Z,HOU,TEN,NRG Stadium,UNPLAYED,1475,1601,-126,0.32622381211167784,4,20250928
148795,2025-09-28T17:00:00.000Z,NE,CAR,Gillette Stadium,UNPLAYED,1538,1419,119,0.6648579785547648,4,20250928
148796,2025-09-28T17:00:00.000Z,NYG,LAC,MetLife Stadium,UNPLAYED,1552,1510,42,0.5601501452319029,4,20250928
148797,2025-09-28T17:00:00.000Z,TB,PHI,Raymond James Stadium,UNPLAYED,1594,1566,28,0.5402082283237456,4,20250928
148798,2025-09-28T20:05:00.000Z,LA,IND,SoFi Stadium,UNPLAYED,1503,1482,21,0.5301846800039021,4,20250928
148799,2025-09-28T20:05:00.000Z,SF,JAX,Levi's Stadium,UNPLAYED,1587,1489,98,0.6374083767444845,4,20250928
148800,2025-09-28T20:25:00.000Z,KC,BAL,GEHA Field at Arrowhead Stadium,UNPLAYED,1496,1405,91,0.6280448056219418,4,20250928
148801,2025-09-28T20:25:00.000Z,LV,CHI,Allegiant Stadium,UNPLAYED,1517,1426,91,0.6280448056219418,4,20250928
148802,2025-09-29T00:20:00.000Z,DAL,GB,AT&T Stadium,UNPLAYED,1447,1468,-21,0.469815319996098,4,20250929
148803,2025-09-29T23:15:00.000Z,MIA,NYJ,Hard Rock Stadium,UNPLAYED,1524,1559,-35,0.449800646746463,4,20250929
148804,2025-09-30T00:15:00.000Z,DEN,CIN,Empower Field at Mile High,UNPLAYED,1454,1433,21,0.5301846800039021,4,20250930
