home_team,away_team,date,home_score,away_score
KC,BAL,2024-09-05,27,20
PHI,GB,2024-09-06,34,29
ATL,PIT,2024-09-08,10,18
BUF,ARI,2024-09-08,34,28
CHI,TEN,2024-09-08,24,17
CIN,NE,2024-09-08,10,16
IND,HOU,2024-09-08,27,29
MIA,JAX,2024-09-08,20,17
NO,CAR,2024-09-08,47,10
NYG,MIN,2024-09-08,6,28
LAC,LV,2024-09-08,22,10
SEA,DEN,2024-09-08,26,20
CLE,DAL,2024-09-08,17,33
TB,WAS,2024-09-08,37,20
DET,LA,2024-09-08,26,20
MIA,BUF,2024-09-12,10,31
BAL,LV,2024-09-15,23,26
CAR,LAC,2024-09-15,3,26
DAL,NO,2024-09-15,19,44
DET,TB,2024-09-15,16,20
GB,IND,2024-09-15,16,10
JAX,CLE,2024-09-15,13,18
SEA,MIN,2024-09-15,5,46
TEN,NYJ,2024-09-15,17,24
WAS,NYG,2024-09-15,21,18
ARI,LA,2024-09-15,41,10
DEN,PIT,2024-09-15,6,13
KC,CIN,2024-09-15,26,25
HOU,CHI,2024-09-15,19,13
PHI,ATL,2024-09-16,21,22
NYJ,NE,2024-09-19,24,3
CLE,NYG,2024-09-22,15,21
IND,CHI,2024-09-22,21,16
MIN,HOU,2024-09-22,34,7
NO,PHI,2024-09-22,12,15
PIT,LAC,2024-09-22,20,10
TB,DEN,2024-09-22,7,26
TEN,GB,2024-09-22,14,30
LV,CAR,2024-09-22,22,36
SEA,MIA,2024-09-22,24,3
ARI,DET,2024-09-22,13,20
DAL,BAL,2024-09-22,25,28
KC,LA,2024-09-22,5,44
BUF,JAX,2024-09-23,47,10
CIN,WAS,2024-09-23,33,38
NYG,DAL,2024-09-26,15,20
ATL,NO,2024-09-29,26,24
CAR,CIN,2024-09-29,24,34
CHI,LA,2024-09-29,24,18
GB,MIN,2024-09-29,29,31
HOU,JAX,2024-09-29,24,20
IND,PIT,2024-09-29,27,24
NYJ,DEN,2024-09-29,9,10
TB,PHI,2024-09-29,33,16
ARI,WAS,2024-09-29,14,42
LV,CLE,2024-09-29,20,16
LAC,KC,2024-09-29,10,17
BAL,BUF,2024-09-29,35,10
MIA,TEN,2024-09-30,12,31
DET,SEA,2024-09-30,42,29
ATL,TB,2024-10-03,36,30
MIN,NYJ,2024-10-06,23,17
CHI,CAR,2024-10-06,36,10
CIN,BAL,2024-10-06,38,41
HOU,BUF,2024-10-06,23,20
JAX,IND,2024-10-06,37,34
NE,MIA,2024-10-06,10,15
WAS,CLE,2024-10-06,34,13
DEN,LV,2024-10-06,34,18
LA,GB,2024-10-06,19,24
SEA,NYG,2024-10-06,20,29
PIT,DAL,2024-10-06,17,20
KC,NO,2024-10-07,26,13
JAX,SEA,2024-10-10,5,48
BAL,WAS,2024-10-13,30,23
GB,ARI,2024-10-13,34,13
NE,HOU,2024-10-13,21,41
NO,TB,2024-10-13,27,51
PHI,CLE,2024-10-13,20,16
TEN,IND,2024-10-13,17,20
DEN,LAC,2024-10-13,16,23
