date,home_team,away_team,p,y
2022-09-11,CLEVELAND BROWNS,CAROLINA PANTHERS,0.5,1
2022-09-11,PITTSBURGH STEELERS,CINCINNATI BENGALS,0.5,1
2022-09-11,NEW ENGLAND PATRIOTS,MIAMI DOLPHINS,0.5,0
2022-09-11,JACKSONVILLE JAGUARS,WASHINGTON COMMANDERS,0.5,0
2022-09-11,LAS VEGAS RAIDERS,LOS ANGELES CHARGERS,0.5,0
2022-09-11,GREEN BAY PACKERS,MINNESOTA VIKINGS,0.5,0
2022-09-11,NEW YORK GIANTS,TENNESSEE TITANS,0.5,1
2022-09-15,LOS ANGELES CHARGERS,KANSAS CITY CHIEFS,0.5,0
2022-09-18,MIAMI DOLPHINS,BALTIMORE RAVENS,0.5,1
2022-09-18,NEW YORK JETS,CLEVELAND BROWNS,0.5,1
2022-09-18,WASHINGTON COMMANDERS,DETROIT LIONS,0.5,0
2022-09-18,CAROLINA PANTHERS,NEW YORK GIANTS,0.5,0
2022-09-18,ATLANTA FALCONS,LOS ANGELES RAMS,0.5,0
2022-09-18,SEATTLE SEAHAWKS,SAN FRANCISCO 49ERS,0.5,0
2022-09-18,HOUSTON TEXANS,DENVER BRONCOS,0.5,0
2022-09-18,ARIZONA CARDINALS,LAS VEGAS RAIDERS,0.5,1
2022-09-18,CHICAGO BEARS,GREEN BAY PACKERS,0.5,0
2022-09-19,TENNESSEE TITANS,BUFFALO BILLS,0.5,0
2022-09-19,MINNESOTA VIKINGS,PHILADELPHIA EAGLES,0.5,0
2022-09-22,PITTSBURGH STEELERS,CLEVELAND BROWNS,0.5,0
2022-09-25,HOUSTON TEXANS,CHICAGO BEARS,0.5,0
2022-09-25,DETROIT LIONS,MINNESOTA VIKINGS,0.5,0
2022-09-25,JACKSONVILLE JAGUARS,LOS ANGELES CHARGERS,0.5,1
2022-09-25,ATLANTA FALCONS,SEATTLE SEAHAWKS,0.5,1
2022-09-25,GREEN BAY PACKERS,TAMPA BAY BUCCANEERS,0.5,1
2022-09-26,DALLAS COWBOYS,NEW YORK GIANTS,0.5,1
2022-09-29,MIAMI DOLPHINS,CINCINNATI BENGALS,0.5,0
2022-10-02,WASHINGTON COMMANDERS,DALLAS COWBOYS,0.5,0
2022-10-02,SEATTLE SEAHAWKS,DETROIT LIONS,0.5,1
2022-10-02,TENNESSEE TITANS,INDIANAPOLIS COLTS,0.5,1
