team_code,power_rating,uncertainty,last_updated_utc,week_ended,rating,hfa
ARI,-6.5,2.8,2025-08-29T09:32:37Z,0,-6.5,0.0
ATL,-3.0,2.7,2025-08-29T09:32:37Z,0,-3.0,0.0
BAL,8.5,2.5,2025-08-29T09:32:37Z,0,8.5,0.0
BUF,7.0,2.5,2025-08-29T09:32:37Z,0,7.0,0.0
CAR,-8.0,3.0,2025-08-29T09:32:37Z,0,-8.0,0.0
CHI,-3.5,2.8,2025-08-29T09:32:37Z,0,-3.5,0.0
CIN,6.5,2.6,2025-08-29T09:32:37Z,0,6.5,0.0
CLE,2.0,2.7,2025-08-29T09:32:37Z,0,2.0,0.0
DAL,8.0,2.5,2025-08-29T09:32:37Z,0,8.0,0.0
DEN,-8.5,3.0,2025-08-29T09:32:37Z,0,-8.5,0.0
DET,8.5,2.5,2025-08-29T09:32:37Z,0,8.5,0.0
GB,5.5,2.7,2025-08-29T09:32:37Z,0,5.5,0.0
HOU,7.0,2.6,2025-08-29T09:32:37Z,0,7.0,0.0
IND,4.0,2.8,2025-08-29T09:32:37Z,0,4.0,0.0
JAX,2.5,2.7,2025-08-29T09:32:37Z,0,2.5,0.0
KC,10.0,2.4,2025-08-29T09:32:37Z,0,10.0,0.0
LV,-2.0,2.8,2025-08-29T09:32:37Z,0,-2.0,0.0
LAC,3.0,2.7,2025-08-29T09:32:37Z,0,3.0,0.0
LAR,1.0,2.8,2025-08-29T09:32:37Z,0,1.0,0.0
MIA,3.0,2.7,2025-08-29T09:32:37Z,0,3.0,0.0
MIN,0.0,2.8,2025-08-29T09:32:37Z,0,0.0,0.0
NE,-9.0,3.0,2025-08-29T09:32:37Z,0,-9.0,0.0
NO,-1.5,2.8,2025-08-29T09:32:37Z,0,-1.5,0.0
NYG,-6.0,2.9,2025-08-29T09:32:37Z,0,-6.0,0.0
NYJ,5.0,2.7,2025-08-29T09:32:37Z,0,5.0,0.0
PHI,9.0,2.5,2025-08-29T09:32:37Z,0,9.0,0.0
PIT,3.0,2.7,2025-08-29T09:32:37Z,0,3.0,0.0
SF,9.5,2.4,2025-08-29T09:32:37Z,0,9.5,0.0
SEA,0.5,2.8,2025-08-29T09:32:37Z,0,0.5,0.0
TB,2.0,2.7,2025-08-29T09:32:37Z,0,2.0,0.0
TEN,-5.0,2.9,2025-08-29T09:32:37Z,0,-5.0,0.0
WSH,-5.5,2.9,2025-08-29T09:32:37Z,0,-5.5,0.0
