date,week,away_team,home_team,msf_game_id,book,vegas_line_home,vegas_total,model_line_home,edge,confidence,p_home_market,p_home_model,inj_home_pts,inj_away_pts,inj_net_pts,p_home_model_adj,w2025_used,model_line_home_adj,edge_adj,confidence_adj,game_id,p_home
2025-09-14,2,CAR,ARI,148767,draftkings,-6.5,44.5,-8.34,-1.84,0.0584,0.710226,0.768629,0.00,0.00,0.00,0.739414,0.50,-7.39,-0.89,0.0292,148767,0.739414
2025-09-14,2,CLE,BAL,148758,draftkings,-11.5,45.5,-9.50,2.00,0.0475,0.848652,0.801191,0.00,0.00,0.00,0.824908,0.50,-10.45,+1.05,0.0237,148758,0.824908
2025-09-14,2,JAX,CIN,148759,draftkings,-3.0,48.5,-6.75,-3.75,0.1399,0.578634,0.718504,0.00,0.00,0.00,0.648561,0.50,-4.79,-1.79,0.0699,148759,0.648561
2025-09-14,2,NYG,DAL,148760,draftkings,-4.5,44.5,-8.86,-4.36,0.1458,0.637711,0.783520,0.00,0.00,0.00,0.710605,0.50,-6.51,-2.01,0.0729,148760,0.710605
2025-09-14,2,CHI,DET,148761,draftkings,-6.0,46.5,-7.81,-1.81,0.0599,0.692902,0.752775,0.00,0.00,0.00,0.722826,0.50,-6.88,-0.88,0.0299,148761,0.722826
2025-09-14,2,DEN,IND,148768,draftkings,2.5,42.5,-3.39,-5.89,0.2383,0.355905,0.594229,0.00,0.00,0.00,0.475071,0.50,-0.48,-2.98,0.1192,148768,0.475071
2025-09-14,2,PHI,KC,148769,draftkings,1.5,46.5,-3.90,-5.40,0.2196,0.394684,0.614282,0.00,0.00,0.00,0.504485,0.50,-1.19,-2.69,0.1098,148769,0.504485
2025-09-14,2,NE,MIA,148762,draftkings,-1.5,43.5,-5.43,-3.93,0.1552,0.517215,0.672393,0.00,0.00,0.00,0.594799,0.50,-3.40,-1.90,0.0776,148762,0.594799
2025-09-14,2,SF,NO,148763,draftkings,3.0,40.5,-4.35,-7.35,0.2949,0.337167,0.632027,0.00,0.00,0.00,0.484602,0.50,-0.71,-3.71,0.1474,148763,0.484602
2025-09-14,2,BUF,NYJ,148764,draftkings,6.5,46.5,2.35,-4.15,0.1399,0.221792,0.361707,0.00,0.00,0.00,0.291758,0.50,4.27,-2.23,0.0699,148764,0.291758
2025-09-14,2,SEA,PIT,148765,draftkings,-3.0,39.5,-4.26,-1.26,0.0497,0.578634,0.628305,0.00,0.00,0.00,0.603461,0.50,-3.62,-0.62,0.0248,148765,0.603461
2025-09-14,2,LA,TEN,148766,draftkings,5.5,41.5,-1.92,-7.42,0.2828,0.251668,0.534444,0.00,0.00,0.00,0.393064,0.50,1.54,-3.96,0.1414,148766,0.393064
2025-09-15,2,TB,HOU,148771,draftkings,-2.5,42.5,-2.28,0.22,0.0089,0.558335,0.549445,0.00,0.00,0.00,0.553883,0.50,-2.39,+0.11,0.0044,148771,0.553883
2025-09-15,2,ATL,MIN,148770,draftkings,-3.5,44.5,-6.70,-3.20,0.1183,0.598670,0.716922,0.00,0.00,0.00,0.657787,0.50,-5.03,-1.53,0.0591,148770,0.657787
2025-09-16,2,LAC,LV,148772,draftkings,3.5,46.5,-4.44,-7.94,0.3164,0.318928,0.635340,0.00,0.00,0.00,0.477140,0.50,-0.53,-4.03,0.1582,148772,0.477140
