home_team,away_team,date,elo_home,elo_away,elo_diff
KANSAS CITY CHIEFS,BALTIMORE RAVENS,2024-09-05,1616.672950330783,1603.8621221937838,67.81082813699913
GREEN BAY PACKERS,PHILADELPHIA EAGLES,2024-09-06,1535.2650166387475,1600.6938504231507,-10.428833784403196
ATLANTA FALCONS,PITTSBURGH STEELERS,2024-09-08,1399.9224350434756,1526.8666649607037,-71.94422991722809
BUFFALO BILLS,ARIZONA CARDINALS,2024-09-08,1636.645838271799,1437.6067346668424,254.0391036049566
CHICAGO BEARS,TENNESSEE TITANS,2024-09-08,1464.466674767855,1391.3719436030233,128.09473116483173
CINCINNATI BENGALS,NEW ENGLAND PATRIOTS,2024-09-08,1549.2175710626557,1451.9343916030268,152.28317945962885
MIAMI DOLPHINS,JACKSONVILLE JAGUARS,2024-09-08,1542.828879866626,1488.396473481179,109.43240638544694
NEW ORLEANS SAINTS,CAROLINA PANTHERS,2024-09-08,1575.4269427117506,1332.475121065775,297.95182164597554
LOS ANGELES CHARGERS,LAS VEGAS RAIDERS,2024-09-08,1470.7427914111106,1514.984546894682,10.758244516428704
SEATTLE SEAHAWKS,DENVER BRONCOS,2024-09-08,1477.638727944716,1439.0030730205808,93.63565492413522
CLEVELAND BROWNS,DALLAS COWBOYS,2024-09-08,1467.1118950547634,1620.0441186077142,-97.93222355295075
TAMPA BAY BUCCANEERS,WASHINGTON COMMANDERS,2024-09-08,1541.1387634281018,1405.9288801915188,190.20988323658298
DETROIT LIONS,LOS ANGELES RAMS,2024-09-08,1547.5038514713815,1486.3583031361718,116.1455483352097
SAN FRANCISCO 49ERS,NEW YORK JETS,2024-09-09,1614.2777260167747,1434.9247961920862,234.35292982468854
MIAMI DOLPHINS,BUFFALO BILLS,2024-09-12,1515.833901161459,1663.640816976966,-92.80691581550718
BALTIMORE RAVENS,LAS VEGAS RAIDERS,2024-09-15,1585.749982205038,1533.0966868834278,107.65329532161013
DALLAS COWBOYS,NEW ORLEANS SAINTS,2024-09-15,1580.1746508258836,1615.296410493581,19.87824033230254
DETROIT LIONS,TAMPA BAY BUCCANEERS,2024-09-15,1529.1091194829498,1559.5334954165337,24.57562406641614
JACKSONVILLE JAGUARS,CLEVELAND BROWNS,2024-09-15,1467.3370621333677,1488.171306402575,34.165755730792625
WASHINGTON COMMANDERS,NEW YORK GIANTS,2024-09-15,1418.6057615550112,1422.2353383655056,51.37042318950557
ARIZONA CARDINALS,LOS ANGELES RAMS,2024-09-15,1471.544478133426,1452.4205596695883,74.12391846383775
KANSAS CITY CHIEFS,CINCINNATI BENGALS,2024-09-15,1621.0160240512569,1544.8744973421817,131.14152670907515
HOUSTON TEXANS,CHICAGO BEARS,2024-09-15,1514.5044413204184,1450.5740074441485,118.93043387626994
PHILADELPHIA EAGLES,ATLANTA FALCONS,2024-09-16,1590.5919964841564,1410.02428898247,235.56770750168653
NEW YORK JETS,NEW ENGLAND PATRIOTS,2024-09-19,1462.0011568273123,1424.8580309678007,92.14312585951166
CLEVELAND BROWNS,NEW YORK GIANTS,2024-09-22,1463.5530526257082,1446.8535921423725,71.69946048333577
INDIANAPOLIS COLTS,CHICAGO BEARS,2024-09-22,1507.452603305155,1438.2118780455953,124.24072525955967
NEW ORLEANS SAINTS,PHILADELPHIA EAGLES,2024-09-22,1598.901805295437,1606.9866016823005,46.915203613136555
PITTSBURGH STEELERS,LOS ANGELES CHARGERS,2024-09-22,1542.6311526954526,1454.9783036763615,142.65284901909104
TAMPA BAY BUCCANEERS,DENVER BRONCOS,2024-09-22,1518.8553314147464,1479.681237022368,94.17409439237849
TENNESSEE TITANS,GREEN BAY PACKERS,2024-09-22,1370.9593720497153,1555.6775881920555,-129.71821614234022
LAS VEGAS RAIDERS,CAROLINA PANTHERS,2024-09-22,1493.6337946733418,1371.938013275861,176.6957813974807
SEATTLE SEAHAWKS,MIAMI DOLPHINS,2024-09-22,1506.8322400045677,1486.6403891016073,75.19185090296037
BUFFALO BILLS,JACKSONVILLE JAGUARS,2024-09-23,1676.0806455766503,1454.8972335336832,276.1834120429671
CINCINNATI BENGALS,WASHINGTON COMMANDERS,2024-09-23,1520.3910293235112,1443.0892295736817,132.30179974982957
ATLANTA FALCONS,NEW ORLEANS SAINTS,2024-09-29,1424.1842378453453,1584.7418564325617,-105.55761858721644
CHICAGO BEARS,LOS ANGELES RAMS,2024-09-29,1455.0839537973714,1435.5484839178123,74.53546987955906
GREEN BAY PACKERS,MINNESOTA VIKINGS,2024-09-29,1540.9832820430868,1462.8839821319991,133.09929991108766
HOUSTON TEXANS,JACKSONVILLE JAGUARS,2024-09-29,1524.931190359666,1444.4704844944356,135.46070586523047
NEW YORK JETS,DENVER BRONCOS,2024-09-29,1454.455982167086,1487.2264116825943,22.22957048449166
ARIZONA CARDINALS,WASHINGTON COMMANDERS,2024-09-29,1431.4559356633963,1483.1777720437112,3.278163619685074
SAN FRANCISCO 49ERS,NEW ENGLAND PATRIOTS,2024-09-29,1624.5119373885052,1414.6238195960702,264.88811779243497
BALTIMORE RAVENS,BUFFALO BILLS,2024-09-29,1621.0655799631693,1640.765047818519,35.30053214465033
MIAMI DOLPHINS,TENNESSEE TITANS,2024-09-30,1446.1846759309824,1411.4150852203402,89.7695907106422
DETROIT LIONS,SEATTLE SEAHAWKS,2024-09-30,1549.025228909563,1486.9161305779544,117.10909833160872
ATLANTA FALCONS,TAMPA BAY BUCCANEERS,2024-10-03,1445.471760548054,1497.5678087120375,2.903951836016404
NEW YORK JETS,MINNESOTA VIKINGS,2024-10-06,1432.8611398934734,1484.478824405612,3.382315487861433
CHICAGO BEARS,CAROLINA PANTHERS,2024-10-06,1474.3757163910382,1352.646250682194,176.72946570884415
HOUSTON TEXANS,BUFFALO BILLS,2024-10-06,1540.7592718576843,1624.9369663205007,-29.177694462816362
JACKSONVILLE JAGUARS,INDIANAPOLIS COLTS,2024-10-06,1458.6005973001745,1493.322490499416,20.27810680075845
WASHINGTON COMMANDERS,CLEVELAND BROWNS,2024-10-06,1506.7497114634534,1439.981113205966,121.76859825748738
DENVER BRONCOS,LAS VEGAS RAIDERS,2024-10-06,1511.094440730276,1469.7657656256604,96.32867510461551
SAN FRANCISCO 49ERS,ARIZONA CARDINALS,2024-10-06,1614.4633950941777,1441.504477957724,227.9589171364537
SEATTLE SEAHAWKS,NEW YORK GIANTS,2024-10-06,1458.9511521694478,1474.818570550879,39.13258161856879
PITTSBURGH STEELERS,DALLAS COWBOYS,2024-10-06,1528.1868789733026,1594.6189245480336,-11.432045574731092
KANSAS CITY CHIEFS,NEW ORLEANS SAINTS,2024-10-07,1639.847504784373,1565.9103756994457,128.9371290849274
CHICAGO BEARS,JACKSONVILLE JAGUARS,2024-10-13,1497.5674608897127,1435.4088528015,117.15860808821276
BALTIMORE RAVENS,WASHINGTON COMMANDERS,2024-10-13,1631.6447541085422,1496.1705373180805,190.4742167904617
GREEN BAY PACKERS,ARIZONA CARDINALS,2024-10-13,1557.8080912491664,1424.6796687516444,188.12842249752202
PHILADELPHIA EAGLES,CLEVELAND BROWNS,2024-10-13,1613.3575228891575,1433.6101919991088,234.74733089004872
TENNESSEE TITANS,INDIANAPOLIS COLTS,2024-10-13,1398.7781835431172,1505.959392176639,-52.18120863352192
NEW ENGLAND PATRIOTS,JACKSONVILLE JAGUARS,2024-10-20,1383.9870334458674,1466.0456389517028,-27.05860550583543
ATLANTA FALCONS,SEATTLE SEAHAWKS,2024-10-20,1412.0363997432355,1492.3865129742665,-25.350113231030946
BUFFALO BILLS,TENNESSEE TITANS,2024-10-20,1634.3792309939129,1389.335918869705,300.0433121242079
GREEN BAY PACKERS,HOUSTON TEXANS,2024-10-20,1566.2709384851173,1532.2964246217334,88.97451386338389
INDIANAPOLIS COLTS,MIAMI DOLPHINS,2024-10-20,1518.5570540680571,1433.5870140395643,139.9700400284928
MINNESOTA VIKINGS,DETROIT LIONS,2024-10-20,1473.8406506065182,1559.6634027086568,-30.822752102138566
LOS ANGELES RAMS,LAS VEGAS RAIDERS,2024-10-20,1452.2379100619642,1453.0763394815085,54.161570580455646
WASHINGTON COMMANDERS,CAROLINA PANTHERS,2024-10-20,1511.8129693480046,1337.00381865227,229.80915069573462
SAN FRANCISCO 49ERS,KANSAS CITY CHIEFS,2024-10-20,1588.7909756840577,1665.519924194493,-21.728948510435202
CINCINNATI BENGALS,PHILADELPHIA EAGLES,2024-10-27,1493.7198461387322,1640.0287060739367,-91.30885993520451
DETROIT LIONS,TENNESSEE TITANS,2024-10-27,1573.9302299185747,1375.069091659787,253.8611382587876
HOUSTON TEXANS,INDIANAPOLIS COLTS,2024-10-27,1543.113858250539,1507.7396204392517,90.37423781128723
MIAMI DOLPHINS,ARIZONA CARDINALS,2024-10-27,1425.6260111572583,1432.6406716339504,47.98533952330786
LOS ANGELES CHARGERS,NEW ORLEANS SAINTS,2024-10-27,1488.2757399273942,1532.612939448413,10.662800478981126
DENVER BRONCOS,CAROLINA PANTHERS,2024-10-27,1521.4459046028446,1326.6523547797012,249.7935498231434
WASHINGTON COMMANDERS,CHICAGO BEARS,2024-10-27,1522.6091634004265,1486.771266837291,90.83789656313547
SAN FRANCISCO 49ERS,DALLAS COWBOYS,2024-10-27,1605.148690593844,1578.2612096382472,81.88748095559686
PITTSBURGH STEELERS,NEW YORK GIANTS,2024-10-28,1542.7998959871593,1460.2055535370223,137.594342450137
NEW YORK JETS,HOUSTON TEXANS,2024-10-31,1457.6752683943766,1518.2997297496356,-5.624461355258973
