date,season,home_abbr,away_abbr,home_score,away_score
2024-09-05,2024,KC,BAL,27,20
2024-09-06,2024,PHI,GB,34,29
2024-09-08,2024,ATL,PIT,10,18
2024-09-08,2024,BUF,ARI,34,28
2024-09-08,2024,CHI,TEN,24,17
2024-09-08,2024,CIN,NE,10,16
2024-09-08,2024,IND,HOU,27,29
2024-09-08,2024,MIA,JAX,20,17
2024-09-08,2024,NO,CAR,47,10
2024-09-08,2024,NYG,MIN,6,28
2024-09-08,2024,LAC,LV,22,10
2024-09-08,2024,SEA,DEN,26,20
2024-09-08,2024,CLE,DAL,17,33
2024-09-08,2024,TB,WAS,37,20
2024-09-08,2024,DET,LA,26,20
2024-09-12,2024,MIA,BUF,10,31
2024-09-15,2024,BAL,LV,23,26
2024-09-15,2024,CAR,LAC,3,26
2024-09-15,2024,DAL,NO,19,44
2024-09-15,2024,DET,TB,16,20
2024-09-15,2024,GB,IND,16,10
2024-09-15,2024,JAX,CLE,13,18
2024-09-15,2024,SEA,MIN,5,46
2024-09-15,2024,TEN,NYJ,17,24
2024-09-15,2024,WAS,NYG,21,18
2024-09-15,2024,ARI,LA,41,10
2024-09-15,2024,DEN,PIT,6,13
2024-09-15,2024,KC,CIN,26,25
2024-09-15,2024,HOU,CHI,19,13
2024-09-16,2024,PHI,ATL,21,22
2024-09-19,2024,NYJ,NE,24,3
2024-09-22,2024,CLE,NYG,15,21
2024-09-22,2024,IND,CHI,21,16
2024-09-22,2024,MIN,HOU,34,7
2024-09-22,2024,NO,PHI,12,15
2024-09-22,2024,PIT,LAC,20,10
2024-09-22,2024,TB,DEN,7,26
2024-09-22,2024,TEN,GB,14,30
2024-09-22,2024,LV,CAR,22,36
2024-09-22,2024,SEA,MIA,24,3
2024-09-22,2024,ARI,DET,13,20
2024-09-22,2024,DAL,BAL,25,28
2024-09-22,2024,KC,LA,5,44
2024-09-23,2024,BUF,JAX,47,10
2024-09-23,2024,CIN,WAS,33,38
2024-09-26,2024,NYG,DAL,15,20
2024-09-29,2024,ATL,NO,26,24
2024-09-29,2024,CAR,CIN,24,34
2024-09-29,2024,CHI,LA,24,18
2024-09-29,2024,GB,MIN,29,31
2024-09-29,2024,HOU,JAX,24,20
2024-09-29,2024,IND,PIT,27,24
2024-09-29,2024,NYJ,DEN,9,10
2024-09-29,2024,TB,PHI,33,16
2024-09-29,2024,ARI,WAS,14,42
2024-09-29,2024,LV,CLE,20,16
2024-09-29,2024,LAC,KC,10,17
2024-09-29,2024,BAL,BUF,35,10
2024-09-30,2024,MIA,TEN,12,31
2024-09-30,2024,DET,SEA,42,29
2024-10-03,2024,ATL,TB,36,30
2024-10-06,2024,MIN,NYJ,23,17
2024-10-06,2024,CHI,CAR,36,10
2024-10-06,2024,CIN,BAL,38,41
2024-10-06,2024,HOU,BUF,23,20
2024-10-06,2024,JAX,IND,37,34
2024-10-06,2024,NE,MIA,10,15
2024-10-06,2024,WAS,CLE,34,13
2024-10-06,2024,DEN,LV,34,18
2024-10-06,2024,LA,GB,19,24
2024-10-06,2024,SEA,NYG,20,29
2024-10-06,2024,PIT,DAL,17,20
2024-10-07,2024,KC,NO,26,13
2024-10-10,2024,JAX,SEA,5,48
2024-10-13,2024,BAL,WAS,30,23
2024-10-13,2024,GB,ARI,34,13
2024-10-13,2024,NE,HOU,21,41
2024-10-13,2024,NO,TB,27,51
2024-10-13,2024,PHI,CLE,20,16
2024-10-13,2024,TEN,IND,17,20
2024-10-13,2024,DEN,LAC,16,23
2024-10-13,2024,LV,PIT,13,32
2024-10-13,2024,CAR,ATL,20,38
2024-10-13,2024,DAL,DET,9,47
2024-10-13,2024,NYG,CIN,7,17
2024-10-14,2024,NYJ,BUF,20,23
2024-10-17,2024,NO,DEN,10,33
2024-10-20,2024,JAX,NE,32,16
2024-10-20,2024,ATL,SEA,14,34
2024-10-20,2024,BUF,TEN,34,10
2024-10-20,2024,CLE,CIN,14,21
2024-10-20,2024,GB,HOU,24,22
2024-10-20,2024,IND,MIA,16,10
2024-10-20,2024,MIN,DET,29,31
2024-10-20,2024,NYG,PHI,3,28
2024-10-20,2024,LA,LV,20,15
2024-10-20,2024,WAS,CAR,40,7
2024-10-20,2024,PIT,NYJ,37,15
2024-10-21,2024,TB,BAL,31,41
2024-10-21,2024,ARI,LAC,17,15
2024-10-24,2024,LA,MIN,30,20
2024-10-27,2024,CIN,PHI,17,37
2024-10-27,2024,CLE,BAL,29,24
2024-10-27,2024,DET,TEN,52,14
2024-10-27,2024,HOU,IND,23,20
2024-10-27,2024,JAX,GB,27,30
2024-10-27,2024,MIA,ARI,27,28
2024-10-27,2024,NE,NYJ,25,22
2024-10-27,2024,TB,ATL,26,31
2024-10-27,2024,LAC,NO,26,8
2024-10-27,2024,SEA,BUF,10,31
2024-10-27,2024,DEN,CAR,28,14
2024-10-27,2024,LV,KC,20,27
2024-10-27,2024,WAS,CHI,18,15
2024-10-27,2024,DAL,PIT,47,5
2024-10-31,2024,NYJ,HOU,21,13
2024-11-03,2024,ATL,DAL,27,21
2024-11-03,2024,BAL,DEN,41,10
2024-11-03,2024,BUF,MIA,30,27
2024-11-03,2024,CAR,NO,23,22
2024-11-03,2024,CIN,LV,41,24
2024-11-03,2024,CLE,LAC,10,27
2024-11-03,2024,NYG,WAS,22,27
2024-11-03,2024,TEN,NE,20,17
2024-11-03,2024,ARI,CHI,29,9
2024-11-03,2024,PHI,JAX,28,23
2024-11-03,2024,GB,DET,14,24
2024-11-03,2024,SEA,LA,20,26
2024-11-03,2024,MIN,IND,21,13
2024-11-04,2024,KC,TB,30,24
2024-11-07,2024,BAL,CIN,35,34
2024-11-10,2024,NYG,CAR,17,20
2024-11-10,2024,CHI,NE,3,19
2024-11-10,2024,IND,BUF,20,30
2024-11-10,2024,JAX,MIN,7,12
2024-11-10,2024,KC,DEN,16,14
2024-11-10,2024,NO,ATL,20,17
2024-11-10,2024,WAS,TB,5,50
2024-11-10,2024,LAC,TEN,27,17
2024-11-10,2024,ARI,NYJ,31,6
2024-11-10,2024,DAL,PHI,6,34
2024-11-10,2024,HOU,DET,23,26
2024-11-11,2024,LA,MIA,15,23
2024-11-14,2024,PHI,WAS,26,18
2024-11-17,2024,CHI,GB,19,20
2024-11-17,2024,DET,JAX,52,6
2024-11-17,2024,MIA,LV,34,19
2024-11-17,2024,NE,LA,22,28
2024-11-17,2024,NO,CLE,35,14
2024-11-17,2024,NYJ,IND,27,28
2024-11-17,2024,PIT,BAL,18,16
2024-11-17,2024,TEN,MIN,13,23
2024-11-17,2024,DEN,ATL,38,6
2024-11-17,2024,SEA,BUF,48,5
2024-11-17,2024,LAC,CIN,34,27
2024-11-18,2024,DAL,HOU,10,34
2024-11-21,2024,CLE,PIT,24,19
2024-11-24,2024,CAR,KC,27,30
2024-11-24,2024,CHI,MIN,27,30
2024-11-24,2024,HOU,TEN,27,32
2024-11-24,2024,IND,DET,6,24
2024-11-24,2024,MIA,NE,34,15
2024-11-24,2024,NYG,TB,7,30
2024-11-24,2024,WAS,DAL,26,34
2024-11-24,2024,LV,DEN,19,29
2024-11-24,2024,GB,ARI,38,10
2024-11-24,2024,LA,PHI,20,37
2024-11-25,2024,LAC,BAL,23,30
2024-11-28,2024,DET,CHI,23,20
2024-11-28,2024,DAL,NYG,27,20
2024-11-28,2024,GB,MIA,30,17
2024-11-29,2024,KC,LV,19,17
2024-12-01,2024,ATL,LAC,13,17
2024-12-01,2024,CIN,PIT,38,44
2024-12-01,2024,JAX,HOU,20,23
2024-12-01,2024,MIN,ARI,23,22
2024-12-01,2024,NE,IND,24,25
2024-12-01,2024,NYJ,SEA,21,26
2024-12-01,2024,WAS,TEN,42,19
2024-12-01,2024,CAR,TB,23,26
2024-12-01,2024,NO,LA,14,21
2024-12-01,2024,BAL,PHI,19,24
2024-12-01,2024,BUF,DEN,35,10
2024-12-05,2024,DET,GB,34,31
2024-12-08,2024,MIA,NYJ,32,26
2024-12-08,2024,MIN,ATL,42,21
2024-12-08,2024,NYG,NO,11,14
2024-12-08,2024,PHI,CAR,22,16
2024-12-08,2024,PIT,CLE,27,14
2024-12-08,2024,TB,LV,28,13
2024-12-08,2024,TEN,JAX,6,10
2024-12-08,2024,ARI,SEA,18,30
2024-12-08,2024,LA,BUF,44,42
2024-12-08,2024,CHI,KC,43,5
