player_id,first_name,last_name,position,jersey_number,team_id,team_abbr,roster_status,injury_description,playing_probability,last_updated_on
6826,Ameer,Abdullah,RB,38,65,IND,ROSTER,ribs,OUT,2025-09-15T12:40:02.401Z
112073,Nate,Adkins,TE,45,72,DEN,ROSTER,ankle,QUESTIONABLE,2025-09-15T12:40:02.401Z
12937,Jamal,Agnew,WR,14,68,ATL,ROSTER,groin,QUESTIONABLE,2025-09-15T12:40:02.401Z
19004,Salvon,Ahmed,RB,36,,,UFA,leg,OUT,2025-09-15T12:40:02.401Z
18675,Brandon,Aiyuk,WR,11,78,SF,ROSTER,knee,OUT,2025-09-15T12:40:02.401Z
134296,Erick,All Jr.,TE,83,,,UFA,knee,OUT,2025-09-15T12:40:02.401Z
133910,Kiran,Amegadjie,OT,72,60,CHI,ROSTER,leg,QUESTIONABLE,2025-09-15T12:40:02.401Z
39132,Troy,Andersen,LB,44,68,ATL,ROSTER,knee,OUT,2025-09-15T12:40:02.401Z
47864,Alec,Anderson,T,70,48,BUF,ROSTER,knee,QUESTIONABLE,2025-09-15T12:40:02.401Z
32082,Zayne,Anderson,FS,39,62,GB,ROSTER,knee,QUESTIONABLE,2025-09-15T12:40:02.401Z
16664,Calvin,Anderson,OT,67,59,PIT,ROSTER,undisclosed,QUESTIONABLE,2025-09-15T12:40:02.401Z
79845,Jake,Andrews,C,60,64,HOU,ROSTER,ankle,OUT,2025-09-15T12:40:02.401Z
134060,Daijahn,Anthony,LB,33,,,UFA,hamstring,OUT,2025-09-15T12:40:02.401Z
79769,Felix,Anudike-Uzomah,DE,91,,,UFA,hamstring,OUT,2025-09-15T12:40:02.401Z
133858,Terrion,Arnold,CB,6,61,DET,ROSTER,groin,QUESTIONABLE,2025-09-15T12:40:02.401Z
108885,Sala,Aumavae-Laulu,OT,71,,,UFA,achilles,OUT,2025-09-15T12:40:02.401Z
7962,Denico,Autry,DE,96,,,UFA,knee,QUESTIONABLE,2025-09-15T12:40:02.401Z
79774,Steve,Avila,G,73,77,LA,ROSTER,ankle,QUESTIONABLE,2025-09-15T12:40:02.401Z
30280,Kayode,Awosika,G,74,61,DET,ROSTER,shoulder,QUESTIONABLE,2025-09-15T12:40:02.401Z
30190,Aaron,Banks,G,65,62,GB,ROSTER,back,QUESTIONABLE,2025-09-15T12:40:02.401Z
18832,Ben,Bartch,G,78,78,SF,ROSTER,undisclosed,QUESTIONABLE,2025-09-15T12:40:02.401Z
166911,Gavin,Bartholomew,TE,86,,,ROSTER,back,OUT,2025-09-15T12:40:02.401Z
18732,Tyler,Bass,K,2,48,BUF,ROSTER,hip,OUT,2025-09-15T12:40:02.401Z
167963,Tyler,Batty,LB,96,,,UFA,knee,OUT,2025-09-15T12:40:02.401Z
108859,Robert,Beal Jr.,DE,51,78,SF,UNDRAFTED,ankle,QUESTIONABLE,2025-09-15T12:40:02.401Z
18664,Mekhi,Becton,G,73,75,LAC,ROSTER,illness,QUESTIONABLE,2025-09-15T12:40:02.401Z
43339,David,Bell,WR,18,,,UFA,hip,QUESTIONABLE,2025-09-15T12:40:02.401Z
