team,total_players_flagged,total_impact,ol_players_flagged,ol_impact
ARI,10,4.4,1,0.8
ATL,12,4.8,0,0.0
BAL,8,2.4000000000000004,1,0.1
BUF,17,6.6,4,1.1
CAR,17,8.2,3,0.30000000000000004
CHI,14,2.8000000000000003,1,0.1
CIN,6,2.0,2,0.9
CLE,13,3.4000000000000004,4,0.4
DAL,8,3.2,0,0.0
DEN,5,1.8,0,0.0
DET,14,4.4,3,0.30000000000000004
GB,10,4.4,1,0.1
HOU,11,6.2,4,1.1
IND,11,6.2,2,0.2
JAX,8,4.0,2,0.9
KC,7,4.6,0,0.0
LAC,6,2.0,1,0.1
LAR,7,1.4000000000000001,2,0.2
LV,5,1.0,2,0.2
MIA,15,9.4,2,0.9
MIN,12,4.0,0,0.0
NE,9,3.4,2,0.2
NO,10,5.2,1,0.1
NYG,13,5.0,1,0.1
NYJ,14,6.0,2,0.9
PHI,7,3.8,1,0.1
PIT,13,7.3,2,0.15000000000000002
SEA,9,3.4000000000000004,3,0.30000000000000004
SF,18,8.4,3,1.0
TB,11,3.8000000000000003,1,0.1
TEN,9,5.0,5,1.2
WAS,10,3.2,1,0.1
