team_abbr,player_id,player_name,position,status_norm,designation,practice,injury_desc,status_raw,last_updated
IND,6826,Ameer Abdullah,RB,OUT,,,ribs,OUT,2025-09-24T13:29:18.304Z
NYJ,16162,Tony Adams,FS,QUESTIONABLE,,,hip,QUESTIONABLE,2025-09-24T13:29:18.304Z
DEN,112073,Nate Adkins,TE,QUESTIONABLE,,,ankle,QUESTIONABLE,2025-09-24T13:29:18.304Z
ATL,12937,Jamal Agnew,WR,QUESTIONABLE,,,groin,QUESTIONABLE,2025-09-24T13:29:18.304Z
SF,18675,Brandon Aiyuk,WR,OUT,,,knee,OUT,2025-09-24T13:29:18.304Z
CHI,133910,Kiran Amegadjie,OT,OUT,,,elbow,OUT,2025-09-24T13:29:18.304Z
ATL,39132,Troy Andersen,LB,OUT,,,knee,OUT,2025-09-24T13:29:18.304Z
PIT,16664,Calvin Anderson,OT,QUESTIONABLE,,,undisclosed,QUESTIONABLE,2025-09-24T13:29:18.304Z
BUF,47864,Alec Anderson,T,QUESTIONABLE,,,knee,QUESTIONABLE,2025-09-24T13:29:18.304Z
HOU,79845,Jake Andrews,C,OUT,,,ankle,OUT,2025-09-24T13:29:18.304Z
SEA,166719,Elijah Arroyo,TE,QUESTIONABLE,,,groin,QUESTIONABLE,2025-09-24T13:29:18.304Z
LA,79774,Steve Avila,G,QUESTIONABLE,,,ankle,QUESTIONABLE,2025-09-24T13:29:18.304Z
DET,30280,Kayode Awosika,G,QUESTIONABLE,,,shoulder,QUESTIONABLE,2025-09-24T13:29:18.304Z
GB,30190,Aaron Banks,G,QUESTIONABLE,,,back,QUESTIONABLE,2025-09-24T13:29:18.304Z
SF,18832,Ben Bartch,G,OUT,,,ankle,OUT,2025-09-24T13:29:18.304Z
BUF,18732,Tyler Bass,K,OUT,,,hip,OUT,2025-09-24T13:29:18.304Z
WAS,30304,John Bates,TE,QUESTIONABLE,,,groin,QUESTIONABLE,2025-09-24T13:29:18.304Z
LAC,18664,Mekhi Becton,G,QUESTIONABLE,,,illness,QUESTIONABLE,2025-09-24T13:29:18.304Z
DAL,133908,Cooper Beebe,C,OUT,,,ankle,OUT,2025-09-24T13:29:18.304Z
HOU,14713,Braxton Berrios,WR,QUESTIONABLE,,,hamstring,QUESTIONABLE,2025-09-24T13:29:18.304Z
CHI,9676,Andrew Billings,DT,QUESTIONABLE,,,pectoral,QUESTIONABLE,2025-09-24T13:29:18.304Z
CLE,6589,Joel Bitonio,G,QUESTIONABLE,,,back,QUESTIONABLE,2025-09-24T13:29:18.304Z
NO,18610,Julian Blackmon,FS,OUT,,,shoulder,OUT,2025-09-24T13:29:18.304Z
DAL,47924,Daron Bland,CB,QUESTIONABLE,,,foot,QUESTIONABLE,2025-09-24T13:29:18.304Z
ARI,47868,Joey Blount,FS,OUT,,,neck,OUT,2025-09-24T13:29:18.304Z
DAL,166813,Jaydon Blue,RB,QUESTIONABLE,,,back,QUESTIONABLE,2025-09-24T13:29:18.304Z
NYG,14488,Chris Board,LB,OUT,,,chest,OUT,2025-09-24T13:29:18.304Z
SEA,112356,Jake Bobo,WR,QUESTIONABLE,,,concussion,QUESTIONABLE,2025-09-24T13:29:18.304Z
MIA,111939,Ethan Bonner,CB,QUESTIONABLE,,,hamstring,QUESTIONABLE,2025-09-24T13:29:18.304Z
SF,16140,Nick Bosa,DE,OUT,,,knee,OUT,2025-09-24T13:29:18.304Z
LV,133847,Brock Bowers,TE,QUESTIONABLE,,,knee,QUESTIONABLE,2025-09-24T13:29:18.304Z
