msf_game_id,date_utc,quarter,clock,offense_team,defense_team,play_type,yards,success,home_score,away_score,description,date
148741,2025-09-05,,,NAN,NAN,NONE,,,,,"4-J.Elliott kicks 60 yards from PHI 35 to DAL 5. 9-K.Turpin pushed ob at DAL 32 for 27 yards (83-K.Granson). PHI-43-B.VanSumeren was injured during the play.  PENALTY on PHI-98-J.Carter, Disqualification, 15 yards, enforced at DAL 32.",2025-09-05
148741,2025-09-05,,,NAN,NAN,RUSH,,,,,(14:54) 33-J.Williams left tackle to PHI 46 for 7 yards (33-C.DeJean).,2025-09-05
148741,2025-09-05,,,NAN,NAN,RUSH,,,,,(14:22) (Shotgun) 9-K.Turpin right end to PHI 42 for 4 yards (33-C.DeJean; 53-Z.Baun).,2025-09-05
148741,2025-09-05,,,NAN,NAN,PASS,,,,,(13:47) (Shotgun) 4-D.Prescott pass short right to 3-G.Pickens to PHI 36 for 6 yards (27-Q.Mitchell).,2025-09-05
148741,2025-09-05,,,NAN,NAN,RUSH,,,,,(13:04) 33-J.Williams up the middle to PHI 33 for 3 yards (24-A.Mukuba).,2025-09-05
148741,2025-09-05,,,NAN,NAN,PASS,,,,,(12:22) 4-D.Prescott pass deep right to 88-C.Lamb to PHI 1 for 32 yards (8-A.Jackson).,2025-09-05
148741,2025-09-05,,,NAN,NAN,PASS,,,,,"(11:56) (No Huddle, Shotgun) 4-D.Prescott pass incomplete short right to 88-C.Lamb. PENALTY on PHI-8-A.Jackson, Defensive Pass Interference, 0 yards, enforced at PHI 1 - No Play.",2025-09-05
148741,2025-09-05,,,NAN,NAN,RUSH,,,,,"(11:52) 33-J.Williams left guard for 1 yard, TOUCHDOWN.",2025-09-05
148741,2025-09-05,,,NAN,NAN,NONE,,,,,"17-B.Aubrey extra point is GOOD, Center-44-T.Sieg, Holder-5-B.Anger.",2025-09-05
148741,2025-09-05,,,NAN,NAN,NONE,,,,,"17-B.Aubrey kicks 65 yards from DAL 35 to end zone, Touchback to the PHI 35. PENALTY on PHI-39-M.Epps, Illegal Motion, 5 yards, enforced at PHI 35.",2025-09-05
148741,2025-09-05,,,NAN,NAN,PASS,,,,,(11:49) (Shotgun) 1-J.Hurts pass short left to 88-D.Goedert pushed ob at PHI 38 for 8 yards (59-K.Murray).,2025-09-05
