date,date_utc,away_team,home_team,status,final_away,final_home,msf_game_id,week,venue,startTime_utc,endedTime_utc
2025-09-05,2025-09-05,DAL,PHI,COMPLETED,20,24,148741,1,Lincoln Financial Field,2025-09-05T00:20:00.000Z,2025-09-05T05:15:00.000Z
2025-09-06,2025-09-06,KC,LAC,COMPLETED,21,27,148742,1,Arena Corinthians,2025-09-06T00:00:00.000Z,2025-09-06T04:00:00.000Z
2025-09-07,2025-09-07,TB,ATL,COMPLETED,23,20,148743,1,Mercedes-Benz Stadium,2025-09-07T17:00:00.000Z,2025-09-07T21:25:00.000Z
2025-09-07,2025-09-07,CIN,CLE,COMPLETED,17,16,148744,1,Huntington Bank Field,2025-09-07T17:00:00.000Z,2025-09-07T20:59:00.000Z
2025-09-07,2025-09-07,MIA,IND,COMPLETED,8,33,148745,1,Lucas Oil Stadium,2025-09-07T17:00:00.000Z,2025-09-07T20:45:00.000Z
2025-09-07,2025-09-07,CAR,JAX,COMPLETED,10,26,148746,1,TIAA Bank Field,2025-09-07T17:00:00.000Z,2025-09-07T22:11:00.000Z
2025-09-07,2025-09-07,LV,NE,COMPLETED,20,13,148747,1,Gillette Stadium,2025-09-07T17:00:00.000Z,2025-09-07T21:04:00.000Z
2025-09-07,2025-09-07,ARI,NO,COMPLETED,20,13,148748,1,Caesars Superdome,2025-09-07T17:00:00.000Z,2025-09-07T21:00:00.000Z
2025-09-07,2025-09-07,PIT,NYJ,COMPLETED,34,32,148749,1,MetLife Stadium,2025-09-07T17:00:00.000Z,2025-09-07T21:06:00.000Z
2025-09-07,2025-09-07,NYG,WAS,COMPLETED,6,21,148755,1,Northwest Stadium,2025-09-07T17:00:00.000Z,2025-09-07T21:11:00.000Z
2025-09-07,2025-09-07,TEN,DEN,COMPLETED,12,20,148750,1,Empower Field at Mile High,2025-09-07T20:05:00.000Z,2025-09-08T00:29:00.000Z
2025-09-07,2025-09-07,SF,SEA,COMPLETED,17,13,148751,1,Lumen Field,2025-09-07T20:05:00.000Z,2025-09-08T00:04:00.000Z
2025-09-07,2025-09-07,DET,GB,COMPLETED,13,27,148752,1,Lambeau Field,2025-09-07T20:25:00.000Z,2025-09-08T00:14:00.000Z
2025-09-07,2025-09-07,HOU,LA,COMPLETED,9,14,148753,1,SoFi Stadium,2025-09-07T20:25:00.000Z,2025-09-08T00:17:00.000Z
2025-09-08,2025-09-08,BAL,BUF,COMPLETED,40,41,148754,1,Highmark Stadium,2025-09-08T00:20:00.000Z,2025-09-08T04:35:00.000Z
2025-09-09,2025-09-09,MIN,CHI,COMPLETED,27,24,148756,1,Soldier Field,2025-09-09T00:15:00.000Z,2025-09-09T04:31:00.000Z
