home_abbr,away_abbr,commence_time,book_count,ml_home,ml_away,market_p_home
ARI,SEA,2025-09-26T00:16:00Z,9,-110.0,-109.0,0.5261653341338703
PIT,MIN,2025-09-28T13:31:00Z,9,125.0,-150.0,0.44186022454310037
DET,CLE,2025-09-28T17:00:00Z,4,-492.5,370.0,0.8328751909753604
ATL,WSH,2025-09-28T17:01:00Z,9,120.0,-145.0,0.4528119563961859
BUF,NO,2025-09-28T17:01:00Z,9,-1600.0,900.0,0.9437398678018618
NE,CAR,2025-09-28T17:01:00Z,9,-250.0,205.0,0.7121842993352187
HOU,TEN,2025-09-28T17:01:00Z,9,-350.0,280.0,0.779535930548016
NYG,LAC,2025-09-28T17:01:00Z,9,222.0,-270.0,0.31317857736871424
TB,PHI,2025-09-28T17:01:00Z,9,155.0,-183.0,0.3994791229081457
LAR,IND,2025-09-28T20:06:00Z,9,-192.0,163.0,0.6605195223142283
SF,JAX,2025-09-28T20:06:00Z,9,-180.0,150.0,0.6442016728596576
KC,BAL,2025-09-28T20:25:00Z,4,121.0,-146.5,0.4525674606319768
LV,CHI,2025-09-28T20:26:00Z,9,-112.0,-110.0,0.5285801425318196
DAL,GB,2025-09-29T00:21:00Z,9,258.0,-330.0,0.27740267497538845
MIA,NYJ,2025-09-29T23:16:00Z,9,-154.0,130.0,0.6025618759342982
DEN,CIN,2025-09-30T00:16:00Z,9,-375.0,290.0,0.7860277712220392
