home_team,away_team,commence_time,num_books
Green Bay Packers,Washington Commanders,2025-09-12T00:16:00Z,9
Detroit Lions,Chicago Bears,2025-09-14T17:00:00Z,9
Cincinnati Bengals,Jacksonville Jaguars,2025-09-14T17:00:00Z,9
Dallas Cowboys,New York Giants,2025-09-14T17:00:00Z,9
Miami Dolphins,New England Patriots,2025-09-14T17:00:00Z,9
Baltimore Ravens,Cleveland Browns,2025-09-14T17:01:00Z,9
New York Jets,Buffalo Bills,2025-09-14T17:01:00Z,9
Tennessee Titans,Los Angeles Rams,2025-09-14T17:01:00Z,9
New Orleans Saints,San Francisco 49ers,2025-09-14T17:01:00Z,9
Pittsburgh Steelers,Seattle Seahawks,2025-09-14T17:01:00Z,9
Arizona Cardinals,Carolina Panthers,2025-09-14T20:05:00Z,9
Indianapolis Colts,Denver Broncos,2025-09-14T20:06:00Z,9
Kansas City Chiefs,Philadelphia Eagles,2025-09-14T20:25:00Z,9
Minnesota Vikings,Atlanta Falcons,2025-09-15T00:20:00Z,9
Houston Texans,Tampa Bay Buccaneers,2025-09-15T23:01:00Z,9
Las Vegas Raiders,Los Angeles Chargers,2025-09-16T02:00:00Z,9
