away_team,home_team,away_api,home_api,matched,why
WAS,GB,Washington Commanders,Green Bay Packers,True,
CAR,ARI,Carolina Panthers,Arizona Cardinals,True,
CLE,BAL,Cleveland Browns,Baltimore Ravens,True,
JAX,CIN,Jacksonville Jaguars,Cincinnati Bengals,True,
NYG,DAL,New York Giants,Dallas Cowboys,True,
CHI,DET,Chicago Bears,Detroit Lions,True,
DEN,IND,Denver Broncos,Indianapolis Colts,True,
PHI,KC,Philadelphia Eagles,Kansas City Chiefs,True,
NE,MIA,New England Patriots,Miami Dolphins,True,
SF,NO,San Francisco 49ers,New Orleans Saints,True,
BUF,NYJ,Buffalo Bills,New York Jets,True,
SEA,PIT,Seattle Seahawks,Pittsburgh Steelers,True,
LA,TEN,Los Angeles Rams,Tennessee Titans,True,
TB,HOU,Tampa Bay Buccaneers,Houston Texans,True,
ATL,MIN,Atlanta Falcons,Minnesota Vikings,True,
LAC,LV,Los Angeles Chargers,Las Vegas Raiders,True,
