date,away_team,home_team,spread,total,book,msf_game_id
2025-09-12,WAS,GB,-3.0,48.5,draftkings,148757
2025-09-14,CAR,ARI,-6.5,44.5,draftkings,148767
2025-09-14,CLE,BAL,-11.5,45.5,draftkings,148758
2025-09-14,JAX,CIN,-3.0,48.5,draftkings,148759
2025-09-14,NYG,DAL,-4.5,44.5,draftkings,148760
2025-09-14,CHI,DET,-6.0,46.5,draftkings,148761
2025-09-14,DEN,IND,2.5,42.5,draftkings,148768
2025-09-14,PHI,KC,1.5,46.5,draftkings,148769
2025-09-14,NE,MIA,-1.5,43.5,draftkings,148762
2025-09-14,SF,NO,3.0,40.5,draftkings,148763
2025-09-14,BUF,NYJ,6.5,46.5,draftkings,148764
2025-09-14,SEA,PIT,-3.0,39.5,draftkings,148765
2025-09-14,LA,TEN,5.5,41.5,draftkings,148766
2025-09-15,TB,HOU,-2.5,42.5,draftkings,148771
2025-09-15,ATL,MIN,-3.5,44.5,draftkings,148770
2025-09-16,LAC,LV,3.5,46.5,draftkings,148772
