home,away,spread_home,spread_away,total,book,commence_time_utc
PHI,DAL,-7.5,7.5,47.5,DraftKings,2025-09-05T00:21:00Z
LAC,KC,3.0,-3.0,45.5,FanDuel,2025-09-06T00:01:00Z
ATL,TB,2.5,-2.5,46.5,DraftKings,2025-09-07T17:00:00Z
JAX,CAR,-3.0,3.0,47.5,DraftKings,2025-09-07T17:00:00Z
WSH,NYG,-6.5,6.5,45.5,FanDuel,2025-09-07T17:00:00Z
NO,ARI,6.5,-6.5,42.5,DraftKings,2025-09-07T17:01:00Z
CLE,CIN,5.5,-5.5,47.5,DraftKings,2025-09-07T17:01:00Z
IND,MIA,-1.5,1.5,46.5,DraftKings,2025-09-07T17:01:00Z
NE,LV,-3.0,3.0,42.5,DraftKings,2025-09-07T17:01:00Z
NYJ,PIT,2.5,-2.5,38.5,DraftKings,2025-09-07T17:01:00Z
DEN,TEN,-7.5,7.5,41.5,FanDuel,2025-09-07T20:06:00Z
SEA,SF,2.5,-2.5,44.5,FanDuel,2025-09-07T20:06:00Z
GB,DET,-2.5,2.5,47.5,FanDuel,2025-09-07T20:26:00Z
LAR,HOU,-2.5,2.5,44.5,FanDuel,2025-09-07T20:26:00Z
BUF,BAL,-1.5,1.5,52.5,FanDuel,2025-09-08T00:21:00Z
CHI,MIN,1.5,-1.5,43.5,FanDuel,2025-09-09T00:16:00Z
