date,week,away_team,home_team,p_home,p_away,elo_diff_pre,fav,fav_prob,dog,dog_prob,upset_alert
2025-09-12,2,WAS,GB,0.7444307287878911,0.25556927121210893,191.734592,GB,0.7444307287878911,WAS,0.25556927121210893,False
2025-09-14,2,CLE,BAL,0.8011907933650494,0.1988092066349506,276.389271,BAL,0.8011907933650494,CLE,0.1988092066349506,False
2025-09-14,2,NYG,DAL,0.7835204598928814,0.21647954010711856,248.36775,DAL,0.7835204598928814,NYG,0.21647954010711856,False
2025-09-14,2,CAR,ARI,0.7686290780847549,0.2313709219152451,226.016063,ARI,0.7686290780847549,CAR,0.2313709219152451,False
2025-09-14,2,CHI,DET,0.7527745665833617,0.24722543341663827,203.29685,DET,0.7527745665833617,CHI,0.24722543341663827,False
2025-09-14,2,JAX,CIN,0.718503659242654,0.281496340757346,157.29256,CIN,0.718503659242654,JAX,0.281496340757346,False
2025-09-14,2,NE,MIA,0.6723928380865879,0.3276071619134121,100.437167,MIA,0.6723928380865879,NE,0.3276071619134121,False
2025-09-14,2,BUF,NYJ,0.3617073133004908,0.6382926866995092,-235.176293,BUF,0.6382926866995092,NYJ,0.3617073133004908,False
2025-09-14,2,SF,NO,0.6320272986826231,0.3679727013173769,53.992543,NO,0.6320272986826231,SF,0.3679727013173769,False
2025-09-14,2,SEA,PIT,0.628305034096178,0.371694965903822,49.82774,PIT,0.628305034096178,SEA,0.371694965903822,False
2025-09-14,2,PHI,KC,0.6142824135612657,0.38571758643873433,34.284947,KC,0.6142824135612657,PHI,0.38571758643873433,False
2025-09-14,2,DEN,IND,0.5942293523116251,0.4057706476883749,12.412905,IND,0.5942293523116251,DEN,0.4057706476883749,True
2025-09-14,2,LA,TEN,0.5344437940161032,0.4655562059838968,-51.08169,TEN,0.5344437940161032,LA,0.4655562059838968,True
2025-09-15,2,ATL,MIN,0.716921794497742,0.28307820550225804,155.256418,MIN,0.716921794497742,ATL,0.28307820550225804,False
2025-09-15,2,TB,HOU,0.5494453100029608,0.4505546899970392,-35.320998,HOU,0.5494453100029608,TB,0.4505546899970392,True
2025-09-16,2,LAC,LV,0.6353396166360208,0.3646603833639792,57.713683,LV,0.6353396166360208,LAC,0.3646603833639792,False
