date,team,feature,value,source
2025-09-12,GB,scheme_confidence,,seed
2025-09-12,GB,scheme_pass_pct,0.5,seed
2025-09-12,GB,scheme_run_pct,0.5,seed
2025-09-12,WAS,scheme_confidence,,seed
2025-09-12,WAS,scheme_pass_pct,0.5,seed
2025-09-12,WAS,scheme_run_pct,0.5,seed
2025-09-14,ARI,scheme_confidence,,seed
2025-09-14,ARI,scheme_pass_pct,0.5,seed
2025-09-14,ARI,scheme_run_pct,0.5,seed
2025-09-14,BAL,scheme_confidence,,seed
2025-09-14,BAL,scheme_pass_pct,0.5,seed
2025-09-14,BAL,scheme_run_pct,0.5,seed
2025-09-14,BUF,scheme_confidence,,seed
2025-09-14,BUF,scheme_pass_pct,0.5,seed
2025-09-14,BUF,scheme_run_pct,0.5,seed
2025-09-14,CAR,scheme_confidence,,seed
2025-09-14,CAR,scheme_pass_pct,0.5,seed
2025-09-14,CAR,scheme_run_pct,0.5,seed
2025-09-14,CHI,scheme_confidence,,seed
2025-09-14,CHI,scheme_pass_pct,0.5,seed
2025-09-14,CHI,scheme_run_pct,0.5,seed
2025-09-14,CIN,scheme_confidence,,seed
2025-09-14,CIN,scheme_pass_pct,0.5,seed
2025-09-14,CIN,scheme_run_pct,0.5,seed
2025-09-14,CLE,scheme_confidence,,seed
2025-09-14,CLE,scheme_pass_pct,0.5,seed
2025-09-14,CLE,scheme_run_pct,0.5,seed
2025-09-14,DAL,scheme_confidence,,seed
2025-09-14,DAL,scheme_pass_pct,0.5,seed
2025-09-14,DAL,scheme_run_pct,0.5,seed
2025-09-14,DEN,scheme_confidence,,seed
2025-09-14,DEN,scheme_pass_pct,0.5,seed
2025-09-14,DEN,scheme_run_pct,0.5,seed
2025-09-14,DET,scheme_confidence,,seed
2025-09-14,DET,scheme_pass_pct,0.5,seed
2025-09-14,DET,scheme_run_pct,0.5,seed
2025-09-14,IND,scheme_confidence,,seed
2025-09-14,IND,scheme_pass_pct,0.5,seed
2025-09-14,IND,scheme_run_pct,0.5,seed
2025-09-14,JAX,scheme_confidence,,seed
2025-09-14,JAX,scheme_pass_pct,0.5,seed
2025-09-14,JAX,scheme_run_pct,0.5,seed
2025-09-14,KC,scheme_confidence,,seed
2025-09-14,KC,scheme_pass_pct,0.5,seed
2025-09-14,KC,scheme_run_pct,0.5,seed
2025-09-14,LA,scheme_confidence,,seed
2025-09-14,LA,scheme_pass_pct,0.5,seed
2025-09-14,LA,scheme_run_pct,0.5,seed
2025-09-14,MIA,scheme_confidence,,seed
2025-09-14,MIA,scheme_pass_pct,0.5,seed
2025-09-14,MIA,scheme_run_pct,0.5,seed
2025-09-14,NE,scheme_confidence,,seed
2025-09-14,NE,scheme_pass_pct,0.5,seed
2025-09-14,NE,scheme_run_pct,0.5,seed
2025-09-14,NO,scheme_confidence,,seed
2025-09-14,NO,scheme_pass_pct,0.5,seed
2025-09-14,NO,scheme_run_pct,0.5,seed
2025-09-14,NYG,scheme_confidence,,seed
2025-09-14,NYG,scheme_pass_pct,0.5,seed
2025-09-14,NYG,scheme_run_pct,0.5,seed
2025-09-14,NYJ,scheme_confidence,,seed
2025-09-14,NYJ,scheme_pass_pct,0.5,seed
2025-09-14,NYJ,scheme_run_pct,0.5,seed
2025-09-14,PHI,scheme_confidence,,seed
2025-09-14,PHI,scheme_pass_pct,0.5,seed
2025-09-14,PHI,scheme_run_pct,0.5,seed
2025-09-14,PIT,scheme_confidence,,seed
2025-09-14,PIT,scheme_pass_pct,0.5,seed
2025-09-14,PIT,scheme_run_pct,0.5,seed
2025-09-14,SEA,scheme_confidence,,seed
2025-09-14,SEA,scheme_pass_pct,0.5,seed
2025-09-14,SEA,scheme_run_pct,0.5,seed
2025-09-14,SF,scheme_confidence,,seed
2025-09-14,SF,scheme_pass_pct,0.5,seed
2025-09-14,SF,scheme_run_pct,0.5,seed
2025-09-14,TEN,scheme_confidence,,seed
2025-09-14,TEN,scheme_pass_pct,0.5,seed
2025-09-14,TEN,scheme_run_pct,0.5,seed
2025-09-15,ATL,scheme_confidence,,seed
2025-09-15,ATL,scheme_pass_pct,0.5,seed
2025-09-15,ATL,scheme_run_pct,0.5,seed
2025-09-15,HOU,scheme_confidence,,seed
2025-09-15,HOU,scheme_pass_pct,0.5,seed
2025-09-15,HOU,scheme_run_pct,0.5,seed
2025-09-15,MIN,scheme_confidence,,seed
2025-09-15,MIN,scheme_pass_pct,0.5,seed
2025-09-15,MIN,scheme_run_pct,0.5,seed
2025-09-15,TB,scheme_confidence,,seed
2025-09-15,TB,scheme_pass_pct,0.5,seed
2025-09-15,TB,scheme_run_pct,0.5,seed
2025-09-16,LAC,scheme_confidence,,seed
2025-09-16,LAC,scheme_pass_pct,0.5,seed
2025-09-16,LAC,scheme_run_pct,0.5,seed
2025-09-16,LV,scheme_confidence,,seed
2025-09-16,LV,scheme_pass_pct,0.5,seed
2025-09-16,LV,scheme_run_pct,0.5,seed
