msf_game_id,game_start_x,home_abbr_x,away_abbr_x,venue_x,status_x,commence_time_x,book_count_x,ml_home_x,ml_away_x,market_p_home_x,p_home,game_start_y,home_abbr_y,away_abbr_y,venue_y,status_y,commence_time_y,book_count_y,ml_home_y,ml_away_y,market_p_home_y
148757,2025-09-12T00:15:00.000Z,GB,WAS,Lambeau Field,COMPLETED,,,,,,0.5,2025-09-12T00:15:00.000Z,GB,WAS,Lambeau Field,COMPLETED,,,,,
148758,2025-09-14T17:00:00.000Z,BAL,CLE,M&T Bank Stadium,COMPLETED,,,,,,0.5,2025-09-14T17:00:00.000Z,BAL,CLE,M&T Bank Stadium,COMPLETED,,,,,
148759,2025-09-14T17:00:00.000Z,CIN,JAX,Paycor Stadium,COMPLETED,,,,,,0.5,2025-09-14T17:00:00.000Z,CIN,JAX,Paycor Stadium,COMPLETED,,,,,
148760,2025-09-14T17:00:00.000Z,DAL,NYG,AT&T Stadium,COMPLETED,,,,,,0.5,2025-09-14T17:00:00.000Z,DAL,NYG,AT&T Stadium,COMPLETED,,,,,
148761,2025-09-14T17:00:00.000Z,DET,CHI,Ford Field,COMPLETED,,,,,,0.5,2025-09-14T17:00:00.000Z,DET,CHI,Ford Field,COMPLETED,,,,,
148762,2025-09-14T17:00:00.000Z,MIA,NE,Hard Rock Stadium,COMPLETED,,,,,,0.5,2025-09-14T17:00:00.000Z,MIA,NE,Hard Rock Stadium,COMPLETED,,,,,
148763,2025-09-14T17:00:00.000Z,NO,SF,Caesars Superdome,COMPLETED,,,,,,0.5,2025-09-14T17:00:00.000Z,NO,SF,Caesars Superdome,COMPLETED,,,,,
148764,2025-09-14T17:00:00.000Z,NYJ,BUF,MetLife Stadium,COMPLETED,,,,,,0.5,2025-09-14T17:00:00.000Z,NYJ,BUF,MetLife Stadium,COMPLETED,,,,,
148765,2025-09-14T17:00:00.000Z,PIT,SEA,Acrisure Stadium,COMPLETED,,,,,,0.5,2025-09-14T17:00:00.000Z,PIT,SEA,Acrisure Stadium,COMPLETED,,,,,
148766,2025-09-14T17:00:00.000Z,TEN,LA,Nissan Stadium,COMPLETED,,,,,,0.5,2025-09-14T17:00:00.000Z,TEN,LA,Nissan Stadium,COMPLETED,,,,,
148767,2025-09-14T20:05:00.000Z,ARI,CAR,State Farm Stadium,COMPLETED,,,,,,0.5,2025-09-14T20:05:00.000Z,ARI,CAR,State Farm Stadium,COMPLETED,,,,,
148768,2025-09-14T20:05:00.000Z,IND,DEN,Lucas Oil Stadium,COMPLETED,,,,,,0.5,2025-09-14T20:05:00.000Z,IND,DEN,Lucas Oil Stadium,COMPLETED,,,,,
148769,2025-09-14T20:25:00.000Z,KC,PHI,GEHA Field at Arrowhead Stadium,COMPLETED,,,,,,0.5,2025-09-14T20:25:00.000Z,KC,PHI,GEHA Field at Arrowhead Stadium,COMPLETED,,,,,
148770,2025-09-15T00:20:00.000Z,MIN,ATL,US Bank Stadium,COMPLETED,,,,,,0.5,2025-09-15T00:20:00.000Z,MIN,ATL,US Bank Stadium,COMPLETED,,,,,
148771,2025-09-15T23:00:00.000Z,HOU,TB,NRG Stadium,COMPLETED,,,,,,0.5,2025-09-15T23:00:00.000Z,HOU,TB,NRG Stadium,COMPLETED,,,,,
148772,2025-09-16T02:00:00.000Z,LV,LAC,Allegiant Stadium,COMPLETED,,,,,,0.5,2025-09-16T02:00:00.000Z,LV,LAC,Allegiant Stadium,COMPLETED,,,,,
