msf_game_id,game_start,home_abbr,away_abbr,venue,status,commence_time,book_count,ml_home,ml_away,market_p_home
148757,2025-09-12T00:15:00.000Z,GB,WAS,Lambeau Field,COMPLETED,,,,,
148758,2025-09-14T17:00:00.000Z,BAL,CLE,M&T Bank Stadium,COMPLETED,,,,,
148759,2025-09-14T17:00:00.000Z,CIN,JAX,Paycor Stadium,COMPLETED,,,,,
148760,2025-09-14T17:00:00.000Z,DAL,NYG,AT&T Stadium,COMPLETED,,,,,
148761,2025-09-14T17:00:00.000Z,DET,CHI,Ford Field,COMPLETED,,,,,
148762,2025-09-14T17:00:00.000Z,MIA,NE,Hard Rock Stadium,COMPLETED,,,,,
148763,2025-09-14T17:00:00.000Z,NO,SF,Caesars Superdome,COMPLETED,,,,,
148764,2025-09-14T17:00:00.000Z,NYJ,BUF,MetLife Stadium,COMPLETED,,,,,
148765,2025-09-14T17:00:00.000Z,PIT,SEA,Acrisure Stadium,COMPLETED,,,,,
148766,2025-09-14T17:00:00.000Z,TEN,LA,Nissan Stadium,COMPLETED,,,,,
148767,2025-09-14T20:05:00.000Z,ARI,CAR,State Farm Stadium,COMPLETED,,,,,
148768,2025-09-14T20:05:00.000Z,IND,DEN,Lucas Oil Stadium,COMPLETED,,,,,
148769,2025-09-14T20:25:00.000Z,KC,PHI,GEHA Field at Arrowhead Stadium,COMPLETED,,,,,
148770,2025-09-15T00:20:00.000Z,MIN,ATL,US Bank Stadium,COMPLETED,,,,,
148771,2025-09-15T23:00:00.000Z,HOU,TB,NRG Stadium,COMPLETED,,,,,
148772,2025-09-16T02:00:00.000Z,LV,LAC,Allegiant Stadium,COMPLETED,,,,,
