date,team,feature,value,source,hc_name,oc_name,dc_name,oc_playcaller,hc_tenure,oc_tenure,dc_tenure,continuity_index
2025-09-05,DAL,injury_adj,0.0,msf_ingest_v2,Brian Schottenheimer,Klayton Adams,Matt Eberflus,False,1,1,1,0.0
2025-09-05,DAL,lineup_flag,1.0,msf_ingest_v2,Brian Schottenheimer,Klayton Adams,Matt Eberflus,False,1,1,1,0.0
2025-09-05,DAL,qb1_name,Dak Prescott,msf_lineups_v2,Brian Schottenheimer,Klayton Adams,Matt Eberflus,False,1,1,1,0.0
2025-09-05,PHI,injury_adj,0.0,msf_ingest_v2,Nick Sirianni,Kevin Patullo,Vic Fangio,False,5,1,2,0.667
2025-09-05,PHI,lineup_flag,1.0,msf_ingest_v2,Nick Sirianni,Kevin Patullo,Vic Fangio,False,5,1,2,0.667
2025-09-05,PHI,qb1_name,Jalen Hurts,msf_lineups_v2,Nick Sirianni,Kevin Patullo,Vic Fangio,False,5,1,2,0.667
2025-09-06,KC,injury_adj,0.0,msf_ingest_v2,Andy Reid,Matt Nagy,Steve Spagnuolo,False,7,3,7,1.0
2025-09-06,KC,lineup_flag,1.0,msf_ingest_v2,Andy Reid,Matt Nagy,Steve Spagnuolo,False,7,3,7,1.0
2025-09-06,KC,qb1_name,Patrick Mahomes,msf_lineups_v2,Andy Reid,Matt Nagy,Steve Spagnuolo,False,7,3,7,1.0
2025-09-06,LAC,injury_adj,0.0,msf_ingest_v2,Jim Harbaugh,Greg Roman,Jesse Minter,False,2,2,2,1.0
2025-09-06,LAC,lineup_flag,1.0,msf_ingest_v2,Jim Harbaugh,Greg Roman,Jesse Minter,False,2,2,2,1.0
2025-09-06,LAC,qb1_name,Justin Herbert,msf_lineups_v2,Jim Harbaugh,Greg Roman,Jesse Minter,False,2,2,2,1.0
2025-09-07,ARI,injury_adj,0.0,msf_ingest_v2,Jonathan Gannon,Drew Petzing,Nick Rallis,False,3,3,3,1.0
2025-09-07,ARI,lineup_flag,1.0,msf_ingest_v2,Jonathan Gannon,Drew Petzing,Nick Rallis,False,3,3,3,1.0
2025-09-07,ARI,qb1_name,Kyler Murray,msf_lineups_v2,Jonathan Gannon,Drew Petzing,Nick Rallis,False,3,3,3,1.0
2025-09-07,ATL,injury_adj,0.0,msf_ingest_v2,Raheem Morris,Zac Robinson,Jimmy Lake,False,2,2,2,1.0
2025-09-07,ATL,lineup_flag,1.0,msf_ingest_v2,Raheem Morris,Zac Robinson,Jimmy Lake,False,2,2,2,1.0
2025-09-07,ATL,qb1_name,Michael Penix Jr.,msf_lineups_v2,Raheem Morris,Zac Robinson,Jimmy Lake,False,2,2,2,1.0
2025-09-07,CAR,injury_adj,0.0,msf_ingest_v2,Dave Canales,Brad Idzik,Ejiro Evero,False,2,2,3,1.0
2025-09-07,CAR,lineup_flag,1.0,msf_ingest_v2,Dave Canales,Brad Idzik,Ejiro Evero,False,2,2,3,1.0
2025-09-07,CAR,qb1_name,Bryce Young,msf_lineups_v2,Dave Canales,Brad Idzik,Ejiro Evero,False,2,2,3,1.0
2025-09-07,CIN,injury_adj,0.0,msf_ingest_v2,Zac Taylor,Dan Pitcher,Lou Anarumo,False,7,2,7,1.0
2025-09-07,CIN,lineup_flag,1.0,msf_ingest_v2,Zac Taylor,Dan Pitcher,Lou Anarumo,False,7,2,7,1.0
2025-09-07,CIN,qb1_name,Joe Burrow,msf_lineups_v2,Zac Taylor,Dan Pitcher,Lou Anarumo,False,7,2,7,1.0
2025-09-07,CLE,injury_adj,0.0,msf_ingest_v2,Kevin Stefanski,Tommy Rees,Jim Schwartz,False,6,1,3,0.667
2025-09-07,CLE,lineup_flag,1.0,msf_ingest_v2,Kevin Stefanski,Tommy Rees,Jim Schwartz,False,6,1,3,0.667
2025-09-07,CLE,qb1_name,Joe Flacco,msf_lineups_v2,Kevin Stefanski,Tommy Rees,Jim Schwartz,False,6,1,3,0.667
2025-09-07,DEN,injury_adj,0.0,msf_ingest_v2,Sean Payton,Joe Lombardi,Vance Joseph,False,3,3,3,1.0
2025-09-07,DEN,lineup_flag,1.0,msf_ingest_v2,Sean Payton,Joe Lombardi,Vance Joseph,False,3,3,3,1.0
2025-09-07,DEN,qb1_name,Bo Nix,msf_lineups_v2,Sean Payton,Joe Lombardi,Vance Joseph,False,3,3,3,1.0
2025-09-07,DET,injury_adj,0.0,msf_ingest_v2,Dan Campbell,John Morton,Aaron Glenn,False,5,1,5,0.667
2025-09-07,DET,lineup_flag,1.0,msf_ingest_v2,Dan Campbell,John Morton,Aaron Glenn,False,5,1,5,0.667
2025-09-07,DET,qb1_name,Jared Goff,msf_lineups_v2,Dan Campbell,John Morton,Aaron Glenn,False,5,1,5,0.667
2025-09-07,GB,injury_adj,0.0,msf_ingest_v2,Matt LaFleur,Adam Stenavich,Jeff Hafley,False,7,4,2,1.0
2025-09-07,GB,lineup_flag,1.0,msf_ingest_v2,Matt LaFleur,Adam Stenavich,Jeff Hafley,False,7,4,2,1.0
2025-09-07,GB,qb1_name,Jordan Love,msf_lineups_v2,Matt LaFleur,Adam Stenavich,Jeff Hafley,False,7,4,2,1.0
2025-09-07,HOU,injury_adj,0.0,msf_ingest_v2,DeMeco Ryans,Nick Caley,Matt Burke,False,3,1,3,0.667
2025-09-07,HOU,lineup_flag,1.0,msf_ingest_v2,DeMeco Ryans,Nick Caley,Matt Burke,False,3,1,3,0.667
2025-09-07,HOU,qb1_name,C.J. Stroud,msf_lineups_v2,DeMeco Ryans,Nick Caley,Matt Burke,False,3,1,3,0.667
2025-09-07,IND,injury_adj,0.0,msf_ingest_v2,Shane Steichen,Jim Bob Cooter,Gus Bradley,False,3,1,4,0.667
2025-09-07,IND,lineup_flag,1.0,msf_ingest_v2,Shane Steichen,Jim Bob Cooter,Gus Bradley,False,3,1,4,0.667
2025-09-07,IND,qb1_name,Daniel Jones,msf_lineups_v2,Shane Steichen,Jim Bob Cooter,Gus Bradley,False,3,1,4,0.667
2025-09-07,JAX,injury_adj,0.0,msf_ingest_v2,Liam Coen,Grant Udinski,Anthony Campanile,False,1,1,1,0.0
2025-09-07,JAX,lineup_flag,1.0,msf_ingest_v2,Liam Coen,Grant Udinski,Anthony Campanile,False,1,1,1,0.0
2025-09-07,JAX,qb1_name,Trevor Lawrence,msf_lineups_v2,Liam Coen,Grant Udinski,Anthony Campanile,False,1,1,1,0.0
2025-09-07,LA,injury_adj,0.0,msf_ingest_v2,Sean McVay,Mike LaFleur,Chris Shula,False,7,3,2,1.0
2025-09-07,LA,lineup_flag,1.0,msf_ingest_v2,Sean McVay,Mike LaFleur,Chris Shula,False,7,3,2,1.0
2025-09-07,LA,qb1_name,Matthew Stafford,msf_lineups_v2,Sean McVay,Mike LaFleur,Chris Shula,False,7,3,2,1.0
2025-09-07,LV,injury_adj,0.0,msf_ingest_v2,Pete Carroll,Chip Kelly,Patrick Graham,False,1,1,4,0.333
2025-09-07,LV,lineup_flag,1.0,msf_ingest_v2,Pete Carroll,Chip Kelly,Patrick Graham,False,1,1,4,0.333
2025-09-07,LV,qb1_name,Geno Smith,msf_lineups_v2,Pete Carroll,Chip Kelly,Patrick Graham,False,1,1,4,0.333
2025-09-07,MIA,injury_adj,0.0,msf_ingest_v2,Mike McDaniel,Frank Smith,Anthony Weaver,False,4,4,2,1.0
2025-09-07,MIA,lineup_flag,1.0,msf_ingest_v2,Mike McDaniel,Frank Smith,Anthony Weaver,False,4,4,2,1.0
2025-09-07,MIA,qb1_name,Tua Tagovailoa,msf_lineups_v2,Mike McDaniel,Frank Smith,Anthony Weaver,False,4,4,2,1.0
2025-09-07,NE,injury_adj,0.0,msf_ingest_v2,Mike Vrabel,Josh McDaniels,TBD,False,1,1,1,0.0
2025-09-07,NE,lineup_flag,1.0,msf_ingest_v2,Mike Vrabel,Josh McDaniels,TBD,False,1,1,1,0.0
2025-09-07,NE,qb1_name,Drake Maye,msf_lineups_v2,Mike Vrabel,Josh McDaniels,TBD,False,1,1,1,0.0
2025-09-07,NO,injury_adj,0.0,msf_ingest_v2,Kellen Moore,Doug Nussmeier,Brandon Staley,False,1,1,1,0.0
2025-09-07,NO,lineup_flag,1.0,msf_ingest_v2,Kellen Moore,Doug Nussmeier,Brandon Staley,False,1,1,1,0.0
2025-09-07,NO,qb1_name,Spencer Rattler,msf_lineups_v2,Kellen Moore,Doug Nussmeier,Brandon Staley,False,1,1,1,0.0
2025-09-07,NYG,injury_adj,0.0,msf_ingest_v2,Brian Daboll,Mike Kafka,Shane Bowen,False,4,4,2,1.0
2025-09-07,NYG,lineup_flag,1.0,msf_ingest_v2,Brian Daboll,Mike Kafka,Shane Bowen,False,4,4,2,1.0
2025-09-07,NYG,qb1_name,Russell Wilson,msf_lineups_v2,Brian Daboll,Mike Kafka,Shane Bowen,False,4,4,2,1.0
2025-09-07,NYJ,injury_adj,0.0,msf_ingest_v2,Aaron Glenn,Tanner Engstrand,Steve Wilks,False,1,1,1,0.0
2025-09-07,NYJ,lineup_flag,1.0,msf_ingest_v2,Aaron Glenn,Tanner Engstrand,Steve Wilks,False,1,1,1,0.0
2025-09-07,NYJ,qb1_name,Justin Fields,msf_lineups_v2,Aaron Glenn,Tanner Engstrand,Steve Wilks,False,1,1,1,0.0
2025-09-07,PIT,injury_adj,0.0,msf_ingest_v2,Mike Tomlin,Arthur Smith,Teryl Austin,False,7,2,4,1.0
2025-09-07,PIT,lineup_flag,1.0,msf_ingest_v2,Mike Tomlin,Arthur Smith,Teryl Austin,False,7,2,4,1.0
2025-09-07,PIT,qb1_name,Aaron Rodgers,msf_lineups_v2,Mike Tomlin,Arthur Smith,Teryl Austin,False,7,2,4,1.0
2025-09-07,SEA,injury_adj,0.0,msf_ingest_v2,Mike Macdonald,Klint Kubiak,Aden Durde,False,2,1,2,0.667
2025-09-07,SEA,lineup_flag,1.0,msf_ingest_v2,Mike Macdonald,Klint Kubiak,Aden Durde,False,2,1,2,0.667
2025-09-07,SEA,qb1_name,Sam Darnold,msf_lineups_v2,Mike Macdonald,Klint Kubiak,Aden Durde,False,2,1,2,0.667
2025-09-07,SF,injury_adj,0.0,msf_ingest_v2,Kyle Shanahan,Klay Kubiak,Robert Saleh,False,7,1,1,0.333
2025-09-07,SF,lineup_flag,1.0,msf_ingest_v2,Kyle Shanahan,Klay Kubiak,Robert Saleh,False,7,1,1,0.333
2025-09-07,SF,qb1_name,Brock Purdy,msf_lineups_v2,Kyle Shanahan,Klay Kubiak,Robert Saleh,False,7,1,1,0.333
2025-09-07,TB,injury_adj,0.0,msf_ingest_v2,Todd Bowles,Josh Grizzard,Todd Bowles,False,4,1,1,0.333
2025-09-07,TB,lineup_flag,1.0,msf_ingest_v2,Todd Bowles,Josh Grizzard,Todd Bowles,False,4,1,1,0.333
2025-09-07,TB,qb1_name,Baker Mayfield,msf_lineups_v2,Todd Bowles,Josh Grizzard,Todd Bowles,False,4,1,1,0.333
2025-09-07,TEN,injury_adj,0.0,msf_ingest_v2,Brian Callahan,Nick Holz,Dennard Wilson,False,2,2,2,1.0
2025-09-07,TEN,lineup_flag,1.0,msf_ingest_v2,Brian Callahan,Nick Holz,Dennard Wilson,False,2,2,2,1.0
2025-09-07,TEN,qb1_name,Cam Ward,msf_lineups_v2,Brian Callahan,Nick Holz,Dennard Wilson,False,2,2,2,1.0
2025-09-07,WAS,injury_adj,0.0,msf_ingest_v2,Dan Quinn,Kliff Kingsbury,Joe Whitt Jr.,False,2,2,2,1.0
2025-09-07,WAS,lineup_flag,1.0,msf_ingest_v2,Dan Quinn,Kliff Kingsbury,Joe Whitt Jr.,False,2,2,2,1.0
