msf_game_id,game_start,home_abbr,away_abbr,venue,status,pair_key,home_abbr_mkt,away_abbr_mkt,commence_time_mkt,book_count_mkt,ml_home_mkt,ml_away_mkt,market_p_home_raw,market_p_home
148773,2025-09-19T00:15:00.000Z,BUF,MIA,Highmark Stadium,COMPLETED,BUF|MIA,,,,,,,,
148774,2025-09-21T17:00:00.000Z,CAR,ATL,Bank of America Stadium,COMPLETED,ATL|CAR,,,,,,,,
148775,2025-09-21T17:00:00.000Z,CLE,GB,Huntington Bank Field,COMPLETED,CLE|GB,,,,,,,,
148776,2025-09-21T17:00:00.000Z,JAX,HOU,TIAA Bank Field,COMPLETED,HOU|JAX,,,,,,,,
148777,2025-09-21T17:00:00.000Z,MIN,CIN,US Bank Stadium,COMPLETED,CIN|MIN,,,,,,,,
148778,2025-09-21T17:00:00.000Z,NE,PIT,Gillette Stadium,COMPLETED,NE|PIT,,,,,,,,
148779,2025-09-21T17:00:00.000Z,PHI,LA,Lincoln Financial Field,COMPLETED,LA|PHI,,,,,,,,
148780,2025-09-21T17:00:00.000Z,TB,NYJ,Raymond James Stadium,COMPLETED,NYJ|TB,,,,,,,,
148781,2025-09-21T17:00:00.000Z,TEN,IND,Nissan Stadium,COMPLETED,IND|TEN,,,,,,,,
148782,2025-09-21T17:00:00.000Z,WAS,LV,Northwest Stadium,COMPLETED,LV|WAS,,,,,,,,
148783,2025-09-21T20:05:00.000Z,LAC,DEN,SoFi Stadium,COMPLETED,DEN|LAC,,,,,,,,
148784,2025-09-21T20:05:00.000Z,SEA,NO,Lumen Field,COMPLETED,NO|SEA,,,,,,,,
148785,2025-09-21T20:25:00.000Z,CHI,DAL,Soldier Field,COMPLETED,CHI|DAL,,,,,,,,
148786,2025-09-21T20:25:00.000Z,SF,ARI,Levi's Stadium,COMPLETED,ARI|SF,,,,,,,,
148787,2025-09-22T00:20:00.000Z,NYG,KC,MetLife Stadium,COMPLETED,KC|NYG,,,,,,,,
148788,2025-09-23T00:15:00.000Z,BAL,DET,M&T Bank Stadium,COMPLETED,BAL|DET,BAL,DET,2025-09-23T00:15:00Z,9.0,-235.0,195.0,0.7014925373,0.7014925373
