game_id,home_team,away_team,kickoff_utc,neutral_site,rating_home,rating_away,hfa_home,inj_adj_home,inj_adj_away,vegas_line,vegas_total,modeled_spread_home,modeled_total,win_prob_home,cover_prob_home,ou_prob_over,notes
DAL@PHI_20250905T0021Z,PHI,DAL,2025-09-05T00:21:00Z,False,9.0,8.0,0.0,0.0,0.0,-8.0,47.5,1.0,46.39,0.4261,0.2171,0.4529,"Blend 60% model / 40% market; sigma_margin=13.5, sigma_total=9.5"
KC@LAC_20250906T0001Z,LAC,KC,2025-09-06T00:01:00Z,True,3.0,10.0,0.0,0.0,0.0,3.0,45.5,-7.0,44.629999999999995,0.4142,0.5017,0.4637,"Blend 60% model / 40% market; sigma_margin=13.5, sigma_total=9.5"
TB@ATL_20250907T1700Z,ATL,TB,2025-09-07T17:00:00Z,False,-3.0,2.0,0.0,0.0,0.0,2.5,47.5,-5.0,46.15,0.4379,0.5133,0.444,"Blend 60% model / 40% market; sigma_margin=13.5, sigma_total=9.5"
CAR@JAX_20250907T1700Z,JAX,CAR,2025-09-07T17:00:00Z,False,2.5,-8.0,0.0,0.0,0.0,-3.5,46.5,10.5,45.12,0.642,0.542,0.4417,"Blend 60% model / 40% market; sigma_margin=13.5, sigma_total=9.5"
NYG@WAS_20250907T1700Z,WAS,NYG,2025-09-07T17:00:00Z,False,-5.5,-6.0,0.0,0.0,0.0,-6.0,45.5,0.5,45.019999999999996,0.4356,0.2746,0.4819,"Blend 60% model / 40% market; sigma_margin=13.5, sigma_total=9.5"
ARI@NO_20250907T1701Z,NO,ARI,2025-09-07T17:01:00Z,False,-1.5,-6.5,0.0,0.0,0.0,6.5,43.25,5.0,43.175,0.6627,0.8147,0.4943,"Blend 60% model / 40% market; sigma_margin=13.5, sigma_total=9.5"
CIN@CLE_20250907T1701Z,CLE,CIN,2025-09-07T17:01:00Z,False,2.0,6.5,0.0,0.0,0.0,5.5,47.5,-4.5,46.18,0.4842,0.6443,0.4432,"Blend 60% model / 40% market; sigma_margin=13.5, sigma_total=9.5"
MIA@IND_20250907T1701Z,IND,MIA,2025-09-07T17:01:00Z,False,4.0,3.0,0.0,0.0,0.0,-1.0,47.0,1.0,46.04,0.507,0.4766,0.4613,"Blend 60% model / 40% market; sigma_margin=13.5, sigma_total=9.5"
LV@NE_20250907T1701Z,NE,LV,2025-09-07T17:01:00Z,False,-9.0,-2.0,0.0,0.0,0.0,-2.5,43.5,-7.0,43.23,0.3525,0.2864,0.4878,"Blend 60% model / 40% market; sigma_margin=13.5, sigma_total=9.5"
PIT@NYJ_20250907T1701Z,NYJ,PIT,2025-09-07T17:01:00Z,False,5.0,3.0,0.0,0.0,0.0,2.5,38.5,2.0,40.03,0.5683,0.6398,0.5634,"Blend 60% model / 40% market; sigma_margin=13.5, sigma_total=9.5"
TEN@DEN_20250907T2006Z,DEN,TEN,2025-09-07T20:06:00Z,False,-8.5,-5.0,0.0,0.0,0.0,-8.0,42.5,-3.5,42.739999999999995,0.3488,0.1626,0.5107,"Blend 60% model / 40% market; sigma_margin=13.5, sigma_total=9.5"
SF@SEA_20250907T2006Z,SEA,SF,2025-09-07T20:06:00Z,False,0.5,9.5,0.0,0.0,0.0,2.5,43.5,-9.0,43.11,0.3729,0.4454,0.4854,"Blend 60% model / 40% market; sigma_margin=13.5, sigma_total=9.5"
DET@GB_20250907T2026Z,GB,DET,2025-09-07T20:26:00Z,False,5.5,8.5,0.0,0.0,0.0,-2.5,47.0,-3.0,45.92,0.417,0.347,0.4565,"Blend 60% model / 40% market; sigma_margin=13.5, sigma_total=9.5"
HOU@LAR_20250907T2026Z,LAR,HOU,2025-09-07T20:26:00Z,False,1.0,7.0,0.0,0.0,0.0,-3.0,44.0,-6.0,43.63999999999999,0.3636,0.2834,0.4869,"Blend 60% model / 40% market; sigma_margin=13.5, sigma_total=9.5"
BAL@BUF_20250908T0021Z,BUF,BAL,2025-09-08T00:21:00Z,False,7.0,8.5,0.0,0.0,0.0,0.0,50.5,-1.5,48.459999999999994,0.4721,0.4721,0.4168,"Blend 60% model / 40% market; sigma_margin=13.5, sigma_total=9.5"
MIN@CHI_20250909T0016Z,CHI,MIN,2025-09-09T00:16:00Z,False,-3.5,0.0,0.0,0.0,0.0,1.5,44.5,-3.5,44.14,0.4593,0.5033,0.4824,"Blend 60% model / 40% market; sigma_margin=13.5, sigma_total=9.5"
