player_name,team_code
D.Hopkins,KC
A.Richardson,IND
B.Mayfield,TB
C.Rush,DAL
M.Rudolph,TEN
M.Stafford,LA
K.Murray,ARI
T.Tagovailoa,MIA
B.Purdy,SF
C.Stroud,HOU
J.Daniels,WAS
L.Jackson,BAL
M.Penix,ATL
B.Young,CAR
D.Mills,HOU
J.Johnson,BAL
D.Maye,NE
J.Allen,BUF
J.Love,GB
S.Rattler,NO
M.Willis,GB
S.Darnold,MIN
G.Smith,SEA
A.Rodgers,NYJ
K.Pickett,PHI
R.Wilson,PIT
D.Lock,NYG
S.Barkley,PHI
J.Hurts,PHI
A.O'Connell,LV
T.Heinicke,LAC
J.Brissett,NE
T.Huntley,MIA
D.Thompson-Robinson,CLE
C.Wilson,NO
P.Mahomes,KC
J.Herbert,LAC
C.Williams,CHI
T.Taylor,NYJ
M.Jones,JAX
M.Trubisky,BUF
J.Burrow,CIN
B.Nix,DEN
J.Goff,DET
T.Lance,DAL
T.McKee,PHI
J.Flacco,IND
J.Dobbs,SF
R.Pearsall,SF
S.Howell,SEA
W.Levis,TEN
C.Wentz,KC
J.Winston,CLE
D.Ridder,LV
K.Cousins,ATL
J.Meyers,LV
T.Boyle,NYG
T.DeVito,NYG
T.Bagent,CHI
C.Tune,ARI
J.Haener,NO
J.Jacobs,GB
Em.Wilson,GB
J.Reed,GB
K.Gainwell,PHI
J.Mixon,HOU
J.Taylor,IND
T.Dell,HOU
D.Pierce,HOU
S.Diggs,HOU
D.Watson,CLE
J.Ford,CLE
R.Dowdle,DAL
E.Elliott,DAL
B.Cooks,DAL
P.Strong,CLE
J.Williams,DEN
K.Walker,SEA
C.Lamb,DAL
M.Boone,CAR
D.Prescott,DAL
D.Vaughn,DAL
J.McLaughlin,DEN
Z.Charbonnet,SEA
L.Shenault,SEA
A.Estime,DEN
G.Minshew,LV
J.Dobbins,LAC
Z.White,LV
D.Davis,LAC
G.Edwards,LAC
A.Mattison,LV
J.Gibbs,DET
D.Montgomery,DET
A.Jones,MIN
D.Singletary,NYG
T.Chandler,MIN
W.Robinson,NYG
E.Gray,NYG
M.Gaskin,MIN
Z.Moss,CIN
R.Stevenson,NE
D.Jones,NYG
T.Tracy,NYG
K.Raymond,DET
T.Bigsby,JAX
R.Mostert,MIA
D.Achane,MIA
J.Waddle,MIA
T.Etienne,JAX
D.Duvernay,JAX
J.Wilson,MIA
T.Lawrence,JAX
A.Ingold,MIA
K.Williams,LA
C.Kupp,LA
