team_code,position,player,value
BUF,QB,M.Trubisky,8.0
BUF,QB,J.Allen,6.0
BUF,QB,S.Buechele,4.0
BUF,RB,J.Cook,8.0
BUF,RB,R.Davis,6.0
BUF,RB,T.Johnson,4.0
BUF,RB,F.Gore Jr.,3.0
BUF,TE,J.Hawes,8.0
BUF,TE,D.Kincaid,6.0
BUF,TE,D.Knox,4.0
BUF,TE,K.Latu,3.0
BUF,WR,K.Coleman,8.0
BUF,WR,C.Samuel,6.0
BUF,WR,J.Palmer,4.0
BUF,WR,K.Shakir,3.0
BUF,WR,E.Moore,2.5
BUF,WR,T.Shavers,2.0
BUF,WR,K.Wilkerson,1.9
BUF,WR,S.Gosnell,1.8
CIN,QB,J.Burrow,8.0
CIN,QB,J.Browning,6.0
CIN,QB,B.Rypien,4.0
CIN,RB,C.Brown,8.0
CIN,RB,S.Perine,6.0
CIN,RB,T.Brooks,4.0
CIN,RB,G.Brightwell,3.0
CIN,RB,K.Milton,2.5
CIN,TE,M.Gesicki,8.0
CIN,TE,D.Sample,6.0
CIN,TE,N.Fant,4.0
CIN,TE,T.Hudson,3.0
CIN,TE,C.Grandy,2.5
CIN,TE,T.McLachlan,2.0
CIN,TE,E.All Jr.,1.9
CIN,WR,J.Chase,8.0
CIN,WR,T.Higgins,6.0
CIN,WR,C.Jones,4.0
CIN,WR,A.Iosivas,3.0
CIN,WR,J.Burton,2.5
CIN,WR,M.Tinsley,2.0
CIN,WR,I.Williams,1.9
CIN,WR,J.Moore,1.8
DAL,QB,D.Prescott,8.0
DAL,QB,J.Milton III,6.0
DAL,QB,W.Grier,4.0
DAL,RB,J.Blue,8.0
DAL,RB,M.Sanders,6.0
DAL,RB,J.Williams,4.0
DAL,RB,P.Mafah,3.0
DAL,RB,H.Luepke,2.5
DAL,RB,M.Davis,2.0
DAL,TE,L.Schoonmaker,8.0
DAL,TE,J.Ferguson,6.0
DAL,TE,B.Spann-Ford,4.0
DAL,TE,P.Fant,3.0
DAL,TE,J.Stephens Jr.,2.5
DAL,TE,R.Fairweather,2.0
DAL,WR,J.Tolbert,8.0
DAL,WR,G.Pickens,6.0
DAL,WR,K.Turpin,4.0
DAL,WR,J.Mingo,3.0
DAL,WR,C.Lamb,2.5
DAL,WR,J.Cropper,2.0
DAL,WR,J.Brooks,1.9
DAL,WR,R.Flournoy,1.8
DAL,WR,T.Holden,1.7
KC,QB,P.Mahomes,8.0
KC,QB,G.Minshew,6.0
KC,QB,C.Oladokun,4.0
KC,RB,I.Pacheco,8.0
KC,RB,B.Smith,6.0
KC,RB,K.Hunt,4.0
KC,RB,E.Mitchell,3.0
KC,RB,C.Edwards-Helaire,2.5
KC,RB,K.Ingram,2.0
KC,TE,T.Kelce,8.0
KC,TE,N.Gray,6.0
KC,TE,R.Tonyan,4.0
KC,TE,J.Wiley,3.0
KC,TE,J.Briningstool,2.5
KC,TE,T.Watson,2.0
KC,WR,X.Worthy,8.0
KC,WR,R.Rice,6.0
KC,WR,M.Brown,4.0
KC,WR,N.Remigio,3.0
KC,WR,J.Smith-Schuster,2.5
KC,WR,J.Royals,2.0
KC,WR,T.Thornton,1.9
KC,WR,J.Brownlee,1.8
KC,WR,J.Holiday,1.7
PHI,QB,J.Hurts,8.0
PHI,QB,T.McKee,6.0
PHI,QB,S.Howell,4.0
PHI,QB,K.McCord,3.0
PHI,RB,S.Barkley,8.0
PHI,RB,W.Shipley,6.0
PHI,RB,A.Dillon,4.0
PHI,RB,A.Estime,3.0
PHI,TE,D.Goedert,8.0
PHI,TE,G.Calcaterra,6.0
PHI,TE,K.Granson,4.0
PHI,TE,E.Jenkins,3.0
PHI,TE,C.Latu,2.5
PHI,WR,J.Dotson,8.0
PHI,WR,D.Smith,6.0
PHI,WR,A.Brown,4.0
PHI,WR,J.Metchie III,3.0
PHI,WR,D.Cooper,2.5
PHI,WR,E.Cooks,2.0
PHI,WR,J.Baker,1.9
PHI,WR,B.Covey,1.8
PHI,WR,J.Wilson,1.7
SF,QB,B.Purdy,8.0
SF,QB,M.Jones,6.0
SF,QB,K.Rourke,4.0
SF,QB,A.Martinez,3.0
SF,QB,C.Bradley,2.5
SF,QB,T.Mordecai,2.0
SF,RB,C.McCaffrey,8.0
SF,RB,I.Guerendo,6.0
SF,RB,B.Robinson Jr.,4.0
SF,RB,J.James,3.0
SF,RB,S.McCormick,2.5
SF,RB,P.Taylor Jr.,2.0
SF,TE,G.Kittle,8.0
SF,TE,L.Farrell,6.0
SF,TE,J.Tonges,4.0
SF,TE,B.Willis,3.0
SF,WR,R.Pearsall,8.0
SF,WR,B.Aiyuk,6.0
SF,WR,J.Jennings,4.0
SF,WR,J.Cowing,3.0
SF,WR,M.Valdes-Scantling,2.5
SF,WR,D.Robinson,2.0
SF,WR,R.Gage Jr.,1.9
SF,WR,J.Watkins,1.8
SF,WR,S.Moore,1.7
SF,WR,R.Chosen,1.6
SF,WR,M.Turner,1.5
SF,WR,J.Bergen,1.4
SF,WR,T.Taylor,1.2999999999999998
